 K2 pulsation (degrees/h):
  30.0821372780000011
Year  M D h m s  V0(deg)   u(deg)    f:
1950  1 1 0 0 0  200.162  356.574    1.309 
1951  1 1 0 0 0  199.685    2.049    1.314 
1952  1 1 0 0 0  199.207    7.352    1.284 
1953  1 1 0 0 0  200.701   12.029    1.223 
1954  1 1 0 0 0  200.224   15.580    1.139 
1955  1 1 0 0 0  199.746   17.558    1.043 
1956  1 1 0 0 0  199.269   17.579    0.946 
1957  1 1 0 0 0  200.763   15.456    0.861 
1958  1 1 0 0 0  200.285   11.366    0.797 
1959  1 1 0 0 0  199.808    5.831    0.758 
1960  1 1 0 0 0  199.330  359.580    0.746 
1961  1 1 0 0 0  200.824  353.364    0.762 
1962  1 1 0 0 0  200.347  347.984    0.804 
1963  1 1 0 0 0  199.869  344.136    0.871 
1964  1 1 0 0 0  199.392  342.303    0.958 
1965  1 1 0 0 0  200.886  342.602    1.056 
1966  1 1 0 0 0  200.408  344.817    1.151 
1967  1 1 0 0 0  199.931  348.545    1.233 
1968  1 1 0 0 0  199.453  353.322    1.290 
1969  1 1 0 0 0  200.947  358.689    1.315 
1970  1 1 0 0 0  200.470    4.152    1.306 
1971  1 1 0 0 0  199.992    9.264    1.264 
1972  1 1 0 0 0  199.515   13.555    1.193 
1973  1 1 0 0 0  201.009   16.558    1.103 
1974  1 1 0 0 0  200.531   17.814    1.005 
1975  1 1 0 0 0  200.054   17.011    0.911 
1976  1 1 0 0 0  199.576   14.091    0.833 
1977  1 1 0 0 0  201.070    9.352    0.778 
1978  1 1 0 0 0  200.593    3.448    0.750 
1979  1 1 0 0 0  200.115  357.127    0.749 
1980  1 1 0 0 0  199.638  351.153    0.775 
1981  1 1 0 0 0  201.132  346.275    0.827 
1982  1 1 0 0 0  200.654  343.170    0.903 
1983  1 1 0 0 0  200.177  342.170    0.996 
1984  1 1 0 0 0  199.699  343.248    1.094 
1985  1 1 0 0 0  201.193  346.109    1.185 
1986  1 1 0 0 0  200.716  350.301    1.258 
1987  1 1 0 0 0  200.238  355.357    1.304 
1988  1 1 0 0 0  199.761    0.807    1.316 
1989  1 1 0 0 0  201.255    6.203    1.293 
1990  1 1 0 0 0  200.777   11.052    1.239 
1991  1 1 0 0 0  200.300   14.897    1.160 
1992  1 1 0 0 0  199.823   17.270    1.065 
1993  1 1 0 0 0  201.316   17.758    0.967 
1994  1 1 0 0 0  200.839   16.121    0.879 
1995  1 1 0 0 0  200.361   12.443    0.809 
1996  1 1 0 0 0  199.884    7.175    0.764 
1997  1 1 0 0 0  201.378    1.003    0.747 
1998  1 1 0 0 0  200.900  354.725    0.756 
1999  1 1 0 0 0  200.423  349.093    0.792 
2000  1 1 0 0 0  199.946  344.843    0.854 
2001  1 1 0 0 0  201.439  342.526    0.938 
2002  1 1 0 0 0  200.962  342.354    1.034 
2003  1 1 0 0 0  200.485  344.166    1.131 
2004  1 1 0 0 0  200.007  347.591    1.216 
2005  1 1 0 0 0  201.501  352.186    1.279 
2006  1 1 0 0 0  201.023  357.450    1.312 
2007  1 1 0 0 0  200.546    2.929    1.311 
2008  1 1 0 0 0  200.069    8.160    1.276 
2009  1 1 0 0 0  201.562   12.690    1.211 
2010  1 1 0 0 0  201.085   16.017    1.124 
2011  1 1 0 0 0  200.608   17.702    1.027 
2012  1 1 0 0 0  200.130   17.382    0.931 
2013  1 1 0 0 0  201.624   14.919    0.849 
2014  1 1 0 0 0  201.146   10.552    0.789 
2015  1 1 0 0 0  200.669    4.850    0.754 
2016  1 1 0 0 0  200.192  358.556    0.747 
2017  1 1 0 0 0  201.685  352.421    0.767 
2018  1 1 0 0 0  201.208  347.243    0.813 
2019  1 1 0 0 0  200.731  343.696    0.884 
2020  1 1 0 0 0  200.253  342.209    0.974 
2021  1 1 0 0 0  201.747  342.839    1.072 
2022  1 1 0 0 0  201.270  345.328    1.166 
2023  1 1 0 0 0  200.792  349.258    1.244 
2024  1 1 0 0 0  200.315  354.159    1.296 
