 M2 pulsation (degrees/h):
  28.9841042139999985
Year  M D h m s  V0(deg)   u(deg)    f:
1950  1 1 0 0 0   71.395  359.547    0.964 
1951  1 1 0 0 0  172.148    0.271    0.964 
1952  1 1 0 0 0  272.901    0.963    0.967 
1953  1 1 0 0 0  349.273    1.546    0.974 
1954  1 1 0 0 0   90.026    1.949    0.985 
1955  1 1 0 0 0  190.778    2.130    0.997 
1956  1 1 0 0 0  291.531    2.070    1.009 
1957  1 1 0 0 0    7.903    1.778    1.021 
1958  1 1 0 0 0  108.656    1.288    1.030 
1959  1 1 0 0 0  209.409    0.657    1.036 
1960  1 1 0 0 0  310.162  359.953    1.038 
1961  1 1 0 0 0   26.533  359.252    1.035 
1962  1 1 0 0 0  127.286  358.636    1.029 
1963  1 1 0 0 0  228.039  358.170    1.019 
1964  1 1 0 0 0  328.792  357.908    1.008 
1965  1 1 0 0 0   45.163  357.881    0.995 
1966  1 1 0 0 0  145.916  358.093    0.983 
1967  1 1 0 0 0  246.669  358.523    0.973 
1968  1 1 0 0 0  347.422  359.123    0.966 
1969  1 1 0 0 0   63.793  359.827    0.963 
1970  1 1 0 0 0  164.546    0.548    0.964 
1971  1 1 0 0 0  265.299    1.206    0.969 
1972  1 1 0 0 0    6.052    1.725    0.978 
1973  1 1 0 0 0   82.423    2.047    0.989 
1974  1 1 0 0 0  183.176    2.135    1.002 
1975  1 1 0 0 0  283.929    1.983    1.014 
1976  1 1 0 0 0   24.682    1.610    1.025 
1977  1 1 0 0 0  101.054    1.056    1.033 
1978  1 1 0 0 0  201.807    0.388    1.037 
1979  1 1 0 0 0  302.559  359.677    1.037 
1980  1 1 0 0 0   43.312  359.001    1.033 
1981  1 1 0 0 0  119.684  358.434    1.026 
1982  1 1 0 0 0  220.437  358.042    1.015 
1983  1 1 0 0 0  321.190  357.869    1.003 
1984  1 1 0 0 0   61.942  357.935    0.990 
1985  1 1 0 0 0  138.314  358.236    0.979 
1986  1 1 0 0 0  239.067  358.739    0.970 
1987  1 1 0 0 0  339.820  359.388    0.965 
1988  1 1 0 0 0   80.573    0.107    0.963 
1989  1 1 0 0 0  156.944    0.815    0.966 
1990  1 1 0 0 0  257.697    1.428    0.972 
1991  1 1 0 0 0  358.450    1.876    0.982 
1992  1 1 0 0 0   99.203    2.110    0.994 
1993  1 1 0 0 0  175.574    2.104    1.006 
1994  1 1 0 0 0  276.327    1.863    1.018 
1995  1 1 0 0 0   17.080    1.414    1.028 
1996  1 1 0 0 0  117.833    0.809    1.035 
1997  1 1 0 0 0  194.204    0.113    1.038 
1998  1 1 0 0 0  294.957  359.406    1.036 
1999  1 1 0 0 0   35.710  358.765    1.031 
2000  1 1 0 0 0  136.463  358.260    1.022 
2001  1 1 0 0 0  212.835  357.947    1.010 
2002  1 1 0 0 0  313.587  357.865    0.998 
2003  1 1 0 0 0   54.340  358.025    0.986 
2004  1 1 0 0 0  155.093  358.409    0.975 
2005  1 1 0 0 0  231.465  358.978    0.968 
2006  1 1 0 0 0  332.218  359.663    0.964 
2007  1 1 0 0 0   72.970    0.387    0.964 
2008  1 1 0 0 0  173.723    1.067    0.968 
2009  1 1 0 0 0  250.095    1.624    0.976 
2010  1 1 0 0 0  350.848    1.994    0.986 
2011  1 1 0 0 0   91.601    2.137    0.999 
2012  1 1 0 0 0  192.354    2.038    1.011 
2013  1 1 0 0 0  268.725    1.711    1.022 
2014  1 1 0 0 0    9.478    1.194    1.031 
2015  1 1 0 0 0  110.231    0.546    1.037 
