2MK3 degrees/h:
   42.92714    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  133.413  0.   1.0323
1951 1 1 0 0 0  334.033  0.   1.0324
1952 1 1 0 0 0  174.659  0.   1.0322
1953 1 1 0 0 0  325.569  0.   1.0309
1954 1 1 0 0 0  166.339  0.   1.0269
1955 1 1 0 0 0    7.336  0.   1.0183
1956 1 1 0 0 0  208.732  0.   1.0045
1957 1 1 0 0 0    0.964  0.   0.9866
1958 1 1 0 0 0  203.658  0.   0.9682
1959 1 1 0 0 0   47.024  0.   0.9543
1960 1 1 0 0 0  250.797  0.   0.9496
1961 1 1 0 0 0   44.796  0.   0.9558
1962 1 1 0 0 0  248.080  0.   0.9706
1963 1 1 0 0 0   90.673  0.   0.9892
1964 1 1 0 0 0  292.566  0.   1.0067
1965 1 1 0 0 0   84.145  0.   1.0198
1966 1 1 0 0 0  285.102  0.   1.0277
1967 1 1 0 0 0  125.852  0.   1.0312
1968 1 1 0 0 0  326.508  0.   1.0322
1969 1 1 0 0 0  117.379  0.   1.0324
1970 1 1 0 0 0  317.999  0.   1.0323
1971 1 1 0 0 0  158.635  0.   1.0319
1972 1 1 0 0 0  359.329  0.   1.0298
1973 1 1 0 0 0  150.417  0.   1.0242
1974 1 1 0 0 0  351.547  0.   1.0136
1975 1 1 0 0 0  193.149  0.   0.9980
1976 1 1 0 0 0   35.397  0.   0.9793
1977 1 1 0 0 0  188.621  0.   0.9620
1978 1 1 0 0 0   32.188  0.   0.9512
1979 1 1 0 0 0  236.004  0.   0.9508
1980 1 1 0 0 0   79.611  0.   0.9607
1981 1 1 0 0 0  232.897  0.   0.9777
1982 1 1 0 0 0   75.208  0.   0.9964
1983 1 1 0 0 0  276.862  0.   1.0124
1984 1 1 0 0 0  118.026  0.   1.0234
1985 1 1 0 0 0  269.137  0.   1.0295
1986 1 1 0 0 0  109.840  0.   1.0318
1987 1 1 0 0 0  310.479  0.   1.0323
1988 1 1 0 0 0  151.095  0.   1.0324
1989 1 1 0 0 0  301.965  0.   1.0323
1990 1 1 0 0 0  142.617  0.   1.0314
1991 1 1 0 0 0  343.354  0.   1.0281
1992 1 1 0 0 0  184.287  0.   1.0207
1993 1 1 0 0 0  335.829  0.   1.0081
1994 1 1 0 0 0  177.664  0.   0.9909
1995 1 1 0 0 0   20.192  0.   0.9722
1996 1 1 0 0 0  223.421  0.   0.9568
1997 1 1 0 0 0   17.392  0.   0.9497
1998 1 1 0 0 0  221.180  0.   0.9535
1999 1 1 0 0 0   64.597  0.   0.9667
2000 1 1 0 0 0  267.355  0.   0.9849
2001 1 1 0 0 0   59.647  0.   1.0031
2002 1 1 0 0 0  261.088  0.   1.0173
2003 1 1 0 0 0  102.113  0.   1.0263
2004 1 1 0 0 0  302.898  0.   1.0307
2005 1 1 0 0 0   93.815  0.   1.0321
2006 1 1 0 0 0  294.443  0.   1.0324
2007 1 1 0 0 0  135.063  0.   1.0323
2008 1 1 0 0 0  335.692  0.   1.0321
2009 1 1 0 0 0  126.615  0.   1.0305
2010 1 1 0 0 0  327.412  0.   1.0258
2011 1 1 0 0 0  168.461  0.   1.0165
2012 1 1 0 0 0    9.939  0.   1.0019
2013 1 1 0 0 0  162.281  0.   0.9836
2014 1 1 0 0 0    5.091  0.   0.9655
2015 1 1 0 0 0  208.547  0.   0.9529
2016 1 1 0 0 0   52.346  0.   0.9499
2017 1 1 0 0 0  206.298  0.   0.9577
2018 1 1 0 0 0   49.480  0.   0.9735
2019 1 1 0 0 0  251.956  0.   0.9922
2020 1 1 0 0 0   93.742  0.   1.0092
2021 1 1 0 0 0  245.248  0.   1.0214
2022 1 1 0 0 0   86.165  0.   1.0285
2023 1 1 0 0 0  286.893  0.   1.0315
2024 1 1 0 0 0  127.541  0.   1.0323
2025 1 1 0 0 0  278.407  0.   1.0324
2026 1 1 0 0 0  119.027  0.   1.0323
2027 1 1 0 0 0  319.669  0.   1.0317
2028 1 1 0 0 0  160.380  0.   1.0292
2029 1 1 0 0 0  311.507  0.   1.0228
2030 1 1 0 0 0  152.700  0.   1.0114
2031 1 1 0 0 0  354.396  0.   0.9951
2032 1 1 0 0 0  196.760  0.   0.9763
2033 1 1 0 0 0  350.098  0.   0.9597
2034 1 1 0 0 0  193.735  0.   0.9504
2035 1 1 0 0 0   37.548  0.   0.9517
2036 1 1 0 0 0  241.082  0.   0.9631
2037 1 1 0 0 0   34.251  0.   0.9807
2038 1 1 0 0 0  236.448  0.   0.9992
2039 1 1 0 0 0   78.009  0.   1.0145
2040 1 1 0 0 0  279.112  0.   1.0247
2041 1 1 0 0 0   70.189  0.   1.0301
2042 1 1 0 0 0  270.877  0.   1.0320
2043 1 1 0 0 0  111.511  0.   1.0323
