2N2  degrees/h:
   27.89536    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  359.862  0.   0.9640
1951 1 1 0 0 0  283.899  0.   0.9635
1952 1 1 0 0 0  207.904  0.   0.9670
1953 1 1 0 0 0   81.283  0.   0.9744
1954 1 1 0 0 0    4.998  0.   0.9846
1955 1 1 0 0 0  288.489  0.   0.9966
1956 1 1 0 0 0  211.739  0.   1.0091
1957 1 1 0 0 0   84.240  0.   1.0207
1958 1 1 0 0 0    7.056  0.   1.0300
1959 1 1 0 0 0  289.727  0.   1.0359
1960 1 1 0 0 0  212.324  0.   1.0378
1961 1 1 0 0 0   84.417  0.   1.0353
1962 1 1 0 0 0    7.103  0.   1.0289
1963 1 1 0 0 0  289.943  0.   1.0192
1964 1 1 0 0 0  212.989  0.   1.0075
1965 1 1 0 0 0   85.758  0.   0.9949
1966 1 1 0 0 0    9.282  0.   0.9830
1967 1 1 0 0 0  293.024  0.   0.9732
1968 1 1 0 0 0  216.937  0.   0.9663
1969 1 1 0 0 0   90.440  0.   0.9633
1970 1 1 0 0 0   14.474  0.   0.9644
1971 1 1 0 0 0  298.445  0.   0.9695
1972 1 1 0 0 0  222.276  0.   0.9780
1973 1 1 0 0 0   95.396  0.   0.9891
1974 1 1 0 0 0   18.795  0.   1.0015
1975 1 1 0 0 0  301.951  0.   1.0138
1976 1 1 0 0 0  224.884  0.   1.0246
1977 1 1 0 0 0   97.121  0.   1.0327
1978 1 1 0 0 0   19.754  0.   1.0371
1979 1 1 0 0 0  302.345  0.   1.0373
1980 1 1 0 0 0  224.971  0.   1.0333
1981 1 1 0 0 0   97.195  0.   1.0255
1982 1 1 0 0 0   20.110  0.   1.0149
1983 1 1 0 0 0  303.245  0.   1.0026
1984 1 1 0 0 0  226.622  0.   0.9902
1985 1 1 0 0 0   99.727  0.   0.9789
1986 1 1 0 0 0   23.542  0.   0.9701
1987 1 1 0 0 0  307.502  0.   0.9647
1988 1 1 0 0 0  231.531  0.   0.9632
1989 1 1 0 0 0  105.039  0.   0.9659
1990 1 1 0 0 0   28.963  0.   0.9724
1991 1 1 0 0 0  312.723  0.   0.9821
1992 1 1 0 0 0  236.268  0.   0.9938
1993 1 1 0 0 0  109.063  0.   1.0064
1994 1 1 0 0 0   32.129  0.   1.0183
1995 1 1 0 0 0  314.986  0.   1.0282
1996 1 1 0 0 0  237.684  0.   1.0349
1997 1 1 0 0 0  109.776  0.   1.0377
1998 1 1 0 0 0   32.371  0.   1.0363
1999 1 1 0 0 0  315.032  0.   1.0307
2000 1 1 0 0 0  237.831  0.   1.0217
2001 1 1 0 0 0  110.314  0.   1.0102
2002 1 1 0 0 0   33.542  0.   0.9977
2003 1 1 0 0 0  317.012  0.   0.9856
2004 1 1 0 0 0  240.709  0.   0.9752
2005 1 1 0 0 0  114.076  0.   0.9675
2006 1 1 0 0 0   38.074  0.   0.9636
2007 1 1 0 0 0  322.112  0.   0.9638
2008 1 1 0 0 0  246.103  0.   0.9680
2009 1 1 0 0 0  119.460  0.   0.9758
2010 1 1 0 0 0   43.141  0.   0.9864
2011 1 1 0 0 0  326.595  0.   0.9987
2012 1 1 0 0 0  249.804  0.   1.0111
2013 1 1 0 0 0  122.271  0.   1.0224
2014 1 1 0 0 0   45.059  0.   1.0312
2015 1 1 0 0 0  327.713  0.   1.0365
2016 1 1 0 0 0  250.305  0.   1.0377
2017 1 1 0 0 0  122.407  0.   1.0346
2018 1 1 0 0 0   45.114  0.   1.0275
2019 1 1 0 0 0  327.984  0.   1.0175
2020 1 1 0 0 0  251.063  0.   1.0055
2021 1 1 0 0 0  123.872  0.   0.9929
2022 1 1 0 0 0   47.437  0.   0.9813
2023 1 1 0 0 0  331.210  0.   0.9718
2024 1 1 0 0 0  255.145  0.   0.9656
2025 1 1 0 0 0  128.653  0.   0.9632
2026 1 1 0 0 0   52.683  0.   0.9649
2027 1 1 0 0 0  336.635  0.   0.9706
2028 1 1 0 0 0  260.437  0.   0.9797
2029 1 1 0 0 0  133.525  0.   0.9911
2030 1 1 0 0 0   56.884  0.   1.0035
2031 1 1 0 0 0  340.002  0.   1.0157
2032 1 1 0 0 0  262.903  0.   1.0262
2033 1 1 0 0 0  135.121  0.   1.0337
2034 1 1 0 0 0   57.741  0.   1.0375
2035 1 1 0 0 0  340.332  0.   1.0370
2036 1 1 0 0 0  262.972  0.   1.0323
2037 1 1 0 0 0  135.217  0.   1.0239
2038 1 1 0 0 0   58.164  0.   1.0130
2039 1 1 0 0 0  341.337  0.   1.0006
2040 1 1 0 0 0  264.753  0.   0.9883
2041 1 1 0 0 0  137.893  0.   0.9773
2042 1 1 0 0 0   61.736  0.   0.9690
2043 1 1 0 0 0  345.714  0.   0.9642
2044 1 1 0 0 0  269.750  0.   0.9634
2045 1 1 0 0 0  143.245  0.   0.9667
2046 1 1 0 0 0   67.147  0.   0.9738
2047 1 1 0 0 0  350.875  0.   0.9839
2048 1 1 0 0 0  274.383  0.   0.9958
2049 1 1 0 0 0  147.130  0.   1.0084
2050 1 1 0 0 0   70.160  0.   1.0200
2051 1 1 0 0 0  352.987  0.   1.0295
2052 1 1 0 0 0  275.664  0.   1.0357
2053 1 1 0 0 0  147.753  0.   1.0378
2054 1 1 0 0 0   70.354  0.   1.0356
2055 1 1 0 0 0  353.033  0.   1.0294
2056 1 1 0 0 0  275.861  0.   1.0200
2057 1 1 0 0 0  148.383  0.   1.0082
2058 1 1 0 0 0   71.650  0.   0.9957
2059 1 1 0 0 0  355.159  0.   0.9838
2060 1 1 0 0 0  278.887  0.   0.9737
2061 1 1 0 0 0  152.276  0.   0.9666
2062 1 1 0 0 0   76.286  0.   0.9634
2063 1 1 0 0 0    0.321  0.   0.9642
2064 1 1 0 0 0  284.298  0.   0.9690
2065 1 1 0 0 0  157.632  0.   0.9774
2066 1 1 0 0 0   81.279  0.   0.9883
2067 1 1 0 0 0    4.693  0.   1.0007
2068 1 1 0 0 0  287.864  0.   1.0130
2069 1 1 0 0 0  160.302  0.   1.0240
2070 1 1 0 0 0   83.064  0.   1.0323
2071 1 1 0 0 0    5.702  0.   1.0370
2072 1 1 0 0 0  288.293  0.   1.0375
2073 1 1 0 0 0  160.396  0.   1.0337
2074 1 1 0 0 0   83.124  0.   1.0261
2075 1 1 0 0 0    6.026  0.   1.0156
2076 1 1 0 0 0  289.139  0.   1.0034
2077 1 1 0 0 0  161.991  0.   0.9909
2078 1 1 0 0 0   85.589  0.   0.9796
2079 1 1 0 0 0    9.392  0.   0.9706
2080 1 1 0 0 0  293.346  0.   0.9649
2081 1 1 0 0 0  166.869  0.   0.9632
2082 1 1 0 0 0   90.891  0.   0.9656
2083 1 1 0 0 0   14.824  0.   0.9719
2084 1 1 0 0 0  298.597  0.   0.9814
2085 1 1 0 0 0  171.647  0.   0.9930
2086 1 1 0 0 0   94.960  0.   1.0056
2087 1 1 0 0 0   18.048  0.   1.0175
2088 1 1 0 0 0  300.910  0.   1.0276
2089 1 1 0 0 0  173.104  0.   1.0346
2090 1 1 0 0 0   95.715  0.   1.0377
2091 1 1 0 0 0   18.309  0.   1.0365
2092 1 1 0 0 0  300.964  0.   1.0312
2093 1 1 0 0 0  173.242  0.   1.0223
2094 1 1 0 0 0   96.224  0.   1.0110
2095 1 1 0 0 0   19.437  0.   0.9986
2096 1 1 0 0 0  302.891  0.   0.9864
2097 1 1 0 0 0  176.065  0.   0.9757
2098 1 1 0 0 0   99.936  0.   0.9679
2099 1 1 0 0 0   23.928  0.   0.9638
2100 1 1 0 0 0  307.965  0.   0.9636
