2Q1  degrees/h:
   12.85429    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  352.036  0.   1.1801
1951 1 1 0 0 0  272.701  0.   1.1820
1952 1 1 0 0 0  193.420  0.   1.1682
1953 1 1 0 0 0   62.842  0.   1.1390
1954 1 1 0 0 0  344.175  0.   1.0957
1955 1 1 0 0 0  266.154  0.   1.0406
1956 1 1 0 0 0  189.086  0.   0.9779
1957 1 1 0 0 0   61.810  0.   0.9138
1958 1 1 0 0 0  347.575  0.   0.8574
1959 1 1 0 0 0  274.837  0.   0.8187
1960 1 1 0 0 0  203.031  0.   0.8060
1961 1 1 0 0 0   79.670  0.   0.8226
1962 1 1 0 0 0    6.746  0.   0.8643
1963 1 1 0 0 0  292.292  0.   0.9223
1964 1 1 0 0 0  216.319  0.   0.9866
1965 1 1 0 0 0   87.600  0.   1.0488
1966 1 1 0 0 0    9.474  0.   1.1024
1967 1 1 0 0 0  290.738  0.   1.1439
1968 1 1 0 0 0  211.629  0.   1.1710
1969 1 1 0 0 0   80.825  0.   1.1827
1970 1 1 0 0 0    1.494  0.   1.1786
1971 1 1 0 0 0  282.274  0.   1.1587
1972 1 1 0 0 0  203.335  0.   1.1239
1973 1 1 0 0 0   73.381  0.   1.0755
1974 1 1 0 0 0  355.691  0.   1.0169
1975 1 1 0 0 0  279.083  0.   0.9528
1976 1 1 0 0 0  203.880  0.   0.8906
1977 1 1 0 0 0   78.764  0.   0.8397
1978 1 1 0 0 0    6.485  0.   0.8103
1979 1 1 0 0 0  294.782  0.   0.8090
1980 1 1 0 0 0  222.594  0.   0.8361
1981 1 1 0 0 0   97.614  0.   0.8855
1982 1 1 0 0 0   22.549  0.   0.9470
1983 1 1 0 0 0  306.054  0.   1.0113
1984 1 1 0 0 0  228.447  0.   1.0707
1985 1 1 0 0 0   98.553  0.   1.1201
1986 1 1 0 0 0   19.647  0.   1.1562
1987 1 1 0 0 0  300.446  0.   1.1774
1988 1 1 0 0 0  221.114  0.   1.1830
1989 1 1 0 0 0   90.301  0.   1.1727
1990 1 1 0 0 0   11.169  0.   1.1469
1991 1 1 0 0 0  292.391  0.   1.1066
1992 1 1 0 0 0  214.199  0.   1.0539
1993 1 1 0 0 0   85.390  0.   0.9923
1994 1 1 0 0 0    9.293  0.   0.9279
1995 1 1 0 0 0  294.698  0.   0.8690
1996 1 1 0 0 0  221.649  0.   0.8254
1997 1 1 0 0 0   98.224  0.   0.8063
1998 1 1 0 0 0   26.457  0.   0.8164
1999 1 1 0 0 0  313.833  0.   0.8531
2000 1 1 0 0 0  239.739  0.   0.9083
2001 1 1 0 0 0  112.593  0.   0.9721
2002 1 1 0 0 0   35.626  0.   1.0352
2003 1 1 0 0 0  317.677  0.   1.0912
2004 1 1 0 0 0  239.057  0.   1.1357
2005 1 1 0 0 0  108.508  0.   1.1663
2006 1 1 0 0 0   29.239  0.   1.1815
2007 1 1 0 0 0  309.903  0.   1.1809
2008 1 1 0 0 0  230.644  0.   1.1646
2009 1 1 0 0 0  100.119  0.   1.1329
2010 1 1 0 0 0   21.538  0.   1.0875
2011 1 1 0 0 0  303.649  0.   1.0309
2012 1 1 0 0 0  226.766  0.   0.9674
2013 1 1 0 0 0   99.727  0.   0.9039
2014 1 1 0 0 0   25.748  0.   0.8497
2015 1 1 0 0 0  313.214  0.   0.8147
2016 1 1 0 0 0  241.470  0.   0.8067
2017 1 1 0 0 0  117.997  0.   0.8278
2018 1 1 0 0 0   44.845  0.   0.8729
2019 1 1 0 0 0  330.134  0.   0.9325
2020 1 1 0 0 0  253.935  0.   0.9969
2021 1 1 0 0 0  125.047  0.   1.0581
2022 1 1 0 0 0   46.808  0.   1.1100
2023 1 1 0 0 0  327.997  0.   1.1493
2024 1 1 0 0 0  248.846  0.   1.1740
2025 1 1 0 0 0  118.023  0.   1.1831
2026 1 1 0 0 0   38.700  0.   1.1764
2027 1 1 0 0 0  319.513  0.   1.1541
2028 1 1 0 0 0  240.637  0.   1.1170
2029 1 1 0 0 0  110.790  0.   1.0667
2030 1 1 0 0 0   33.250  0.   1.0067
2031 1 1 0 0 0  316.850  0.   0.9424
2032 1 1 0 0 0  241.897  0.   0.8814
2033 1 1 0 0 0  117.032  0.   0.8333
2034 1 1 0 0 0   44.911  0.   0.8081
2035 1 1 0 0 0  333.201  0.   0.8116
2036 1 1 0 0 0  260.846  0.   0.8428
2037 1 1 0 0 0  135.612  0.   0.8948
2038 1 1 0 0 0   60.299  0.   0.9575
2039 1 1 0 0 0  343.601  0.   1.0214
2040 1 1 0 0 0  265.846  0.   1.0794
2041 1 1 0 0 0  135.852  0.   1.1269
2042 1 1 0 0 0   56.886  0.   1.1607
2043 1 1 0 0 0  337.653  0.   1.1794
2044 1 1 0 0 0  258.319  0.   1.1824
2045 1 1 0 0 0  127.520  0.   1.1696
2046 1 1 0 0 0   48.432  0.   1.1414
2047 1 1 0 0 0  329.732  0.   1.0989
2048 1 1 0 0 0  251.660  0.   1.0445
2049 1 1 0 0 0  123.016  0.   0.9819
2050 1 1 0 0 0   47.146  0.   0.9178
2051 1 1 0 0 0  332.807  0.   0.8606
2052 1 1 0 0 0  259.981  0.   0.8205
2053 1 1 0 0 0  136.661  0.   0.8059
2054 1 1 0 0 0   64.819  0.   0.8207
2055 1 1 0 0 0  351.985  0.   0.8610
2056 1 1 0 0 0  277.634  0.   0.9183
2057 1 1 0 0 0  150.258  0.   0.9825
2058 1 1 0 0 0   73.110  0.   1.0449
2059 1 1 0 0 0  355.033  0.   1.0993
2060 1 1 0 0 0  276.329  0.   1.1416
2061 1 1 0 0 0  145.728  0.   1.1698
2062 1 1 0 0 0   66.438  0.   1.1824
2063 1 1 0 0 0  347.103  0.   1.1793
2064 1 1 0 0 0  267.872  0.   1.1605
2065 1 1 0 0 0  137.408  0.   1.1265
2066 1 1 0 0 0   58.920  0.   1.0790
2067 1 1 0 0 0  341.170  0.   1.0209
2068 1 1 0 0 0  264.481  0.   0.9570
2069 1 1 0 0 0  137.691  0.   0.8943
2070 1 1 0 0 0   63.966  0.   0.8425
2071 1 1 0 0 0  351.617  0.   0.8114
2072 1 1 0 0 0  279.909  0.   0.8082
2073 1 1 0 0 0  156.290  0.   0.8337
2074 1 1 0 0 0   82.897  0.   0.8818
2075 1 1 0 0 0    7.934  0.   0.9428
2076 1 1 0 0 0  291.516  0.   1.0072
2077 1 1 0 0 0  162.472  0.   1.0672
2078 1 1 0 0 0   84.118  0.   1.1173
2079 1 1 0 0 0    5.239  0.   1.1543
2080 1 1 0 0 0  286.052  0.   1.1765
2081 1 1 0 0 0  155.225  0.   1.1831
2082 1 1 0 0 0   75.912  0.   1.1738
2083 1 1 0 0 0  356.763  0.   1.1491
2084 1 1 0 0 0  277.956  0.   1.1097
2085 1 1 0 0 0  148.218  0.   1.0575
2086 1 1 0 0 0   70.833  0.   0.9965
2087 1 1 0 0 0  354.655  0.   0.9321
2088 1 1 0 0 0  279.948  0.   0.8725
2089 1 1 0 0 0  155.321  0.   0.8275
2090 1 1 0 0 0   83.337  0.   0.8067
2091 1 1 0 0 0   11.592  0.   0.8148
2092 1 1 0 0 0  299.049  0.   0.8500
2093 1 1 0 0 0  173.568  0.   0.9045
2094 1 1 0 0 0   98.013  0.   0.9679
2095 1 1 0 0 0   21.123  0.   1.0313
2096 1 1 0 0 0  303.227  0.   1.0879
2097 1 1 0 0 0  173.140  0.   1.1333
2098 1 1 0 0 0   94.119  0.   1.1647
2099 1 1 0 0 0   14.859  0.   1.1809
2100 1 1 0 0 0  295.521  0.   1.1814
2101 1 1 0 0 0  164.745  0.   1.1660
2102 1 1 0 0 0   85.704  0.   1.1354
2103 1 1 0 0 0    7.089  0.   1.0909
2104 1 1 0 0 0  289.144  0.   1.0348
2105 1 1 0 0 0  160.690  0.   0.9715
2106 1 1 0 0 0   85.055  0.   0.9079
2107 1 1 0 0 0   10.972  0.   0.8527
2108 1 1 0 0 0  298.358  0.   0.8162
2109 1 1 0 0 0  175.103  0.   0.8063
2110 1 1 0 0 0  103.158  0.   0.8256
2111 1 1 0 0 0   30.100  0.   0.8694
2112 1 1 0 0 0  315.493  0.   0.9284
2113 1 1 0 0 0  187.882  0.   0.9929
2114 1 1 0 0 0  110.562  0.   1.0544
2115 1 1 0 0 0   32.364  0.   1.1070
2116 1 1 0 0 0  313.583  0.   1.1472
2117 1 1 0 0 0  182.947  0.   1.1729
2118 1 1 0 0 0  103.639  0.   1.1830
2119 1 1 0 0 0   24.313  0.   1.1773
2120 1 1 0 0 0  305.112  0.   1.1560
2121 1 1 0 0 0  174.708  0.   1.1197
2122 1 1 0 0 0   96.320  0.   1.0703
2123 1 1 0 0 0   18.719  0.   1.0108
2124 1 1 0 0 0  302.232  0.   0.9466
2125 1 1 0 0 0  175.683  0.   0.8849
2126 1 1 0 0 0  102.206  0.   0.8358
2127 1 1 0 0 0   30.024  0.   0.8089
2128 1 1 0 0 0  318.322  0.   0.8104
2129 1 1 0 0 0  194.550  0.   0.8401
2130 1 1 0 0 0  120.912  0.   0.8910
2131 1 1 0 0 0   45.698  0.   0.9532
2132 1 1 0 0 0  329.081  0.   1.0173
2133 1 1 0 0 0  199.888  0.   1.0761
2134 1 1 0 0 0  121.432  0.   1.1242
2135 1 1 0 0 0   42.489  0.   1.1589
2136 1 1 0 0 0  323.270  0.   1.1786
2137 1 1 0 0 0  192.426  0.   1.1827
2138 1 1 0 0 0  113.129  0.   1.1709
2139 1 1 0 0 0   34.024  0.   1.1437
2140 1 1 0 0 0  315.282  0.   1.1021
2141 1 1 0 0 0  185.664  0.   1.0482
2142 1 1 0 0 0  108.455  0.   0.9861
2143 1 1 0 0 0   32.491  0.   0.9219
2144 1 1 0 0 0  318.050  0.   0.8640
2145 1 1 0 0 0  193.644  0.   0.8223
2146 1 1 0 0 0  121.777  0.   0.8060
2147 1 1 0 0 0   49.962  0.   0.8188
2148 1 1 0 0 0  337.221  0.   0.8577
2149 1 1 0 0 0  211.475  0.   0.9144
2150 1 1 0 0 0  135.693  0.   0.9783
2151 1 1 0 0 0   58.608  0.   1.0410
2152 1 1 0 0 0  340.575  0.   1.0960
2153 1 1 0 0 0  210.410  0.   1.1394
