2SM2 degrees/h:
   31.01590    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  289.059  0.   0.9640
1951 1 1 0 0 0  187.578  0.   0.9635
1952 1 1 0 0 0   86.128  0.   0.9670
1953 1 1 0 0 0    9.172  0.   0.9744
1954 1 1 0 0 0  268.013  0.   0.9846
1955 1 1 0 0 0  167.077  0.   0.9966
1956 1 1 0 0 0   66.383  0.   1.0091
1957 1 1 0 0 0  350.306  0.   1.0207
1958 1 1 0 0 0  250.046  0.   1.0300
1959 1 1 0 0 0  149.930  0.   1.0359
1960 1 1 0 0 0   49.888  0.   1.0378
1961 1 1 0 0 0  334.223  0.   1.0353
1962 1 1 0 0 0  234.092  0.   1.0289
1963 1 1 0 0 0  133.807  0.   1.0192
1964 1 1 0 0 0   33.317  0.   1.0075
1965 1 1 0 0 0  316.972  0.   0.9949
1966 1 1 0 0 0  216.003  0.   0.9830
1967 1 1 0 0 0  114.816  0.   0.9732
1968 1 1 0 0 0   13.459  0.   0.9663
1969 1 1 0 0 0  296.381  0.   0.9633
1970 1 1 0 0 0  194.902  0.   0.9644
1971 1 1 0 0 0   93.487  0.   0.9695
1972 1 1 0 0 0  352.211  0.   0.9780
1973 1 1 0 0 0  275.516  0.   0.9891
1974 1 1 0 0 0  174.673  0.   1.0015
1975 1 1 0 0 0   74.072  0.   1.0138
1976 1 1 0 0 0  333.695  0.   1.0246
1977 1 1 0 0 0  257.882  0.   1.0327
1978 1 1 0 0 0  157.804  0.   1.0371
1979 1 1 0 0 0   57.769  0.   1.0373
1980 1 1 0 0 0  317.698  0.   1.0333
1981 1 1 0 0 0  241.899  0.   1.0255
1982 1 1 0 0 0  141.539  0.   1.0149
1983 1 1 0 0 0   40.960  0.   1.0026
1984 1 1 0 0 0  300.138  0.   0.9902
1985 1 1 0 0 0  223.460  0.   0.9789
1986 1 1 0 0 0  122.200  0.   0.9701
1987 1 1 0 0 0   20.795  0.   0.9647
1988 1 1 0 0 0  279.320  0.   0.9632
1989 1 1 0 0 0  202.237  0.   0.9659
1990 1 1 0 0 0  100.868  0.   0.9724
1991 1 1 0 0 0  359.663  0.   0.9821
1992 1 1 0 0 0  258.674  0.   0.9938
1993 1 1 0 0 0  182.305  0.   1.0064
1994 1 1 0 0 0   81.795  0.   1.0183
1995 1 1 0 0 0  341.494  0.   1.0282
1996 1 1 0 0 0  241.351  0.   1.0349
1997 1 1 0 0 0  165.683  0.   1.0377
1998 1 1 0 0 0   65.644  0.   1.0363
1999 1 1 0 0 0  325.538  0.   1.0307
2000 1 1 0 0 0  225.294  0.   1.0217
2001 1 1 0 0 0  149.236  0.   1.0102
2002 1 1 0 0 0   48.564  0.   0.9977
2003 1 1 0 0 0  307.649  0.   0.9856
2004 1 1 0 0 0  206.508  0.   0.9752
2005 1 1 0 0 0  129.565  0.   0.9675
2006 1 1 0 0 0   28.122  0.   0.9636
2007 1 1 0 0 0  286.640  0.   0.9638
2008 1 1 0 0 0  185.204  0.   0.9680
2009 1 1 0 0 0  108.271  0.   0.9758
2010 1 1 0 0 0    7.146  0.   0.9864
2011 1 1 0 0 0  266.248  0.   0.9987
2012 1 1 0 0 0  165.593  0.   1.0111
2013 1 1 0 0 0   89.551  0.   1.0224
2014 1 1 0 0 0  349.319  0.   1.0312
2015 1 1 0 0 0  249.220  0.   1.0365
2016 1 1 0 0 0  149.183  0.   1.0377
2017 1 1 0 0 0   73.509  0.   1.0346
2018 1 1 0 0 0  333.357  0.   1.0275
2019 1 1 0 0 0  233.043  0.   1.0175
2020 1 1 0 0 0  132.517  0.   1.0055
2021 1 1 0 0 0   56.133  0.   0.9929
2022 1 1 0 0 0  315.125  0.   0.9813
2023 1 1 0 0 0  213.907  0.   0.9718
2024 1 1 0 0 0  112.528  0.   0.9656
2025 1 1 0 0 0   35.443  0.   0.9632
2026 1 1 0 0 0  293.969  0.   0.9649
