J1   degrees/h:
   15.58544    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  223.365  0.   1.1626
1951 1 1 0 0 0  315.459  0.   1.1642
1952 1 1 0 0 0   47.468  0.   1.1531
1953 1 1 0 0 0  153.213  0.   1.1290
1954 1 1 0 0 0  244.318  0.   1.0924
1955 1 1 0 0 0  334.552  0.   1.0445
1956 1 1 0 0 0   63.592  0.   0.9882
1957 1 1 0 0 0  165.157  0.   0.9292
1958 1 1 0 0 0  250.930  0.   0.8761
1959 1 1 0 0 0  335.062  0.   0.8390
1960 1 1 0 0 0   58.187  0.   0.8268
1961 1 1 0 0 0  155.427  0.   0.8428
1962 1 1 0 0 0  239.760  0.   0.8826
1963 1 1 0 0 0  325.776  0.   0.9371
1964 1 1 0 0 0   53.517  0.   0.9961
1965 1 1 0 0 0  156.793  0.   1.0517
1966 1 1 0 0 0  247.166  0.   1.0982
1967 1 1 0 0 0  338.366  0.   1.1331
1968 1 1 0 0 0   70.110  0.   1.1553
1969 1 1 0 0 0  176.204  0.   1.1648
1970 1 1 0 0 0  268.293  0.   1.1614
1971 1 1 0 0 0    0.205  0.   1.1453
1972 1 1 0 0 0   91.698  0.   1.1164
1973 1 1 0 0 0  196.559  0.   1.0751
1974 1 1 0 0 0  286.370  0.   1.0234
1975 1 1 0 0 0   14.856  0.   0.9653
1976 1 1 0 0 0  101.714  0.   0.9075
1977 1 1 0 0 0  200.856  0.   0.8592
1978 1 1 0 0 0  284.490  0.   0.8310
1979 1 1 0 0 0    7.506  0.   0.8297
1980 1 1 0 0 0   91.043  0.   0.8558
1981 1 1 0 0 0  190.034  0.   0.9026
1982 1 1 0 0 0  276.736  0.   0.9600
1983 1 1 0 0 0    5.089  0.   1.0184
1984 1 1 0 0 0   94.795  0.   1.0708
1985 1 1 0 0 0  199.580  0.   1.1132
1986 1 1 0 0 0  291.023  0.   1.1432
1987 1 1 0 0 0   22.908  0.   1.1605
1988 1 1 0 0 0  114.991  0.   1.1650
1989 1 1 0 0 0  221.100  0.   1.1567
1990 1 1 0 0 0  312.879  0.   1.1356
1991 1 1 0 0 0   44.139  0.   1.1018
1992 1 1 0 0 0  134.598  0.   1.0562
1993 1 1 0 0 0  237.989  0.   1.0013
1994 1 1 0 0 0  325.874  0.   0.9423
1995 1 1 0 0 0   52.048  0.   0.8871
1996 1 1 0 0 0  136.517  0.   0.8455
1997 1 1 0 0 0  233.822  0.   0.8271
1998 1 1 0 0 0  316.906  0.   0.8368
1999 1 1 0 0 0   40.914  0.   0.8719
2000 1 1 0 0 0  126.530  0.   0.9240
2001 1 1 0 0 0  227.946  0.   0.9830
2002 1 1 0 0 0  316.863  0.   1.0398
2003 1 1 0 0 0   47.004  0.   1.0886
2004 1 1 0 0 0  138.043  0.   1.1262
2005 1 1 0 0 0  243.748  0.   1.1514
2006 1 1 0 0 0  335.737  0.   1.1638
2007 1 1 0 0 0   67.833  0.   1.1633
2008 1 1 0 0 0  159.806  0.   1.1501
2009 1 1 0 0 0  265.475  0.   1.1239
2010 1 1 0 0 0  356.460  0.   1.0854
2011 1 1 0 0 0   86.524  0.   1.0359
2012 1 1 0 0 0  175.340  0.   0.9787
2013 1 1 0 0 0  276.633  0.   0.9199
2014 1 1 0 0 0    2.122  0.   0.8687
2015 1 1 0 0 0   86.032  0.   0.8352
2016 1 1 0 0 0  169.091  0.   0.8275
2017 1 1 0 0 0  266.451  0.   0.8478
2018 1 1 0 0 0  351.034  0.   0.8907
2019 1 1 0 0 0   77.337  0.   0.9466
2020 1 1 0 0 0  165.338  0.   1.0055
2021 1 1 0 0 0  268.822  0.   1.0599
2022 1 1 0 0 0  359.348  0.   1.1046
2023 1 1 0 0 0   90.655  0.   1.1375
2024 1 1 0 0 0  182.462  0.   1.1577
2025 1 1 0 0 0  288.582  0.   1.1651
2026 1 1 0 0 0   20.657  0.   1.1597
2027 1 1 0 0 0  112.519  0.   1.1415
2028 1 1 0 0 0  203.920  0.   1.1105
2029 1 1 0 0 0  308.642  0.   1.0674
2030 1 1 0 0 0   38.262  0.   1.0143
2031 1 1 0 0 0  126.503  0.   0.9557
2032 1 1 0 0 0  213.078  0.   0.8988
2033 1 1 0 0 0  311.948  0.   0.8531
2034 1 1 0 0 0   35.412  0.   0.8289
2035 1 1 0 0 0  118.434  0.   0.8322
2036 1 1 0 0 0  202.152  0.   0.8621
2037 1 1 0 0 0  301.419  0.   0.9114
2038 1 1 0 0 0   28.403  0.   0.9696
2039 1 1 0 0 0  116.996  0.   1.0274
2040 1 1 0 0 0  206.889  0.   1.0784
2041 1 1 0 0 0  311.810  0.   1.1189
2042 1 1 0 0 0   43.342  0.   1.1469
2043 1 1 0 0 0  135.274  0.   1.1621
2044 1 1 0 0 0  227.366  0.   1.1645
2045 1 1 0 0 0  333.449  0.   1.1541
2046 1 1 0 0 0   65.162  0.   1.1310
2047 1 1 0 0 0  156.312  0.   1.0952
2048 1 1 0 0 0  246.613  0.   1.0479
2049 1 1 0 0 0  349.793  0.   0.9919
2050 1 1 0 0 0   77.416  0.   0.9329
2051 1 1 0 0 0  163.304  0.   0.8791
2052 1 1 0 0 0  247.530  0.   0.8407
2053 1 1 0 0 0  344.725  0.   0.8268
2054 1 1 0 0 0   67.890  0.   0.8409
2055 1 1 0 0 0  152.126  0.   0.8795
