K2   degrees/h:
   30.08214    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  196.741  0.   1.3104
1951 1 1 0 0 0  201.742  0.   1.3148
1952 1 1 0 0 0  206.570  0.   1.2848
1953 1 1 0 0 0  212.743  0.   1.2239
1954 1 1 0 0 0  215.817  0.   1.1400
1955 1 1 0 0 0  217.317  0.   1.0436
1956 1 1 0 0 0  216.858  0.   0.9470
1957 1 1 0 0 0  216.225  0.   0.8617
1958 1 1 0 0 0  211.653  0.   0.7975
1959 1 1 0 0 0  205.635  0.   0.7589
1960 1 1 0 0 0  198.902  0.   0.7473
1961 1 1 0 0 0  194.175  0.   0.7626
1962 1 1 0 0 0  188.315  0.   0.8049
1963 1 1 0 0 0  183.989  0.   0.8724
1964 1 1 0 0 0  181.681  0.   0.9596
1965 1 1 0 0 0  183.478  0.   1.0572
1966 1 1 0 0 0  185.219  0.   1.1526
1967 1 1 0 0 0  188.475  0.   1.2338
1968 1 1 0 0 0  192.779  0.   1.2907
1969 1 1 0 0 0  199.643  0.   1.3162
1970 1 1 0 0 0  204.632  0.   1.3071
1971 1 1 0 0 0  209.268  0.   1.2646
1972 1 1 0 0 0  213.083  0.   1.1938
1973 1 1 0 0 0  217.580  0.   1.1035
1974 1 1 0 0 0  218.358  0.   1.0055
1975 1 1 0 0 0  217.074  0.   0.9120
1976 1 1 0 0 0  213.673  0.   0.8342
1977 1 1 0 0 0  210.421  0.   0.7794
1978 1 1 0 0 0  204.035  0.   0.7512
1979 1 1 0 0 0  197.231  0.   0.7500
1980 1 1 0 0 0  190.776  0.   0.7758
1981 1 1 0 0 0  187.391  0.   0.8283
1982 1 1 0 0 0  183.810  0.   0.9043
1983 1 1 0 0 0  182.335  0.   0.9968
1984 1 1 0 0 0  182.939  0.   1.0949
1985 1 1 0 0 0  187.298  0.   1.1864
1986 1 1 0 0 0  191.017  0.   1.2593
1987 1 1 0 0 0  195.599  0.   1.3046
1988 1 1 0 0 0  200.575  0.   1.3168
1989 1 1 0 0 0  207.468  0.   1.2944
1990 1 1 0 0 0  211.842  0.   1.2400
1991 1 1 0 0 0  215.210  0.   1.1606
1992 1 1 0 0 0  217.105  0.   1.0660
1993 1 1 0 0 0  219.085  0.   0.9680
1994 1 1 0 0 0  216.968  0.   0.8794
1995 1 1 0 0 0  212.807  0.   0.8099
1996 1 1 0 0 0  207.057  0.   0.7653
1997 1 1 0 0 0  202.372  0.   0.7475
1998 1 1 0 0 0  195.612  0.   0.7568
1999 1 1 0 0 0  189.500  0.   0.7930
2000 1 1 0 0 0  184.773  0.   0.8551
2001 1 1 0 0 0  183.951  0.   0.9388
2002 1 1 0 0 0  183.305  0.   1.0348
2003 1 1 0 0 0  184.644  0.   1.1318
2004 1 1 0 0 0  187.596  0.   1.2172
2005 1 1 0 0 0  193.689  0.   1.2805
2006 1 1 0 0 0  198.479  0.   1.3135
2007 1 1 0 0 0  203.483  0.   1.3122
2008 1 1 0 0 0  208.240  0.   1.2769
2009 1 1 0 0 0  214.265  0.   1.2117
2010 1 1 0 0 0  217.115  0.   1.1250
2011 1 1 0 0 0  218.321  0.   1.0277
2012 1 1 0 0 0  217.522  0.   0.9322
2013 1 1 0 0 0  216.549  0.   0.8498
