L2   degrees/h:
   29.52848    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0   84.443  0.   0.0000
1951 1 1 0 0 0  286.187  0.   0.0000
1952 1 1 0 0 0  139.761  0.   0.0000
1953 1 1 0 0 0  323.660  0.   0.0000
1954 1 1 0 0 0  119.631  0.   0.0000
1955 1 1 0 0 0  314.329  0.   0.0000
1956 1 1 0 0 0  160.265  0.   0.0000
1957 1 1 0 0 0  344.250  0.   0.0000
1958 1 1 0 0 0  160.052  0.   0.0000
1959 1 1 0 0 0  340.960  0.   0.0000
1960 1 1 0 0 0  175.177  0.   0.0000
1961 1 1 0 0 0    2.070  0.   0.0000
1962 1 1 0 0 0  195.401  0.   0.0000
1963 1 1 0 0 0   10.895  0.   0.0000
1964 1 1 0 0 0  189.813  0.   0.0000
1965 1 1 0 0 0   20.800  0.   0.0000
1966 1 1 0 0 0  228.335  0.   0.0000
1967 1 1 0 0 0   48.105  0.   0.0000
1968 1 1 0 0 0  209.212  0.   0.0000
1969 1 1 0 0 0   45.340  0.   0.0000
1970 1 1 0 0 0  258.237  0.   0.0000
1971 1 1 0 0 0   82.472  0.   0.0000
1972 1 1 0 0 0  240.695  0.   0.0000
1973 1 1 0 0 0   72.268  0.   0.0000
1974 1 1 0 0 0  279.221  0.   0.0000
1975 1 1 0 0 0  108.661  0.   0.0000
1976 1 1 0 0 0  279.532  0.   0.0000
1977 1 1 0 0 0   95.974  0.   0.0000
1978 1 1 0 0 0  293.691  0.   0.0000
1979 1 1 0 0 0  130.356  0.   0.0000
1980 1 1 0 0 0  317.358  0.   0.0000
1981 1 1 0 0 0  120.253  0.   0.0000
1982 1 1 0 0 0  307.505  0.   0.0000
1983 1 1 0 0 0  150.992  0.   0.0000
1984 1 1 0 0 0  354.011  0.   0.0000
1985 1 1 0 0 0  150.352  0.   0.0000
1986 1 1 0 0 0  325.543  0.   0.0000
1987 1 1 0 0 0  175.978  0.   0.0000
1988 1 1 0 0 0   26.685  0.   0.0000
1989 1 1 0 0 0  184.679  0.   0.0000
1990 1 1 0 0 0  354.069  0.   0.0000
1991 1 1 0 0 0  202.374  0.   0.0000
1992 1 1 0 0 0   48.840  0.   0.0000
1993 1 1 0 0 0  218.091  0.   0.0000
1994 1 1 0 0 0   29.383  0.   0.0000
1995 1 1 0 0 0  224.156  0.   0.0000
1996 1 1 0 0 0   63.573  0.   0.0000
1997 1 1 0 0 0  245.518  0.   0.0000
1998 1 1 0 0 0   66.188  0.   0.0000
1999 1 1 0 0 0  244.187  0.   0.0000
2000 1 1 0 0 0   77.372  0.   0.0000
2001 1 1 0 0 0  269.113  0.   0.0000
2002 1 1 0 0 0  105.365  0.   0.0000
2003 1 1 0 0 0  267.377  0.   0.0000
2004 1 1 0 0 0   94.838  0.   0.0000
2005 1 1 0 0 0  295.220  0.   0.0000
2006 1 1 0 0 0  141.626  0.   0.0000
2007 1 1 0 0 0  297.237  0.   0.0000
2008 1 1 0 0 0  121.379  0.   0.0000
2009 1 1 0 0 0  321.669  0.   0.0000
2010 1 1 0 0 0  165.850  0.   0.0000
2011 1 1 0 0 0  335.403  0.   0.0000
2012 1 1 0 0 0  153.268  0.   0.0000
2013 1 1 0 0 0  342.293  0.   0.0000
2014 1 1 0 0 0  181.674  0.   0.0000
2015 1 1 0 0 0    9.532  0.   0.0000
2016 1 1 0 0 0  186.451  0.   0.0000
2017 1 1 0 0 0  359.454  0.   0.0000
2018 1 1 0 0 0  196.227  0.   0.0000
2019 1 1 0 0 0   37.179  0.   0.0000
2020 1 1 0 0 0  224.821  0.   0.0000
2021 1 1 0 0 0   17.876  0.   0.0000
2022 1 1 0 0 0  213.761  0.   0.0000
2023 1 1 0 0 0   65.167  0.   0.0000
2024 1 1 0 0 0  264.337  0.   0.0000
2025 1 1 0 0 0   42.621  0.   0.0000
2026 1 1 0 0 0  239.121  0.   0.0000
2027 1 1 0 0 0   92.266  0.   0.0000
2028 1 1 0 0 0  291.829  0.   0.0000
2029 1 1 0 0 0   80.300  0.   0.0000
2030 1 1 0 0 0  268.379  0.   0.0000
2031 1 1 0 0 0  112.411  0.   0.0000
2032 1 1 0 0 0  309.941  0.   0.0000
2033 1 1 0 0 0  119.527  0.   0.0000
2034 1 1 0 0 0  297.260  0.   0.0000
2035 1 1 0 0 0  127.846  0.   0.0000
2036 1 1 0 0 0  326.134  0.   0.0000
2037 1 1 0 0 0  152.004  0.   0.0000
2038 1 1 0 0 0  331.115  0.   0.0000
2039 1 1 0 0 0  143.523  0.   0.0000
2040 1 1 0 0 0  344.313  0.   0.0000
2041 1 1 0 0 0  182.815  0.   0.0000
2042 1 1 0 0 0   10.855  0.   0.0000
2043 1 1 0 0 0  164.738  0.   0.0000
2044 1 1 0 0 0    9.139  0.   0.0000
2045 1 1 0 0 0  211.243  0.   0.0000
2046 1 1 0 0 0   42.614  0.   0.0000
2047 1 1 0 0 0  198.963  0.   0.0000
2048 1 1 0 0 0   36.672  0.   0.0000
2049 1 1 0 0 0  231.458  0.   0.0000
2050 1 1 0 0 0   64.912  0.   0.0000
2051 1 1 0 0 0  239.122  0.   0.0000
2052 1 1 0 0 0   61.959  0.   0.0000
2053 1 1 0 0 0  245.993  0.   0.0000
2054 1 1 0 0 0   83.987  0.   0.0000
2055 1 1 0 0 0  275.654  0.   0.0000
2056 1 1 0 0 0   89.818  0.   0.0000
2057 1 1 0 0 0  260.248  0.   0.0000
2058 1 1 0 0 0  103.530  0.   0.0000
2059 1 1 0 0 0  310.038  0.   0.0000
2060 1 1 0 0 0  124.713  0.   0.0000
2061 1 1 0 0 0  279.398  0.   0.0000
2062 1 1 0 0 0  128.412  0.   0.0000
2063 1 1 0 0 0  340.614  0.   0.0000
2064 1 1 0 0 0  159.483  0.   0.0000
2065 1 1 0 0 0  310.082  0.   0.0000
2066 1 1 0 0 0  154.962  0.   0.0000
2067 1 1 0 0 0    1.522  0.   0.0000
2068 1 1 0 0 0  188.238  0.   0.0000
2069 1 1 0 0 0  347.696  0.   0.0000
2070 1 1 0 0 0  177.629  0.   0.0000
2071 1 1 0 0 0   15.881  0.   0.0000
2072 1 1 0 0 0  211.785  0.   0.0000
2073 1 1 0 0 0   25.516  0.   0.0000
2074 1 1 0 0 0  200.170  0.   0.0000
2075 1 1 0 0 0   29.647  0.   0.0000
2076 1 1 0 0 0  233.518  0.   0.0000
2077 1 1 0 0 0   63.454  0.   0.0000
2078 1 1 0 0 0  227.542  0.   0.0000
2079 1 1 0 0 0   47.735  0.   0.0000
2080 1 1 0 0 0  259.042  0.   0.0000
2081 1 1 0 0 0   97.124  0.   0.0000
2082 1 1 0 0 0  260.698  0.   0.0000
2083 1 1 0 0 0   75.792  0.   0.0000
2084 1 1 0 0 0  285.257  0.   0.0000
2085 1 1 0 0 0  119.456  0.   0.0000
2086 1 1 0 0 0  296.481  0.   0.0000
2087 1 1 0 0 0  109.780  0.   0.0000
2088 1 1 0 0 0  306.260  0.   0.0000
2089 1 1 0 0 0  134.361  0.   0.0000
2090 1 1 0 0 0  326.237  0.   0.0000
2091 1 1 0 0 0  145.447  0.   0.0000
2092 1 1 0 0 0  325.035  0.   0.0000
2093 1 1 0 0 0  148.406  0.   0.0000
2094 1 1 0 0 0  351.276  0.   0.0000
2095 1 1 0 0 0  184.933  0.   0.0000
2096 1 1 0 0 0  346.220  0.   0.0000
2097 1 1 0 0 0  166.155  0.   0.0000
2098 1 1 0 0 0   18.154  0.   0.0000
2099 1 1 0 0 0  222.273  0.   0.0000
2100 1 1 0 0 0   14.423  0.   0.0000
2101 1 1 0 0 0  192.502  0.   0.0000
2102 1 1 0 0 0   44.607  0.   0.0000
2103 1 1 0 0 0  247.055  0.   0.0000
2104 1 1 0 0 0   53.243  0.   0.0000
2105 1 1 0 0 0  223.262  0.   0.0000
2106 1 1 0 0 0   64.666  0.   0.0000
2107 1 1 0 0 0  263.451  0.   0.0000
2108 1 1 0 0 0   89.423  0.   0.0000
2109 1 1 0 0 0  254.777  0.   0.0000
2110 1 1 0 0 0   80.982  0.   0.0000
2111 1 1 0 0 0  278.547  0.   0.0000
2112 1 1 0 0 0  118.785  0.   0.0000
2113 1 1 0 0 0  292.023  0.   0.0000
2114 1 1 0 0 0   98.212  0.   0.0000
2115 1 1 0 0 0  296.532  0.   0.0000
2116 1 1 0 0 0  147.817  0.   0.0000
2117 1 1 0 0 0  331.976  0.   0.0000
