LAMB degrees/h:
   29.45563    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  324.006  0.   0.9640
1951 1 1 0 0 0  236.012  0.   0.9635
1952 1 1 0 0 0  147.986  0.   0.9670
1953 1 1 0 0 0   46.784  0.   0.9744
1954 1 1 0 0 0  318.468  0.   0.9846
1955 1 1 0 0 0  229.929  0.   0.9966
1956 1 1 0 0 0  141.147  0.   1.0091
1957 1 1 0 0 0   39.066  0.   1.0207
1958 1 1 0 0 0  309.851  0.   1.0300
1959 1 1 0 0 0  220.491  0.   1.0359
1960 1 1 0 0 0  131.058  0.   1.0378
1961 1 1 0 0 0   28.564  0.   1.0353
1962 1 1 0 0 0  299.220  0.   1.0289
1963 1 1 0 0 0  210.029  0.   1.0192
1964 1 1 0 0 0  121.044  0.   1.0075
1965 1 1 0 0 0   19.230  0.   0.9949
1966 1 1 0 0 0  290.724  0.   0.9830
1967 1 1 0 0 0  202.435  0.   0.9732
1968 1 1 0 0 0  114.317  0.   0.9663
1969 1 1 0 0 0   13.237  0.   0.9633
1970 1 1 0 0 0  285.240  0.   0.9644
1971 1 1 0 0 0  197.180  0.   0.9695
1972 1 1 0 0 0  108.980  0.   0.9780
1973 1 1 0 0 0    7.518  0.   0.9891
1974 1 1 0 0 0  278.885  0.   1.0015
1975 1 1 0 0 0  190.011  0.   1.0138
1976 1 1 0 0 0  100.913  0.   1.0246
1977 1 1 0 0 0  358.567  0.   1.0327
1978 1 1 0 0 0  269.170  0.   1.0371
1979 1 1 0 0 0  179.729  0.   1.0373
1980 1 1 0 0 0   90.325  0.   1.0333
1981 1 1 0 0 0  347.966  0.   1.0255
1982 1 1 0 0 0  258.850  0.   1.0149
1983 1 1 0 0 0  169.954  0.   1.0026
1984 1 1 0 0 0   81.300  0.   0.9902
1985 1 1 0 0 0  339.819  0.   0.9789
1986 1 1 0 0 0  251.604  0.   0.9701
1987 1 1 0 0 0  163.534  0.   0.9647
1988 1 1 0 0 0   75.534  0.   0.9632
1989 1 1 0 0 0  334.459  0.   0.9659
1990 1 1 0 0 0  246.353  0.   0.9724
1991 1 1 0 0 0  158.082  0.   0.9821
1992 1 1 0 0 0   69.596  0.   0.9938
1993 1 1 0 0 0  327.805  0.   1.0064
1994 1 1 0 0 0  238.840  0.   1.0183
1995 1 1 0 0 0  149.666  0.   1.0282
1996 1 1 0 0 0   60.333  0.   1.0349
1997 1 1 0 0 0  317.842  0.   1.0377
1998 1 1 0 0 0  228.407  0.   1.0363
1999 1 1 0 0 0  139.037  0.   1.0307
2000 1 1 0 0 0   49.806  0.   1.0217
2001 1 1 0 0 0  307.705  0.   1.0102
2002 1 1 0 0 0  218.902  0.   0.9977
2003 1 1 0 0 0  130.342  0.   0.9856
2004 1 1 0 0 0   42.008  0.   0.9752
2005 1 1 0 0 0  300.792  0.   0.9675
2006 1 1 0 0 0  212.760  0.   0.9636
2007 1 1 0 0 0  124.766  0.   0.9638
2008 1 1 0 0 0   36.727  0.   0.9680
2009 1 1 0 0 0  295.501  0.   0.9758
2010 1 1 0 0 0  207.152  0.   0.9864
2011 1 1 0 0 0  118.574  0.   0.9987
2012 1 1 0 0 0   29.753  0.   1.0111
