M6   degrees/h:
   86.95232    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  212.823  0.   0.8958
1951 1 1 0 0 0  157.266  0.   0.8943
1952 1 1 0 0 0  101.615  0.   0.9043
1953 1 1 0 0 0  332.483  0.   0.9250
1954 1 1 0 0 0  275.961  0.   0.9545
1955 1 1 0 0 0  218.769  0.   0.9899
1956 1 1 0 0 0  160.851  0.   1.0277
1957 1 1 0 0 0   29.082  0.   1.0635
1958 1 1 0 0 0  329.862  0.   1.0927
1959 1 1 0 0 0  270.209  0.   1.1117
1960 1 1 0 0 0  210.335  0.   1.1177
1961 1 1 0 0 0   77.331  0.   1.1098
1962 1 1 0 0 0   17.725  0.   1.0892
1963 1 1 0 0 0  318.579  0.   1.0588
1964 1 1 0 0 0  260.050  0.   1.0226
1965 1 1 0 0 0  129.085  0.   0.9848
1966 1 1 0 0 0   71.990  0.   0.9500
1967 1 1 0 0 0   15.551  0.   0.9216
1968 1 1 0 0 0  319.622  0.   0.9023
1969 1 1 0 0 0  190.858  0.   0.8939
1970 1 1 0 0 0  135.294  0.   0.8969
1971 1 1 0 0 0   79.539  0.   0.9112
1972 1 1 0 0 0   23.366  0.   0.9355
1973 1 1 0 0 0  253.453  0.   0.9677
1974 1 1 0 0 0  195.981  0.   1.0045
1975 1 1 0 0 0  137.784  0.   1.0420
1976 1 1 0 0 0   78.916  0.   1.0757
1977 1 1 0 0 0  306.355  0.   1.1015
1978 1 1 0 0 0  246.589  0.   1.1156
1979 1 1 0 0 0  186.693  0.   1.1162
1980 1 1 0 0 0  126.906  0.   1.1033
1981 1 1 0 0 0  354.304  0.   1.0784
1982 1 1 0 0 0  295.382  0.   1.0452
1983 1 1 0 0 0  237.121  0.   1.0079
1984 1 1 0 0 0  179.585  0.   0.9708
1985 1 1 0 0 0   49.619  0.   0.9380
1986 1 1 0 0 0  353.399  0.   0.9129
1987 1 1 0 0 0  297.615  0.   0.8977
1988 1 1 0 0 0  242.039  0.   0.8937
1989 1 1 0 0 0  113.290  0.   0.9011
1990 1 1 0 0 0   57.397  0.   0.9195
1991 1 1 0 0 0    1.011  0.   0.9472
1992 1 1 0 0 0  303.979  0.   0.9815
1993 1 1 0 0 0  173.084  0.   1.0192
1994 1 1 0 0 0  114.615  0.   1.0558
1995 1 1 0 0 0   55.518  0.   1.0869
1996 1 1 0 0 0  355.946  0.   1.1084
1997 1 1 0 0 0  222.950  0.   1.1175
1998 1 1 0 0 0  163.068  0.   1.1128
1999 1 1 0 0 0  103.385  0.   1.0949
2000 1 1 0 0 0   44.119  0.   1.0664
2001 1 1 0 0 0  272.291  0.   1.0310
2002 1 1 0 0 0  214.309  0.   0.9932
2003 1 1 0 0 0  157.053  0.   0.9574
2004 1 1 0 0 0  100.476  0.   0.9273
2005 1 1 0 0 0  331.306  0.   0.9058
2006 1 1 0 0 0  275.634  0.   0.8948
2007 1 1 0 0 0  220.080  0.   0.8952
2008 1 1 0 0 0  164.389  0.   0.9070
2009 1 1 0 0 0   35.186  0.   0.9292
2010 1 1 0 0 0  338.562  0.   0.9599
2011 1 1 0 0 0  281.256  0.   0.9960
2012 1 1 0 0 0  223.221  0.   1.0337
2013 1 1 0 0 0   91.345  0.   1.0687
2014 1 1 0 0 0   32.043  0.   1.0966
2015 1 1 0 0 0  332.339  0.   1.1136
2016 1 1 0 0 0  272.451  0.   1.1173
2017 1 1 0 0 0  139.473  0.   1.1073
2018 1 1 0 0 0   79.928  0.   1.0849
2019 1 1 0 0 0   20.872  0.   1.0533
2020 1 1 0 0 0  322.448  0.   1.0165
2021 1 1 0 0 0  191.600  0.   0.9789
2022 1 1 0 0 0  134.625  0.   0.9449
2023 1 1 0 0 0   78.279  0.   0.9178
2024 1 1 0 0 0   22.415  0.   0.9002
2025 1 1 0 0 0  253.671  0.   0.8936
2026 1 1 0 0 0  198.094  0.   0.8984
2027 1 1 0 0 0  142.286  0.   0.9144
2028 1 1 0 0 0   86.027  0.   0.9402
2029 1 1 0 0 0  316.011  0.   0.9734
2030 1 1 0 0 0  258.422  0.   1.0106
2031 1 1 0 0 0  200.110  0.   1.0478
2032 1 1 0 0 0  141.145  0.   1.0805
2033 1 1 0 0 0    8.518  0.   1.1046
2034 1 1 0 0 0  308.715  0.   1.1167
2035 1 1 0 0 0  248.820  0.   1.1150
2036 1 1 0 0 0  189.073  0.   1.1000
2037 1 1 0 0 0   56.539  0.   1.0735
2038 1 1 0 0 0  357.716  0.   1.0394
2039 1 1 0 0 0  299.570  0.   1.0018
2040 1 1 0 0 0  242.152  0.   0.9652
2041 1 1 0 0 0  112.292  0.   0.9334
2042 1 1 0 0 0   56.156  0.   0.9098
2043 1 1 0 0 0    0.423  0.   0.8963
2044 1 1 0 0 0  304.864  0.   0.8941
2045 1 1 0 0 0  176.079  0.   0.9034
2046 1 1 0 0 0  120.119  0.   0.9234
2047 1 1 0 0 0   63.637  0.   0.9523
2048 1 1 0 0 0    6.491  0.   0.9875
2049 1 1 0 0 0  235.467  0.   1.0253
2050 1 1 0 0 0  176.890  0.   1.0613
2051 1 1 0 0 0  117.704  0.   1.0911
2052 1 1 0 0 0   58.073  0.   1.1108
2053 1 1 0 0 0  285.060  0.   1.1177
2054 1 1 0 0 0  225.194  0.   1.1107
2055 1 1 0 0 0  165.566  0.   1.0909
2056 1 1 0 0 0  106.384  0.   1.0611
2057 1 1 0 0 0  334.669  0.   1.0249
2058 1 1 0 0 0  276.804  0.   0.9872
2059 1 1 0 0 0  219.663  0.   0.9521
2060 1 1 0 0 0  163.185  0.   0.9232
2061 1 1 0 0 0   34.082  0.   0.9032
2062 1 1 0 0 0  338.446  0.   0.8941
2063 1 1 0 0 0  282.885  0.   0.8963
2064 1 1 0 0 0  227.151  0.   0.9099
2065 1 1 0 0 0   97.874  0.   0.9337
2066 1 1 0 0 0   41.146  0.   0.9654
2067 1 1 0 0 0  343.723  0.   1.0020
2068 1 1 0 0 0  285.572  0.   1.0396
2069 1 1 0 0 0  153.600  0.   1.0738
2070 1 1 0 0 0   94.219  0.   1.1001
2071 1 1 0 0 0   34.470  0.   1.1151
2072 1 1 0 0 0  334.575  0.   1.1166
2073 1 1 0 0 0  201.616  0.   1.1044
2074 1 1 0 0 0  142.138  0.   1.0803
2075 1 1 0 0 0   83.177  0.   1.0476
2076 1 1 0 0 0   24.859  0.   1.0104
2077 1 1 0 0 0  254.135  0.   0.9731
2078 1 1 0 0 0  197.264  0.   0.9400
2079 1 1 0 0 0  141.009  0.   0.9143
2080 1 1 0 0 0   85.203  0.   0.8984
2081 1 1 0 0 0  316.491  0.   0.8936
2082 1 1 0 0 0  260.893  0.   0.9003
2083 1 1 0 0 0  205.026  0.   0.9180
2084 1 1 0 0 0  148.677  0.   0.9451
2085 1 1 0 0 0   18.551  0.   0.9793
2086 1 1 0 0 0  320.832  0.   1.0167
2087 1 1 0 0 0  262.420  0.   1.0535
2088 1 1 0 0 0  203.348  0.   1.0851
2089 1 1 0 0 0   70.655  0.   1.1074
2090 1 1 0 0 0   10.821  0.   1.1173
2091 1 1 0 0 0  310.934  0.   1.1135
2092 1 1 0 0 0  251.232  0.   1.0964
2093 1 1 0 0 0  118.789  0.   1.0684
2094 1 1 0 0 0   60.068  0.   1.0334
2095 1 1 0 0 0    2.039  0.   0.9957
2096 1 1 0 0 0  304.737  0.   0.9596
2097 1 1 0 0 0  174.981  0.   0.9290
2098 1 1 0 0 0  118.924  0.   0.9069
2099 1 1 0 0 0   63.235  0.   0.8951
2100 1 1 0 0 0    7.681  0.   0.8948
2101 1 1 0 0 0  238.860  0.   0.9059
2102 1 1 0 0 0  182.829  0.   0.9275
2103 1 1 0 0 0  126.247  0.   0.9577
2104 1 1 0 0 0   68.986  0.   0.9935
2105 1 1 0 0 0  297.855  0.   1.0313
2106 1 1 0 0 0  239.172  0.   1.0666
2107 1 1 0 0 0  179.901  0.   1.0951
2108 1 1 0 0 0  120.218  0.   1.1128
