MF   degrees/h:
   1.098033    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  124.710  0.   1.4431
1951 1 1 0 0 0   29.973  0.   1.4487
1952 1 1 0 0 0  295.096  0.   1.4099
1953 1 1 0 0 0  226.054  0.   1.3301
1954 1 1 0 0 0  129.659  0.   1.2181
1955 1 1 0 0 0   31.748  0.   1.0854
1956 1 1 0 0 0  291.689  0.   0.9466
1957 1 1 0 0 0  215.167  0.   0.8172
1958 1 1 0 0 0  109.008  0.   0.7130
1959 1 1 0 0 0  359.711  0.   0.6463
1960 1 1 0 0 0  248.474  0.   0.6254
1961 1 1 0 0 0  163.717  0.   0.6529
1962 1 1 0 0 0   54.807  0.   0.7253
1963 1 1 0 0 0  309.110  0.   0.8338
1964 1 1 0 0 0  206.657  0.   0.9651
1965 1 1 0 0 0  133.288  0.   1.1044
1966 1 1 0 0 0   35.620  0.   1.2350
1967 1 1 0 0 0  299.390  0.   1.3432
1968 1 1 0 0 0  204.075  0.   1.4176
1969 1 1 0 0 0  135.610  0.   1.4506
1970 1 1 0 0 0   40.864  0.   1.4388
1971 1 1 0 0 0  305.828  0.   1.3835
1972 1 1 0 0 0  210.094  0.   1.2902
1973 1 1 0 0 0  139.547  0.   1.1683
1974 1 1 0 0 0   40.881  0.   1.0314
1975 1 1 0 0 0  299.808  0.   0.8945
1976 1 1 0 0 0  195.701  0.   0.7733
1977 1 1 0 0 0  114.597  0.   0.6821
1978 1 1 0 0 0    4.342  0.   0.6325
1979 1 1 0 0 0  252.894  0.   0.6303
1980 1 1 0 0 0  142.453  0.   0.6759
1981 1 1 0 0 0   61.061  0.   0.7638
1982 1 1 0 0 0  316.661  0.   0.8828
1983 1 1 0 0 0  215.341  0.   1.0190
1984 1 1 0 0 0  116.488  0.   1.1565
1985 1 1 0 0 0   45.807  0.   1.2804
1986 1 1 0 0 0  309.989  0.   1.3766
1987 1 1 0 0 0  214.909  0.   1.4356
1988 1 1 0 0 0  120.154  0.   1.4514
1989 1 1 0 0 0   51.712  0.   1.4223
1990 1 1 0 0 0  316.457  0.   1.3514
1991 1 1 0 0 0  220.328  0.   1.2458
1992 1 1 0 0 0  122.812  0.   1.1166
1993 1 1 0 0 0   49.652  0.   0.9774
1994 1 1 0 0 0  307.467  0.   0.8448
1995 1 1 0 0 0  202.070  0.   0.7337
1996 1 1 0 0 0   93.421  0.   0.6576
1997 1 1 0 0 0    8.787  0.   0.6258
1998 1 1 0 0 0  257.472  0.   0.6425
1999 1 1 0 0 0  147.937  0.   0.7054
2000 1 1 0 0 0   41.479  0.   0.8067
2001 1 1 0 0 0  324.677  0.   0.9345
2002 1 1 0 0 0  224.395  0.   1.0731
2003 1 1 0 0 0  126.319  0.   1.2069
2004 1 1 0 0 0   29.812  0.   1.3213
2005 1 1 0 0 0  320.701  0.   1.4043
2006 1 1 0 0 0  225.792  0.   1.4471
2007 1 1 0 0 0  131.058  0.   1.4454
2008 1 1 0 0 0   36.122  0.   1.3996
2009 1 1 0 0 0  326.953  0.   1.3140
2010 1 1 0 0 0  230.352  0.   1.1977
2011 1 1 0 0 0  132.139  0.   1.0630
2012 1 1 0 0 0   31.670  0.   0.9247
2013 1 1 0 0 0  314.639  0.   0.7983
2014 1 1 0 0 0  207.940  0.   0.6994
2015 1 1 0 0 0   98.219  0.   0.6397
2016 1 1 0 0 0  346.853  0.   0.6265
2017 1 1 0 0 0  262.328  0.   0.6617
2018 1 1 0 0 0  153.896  0.   0.7407
2019 1 1 0 0 0   48.742  0.   0.8538
2020 1 1 0 0 0  306.773  0.   0.9874
2021 1 1 0 0 0  233.782  0.   1.1264
2022 1 1 0 0 0  136.384  0.   1.2543
2023 1 1 0 0 0   40.334  0.   1.3578
2024 1 1 0 0 0  305.125  0.   1.4259
2025 1 1 0 0 0  236.702  0.   1.4518
2026 1 1 0 0 0  141.935  0.   1.4327
2027 1 1 0 0 0   46.815  0.   1.3708
2028 1 1 0 0 0  310.926  0.   1.2722
2029 1 1 0 0 0  240.135  0.   1.1469
2030 1 1 0 0 0  141.126  0.   1.0089
2031 1 1 0 0 0   39.602  0.   0.8735
2032 1 1 0 0 0  294.963  0.   0.7562
2033 1 1 0 0 0  213.338  0.   0.6711
2034 1 1 0 0 0  102.755  0.   0.6288
2035 1 1 0 0 0  351.320  0.   0.6345
2036 1 1 0 0 0  241.228  0.   0.6874
2037 1 1 0 0 0  160.362  0.   0.7812
2038 1 1 0 0 0   56.491  0.   0.9041
2039 1 1 0 0 0  315.615  0.   1.0415
2040 1 1 0 0 0  217.097  0.   1.1778
2041 1 1 0 0 0  146.651  0.   1.2981
2042 1 1 0 0 0   50.983  0.   1.3889
2043 1 1 0 0 0  315.981  0.   1.4412
2044 1 1 0 0 0  221.240  0.   1.4497
2045 1 1 0 0 0  152.756  0.   1.4136
2046 1 1 0 0 0   57.391  0.   1.3364
2047 1 1 0 0 0  321.075  0.   1.2262
2048 1 1 0 0 0  223.281  0.   1.0944
2049 1 1 0 0 0  149.738  0.   0.9552
2050 1 1 0 0 0   47.064  0.   0.8250
2051 1 1 0 0 0  301.125  0.   0.7188
2052 1 1 0 0 0  192.009  0.   0.6493
2053 1 1 0 0 0  107.164  0.   0.6252
2054 1 1 0 0 0  356.004  0.   0.6497
2055 1 1 0 0 0  246.908  0.   0.7194
2056 1 1 0 0 0  140.992  0.   0.8258
2057 1 1 0 0 0   64.692  0.   0.9565
2058 1 1 0 0 0  324.811  0.   1.0954
2059 1 1 0 0 0  227.029  0.   1.2270
2060 1 1 0 0 0  130.722  0.   1.3371
2061 1 1 0 0 0   61.734  0.   1.4141
2062 1 1 0 0 0  326.880  0.   1.4498
2063 1 1 0 0 0  232.139  0.   1.4410
2064 1 1 0 0 0  137.134  0.   1.3883
2065 1 1 0 0 0   67.825  0.   1.2970
2066 1 1 0 0 0  331.003  0.   1.1769
2067 1 1 0 0 0  232.471  0.   1.0405
2068 1 1 0 0 0  131.576  0.   0.9031
2069 1 1 0 0 0   54.021  0.   0.7801
2070 1 1 0 0 0  306.789  0.   0.6869
