MK3  degrees/h:
   44.02517    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0   79.410  0.   1.0709
1951 1 1 0 0 0  183.234  0.   1.0715
1952 1 1 0 0 0  286.955  0.   1.0674
1953 1 1 0 0 0    6.914  0.   1.0581
1954 1 1 0 0 0  109.622  0.   1.0430
1955 1 1 0 0 0  211.433  0.   1.0218
1956 1 1 0 0 0  312.119  0.   0.9955
1957 1 1 0 0 0   28.118  0.   0.9666
1958 1 1 0 0 0  126.204  0.   0.9400
1959 1 1 0 0 0  223.184  0.   0.9212
1960 1 1 0 0 0  319.539  0.   0.9151
1961 1 1 0 0 0   32.535  0.   0.9232
1962 1 1 0 0 0  129.645  0.   0.9433
1963 1 1 0 0 0  227.905  0.   0.9706
1964 1 1 0 0 0  327.484  0.   0.9992
1965 1 1 0 0 0   44.940  0.   1.0250
1966 1 1 0 0 0  146.888  0.   1.0454
1967 1 1 0 0 0  249.699  0.   1.0597
1968 1 1 0 0 0  353.115  0.   1.0682
1969 1 1 0 0 0   73.479  0.   1.0717
1970 1 1 0 0 0  177.295  0.   1.0705
1971 1 1 0 0 0  280.904  0.   1.0644
1972 1 1 0 0 0   24.037  0.   1.0530
1973 1 1 0 0 0  103.036  0.   1.0354
1974 1 1 0 0 0  204.435  0.   1.0121
1975 1 1 0 0 0  304.635  0.   0.9844
1976 1 1 0 0 0   43.519  0.   0.9558
1977 1 1 0 0 0  117.734  0.   0.9315
1978 1 1 0 0 0  214.401  0.   0.9172
1979 1 1 0 0 0  310.688  0.   0.9165
1980 1 1 0 0 0   47.294  0.   0.9297
1981 1 1 0 0 0  121.408  0.   0.9534
1982 1 1 0 0 0  220.174  0.   0.9818
1983 1 1 0 0 0  320.260  0.   1.0097
1984 1 1 0 0 0   61.560  0.   1.0336
1985 1 1 0 0 0  140.482  0.   1.0517
1986 1 1 0 0 0  243.559  0.   1.0636
1987 1 1 0 0 0  347.136  0.   1.0701
1988 1 1 0 0 0   90.943  0.   1.0718
1989 1 1 0 0 0  171.324  0.   1.0687
1990 1 1 0 0 0  274.780  0.   1.0607
1991 1 1 0 0 0   17.656  0.   1.0469
1992 1 1 0 0 0  119.692  0.   1.0271
1993 1 1 0 0 0  197.255  0.   1.0017
1994 1 1 0 0 0  296.952  0.   0.9731
1995 1 1 0 0 0   35.326  0.   0.9456
1996 1 1 0 0 0  132.525  0.   0.9245
1997 1 1 0 0 0  205.558  0.   0.9152
1998 1 1 0 0 0  301.888  0.   0.9201
1999 1 1 0 0 0   38.789  0.   0.9379
2000 1 1 0 0 0  136.764  0.   0.9641
2001 1 1 0 0 0  212.644  0.   0.9929
2002 1 1 0 0 0  313.221  0.   1.0196
2003 1 1 0 0 0   54.940  0.   1.0413
2004 1 1 0 0 0  157.578  0.   1.0570
2005 1 1 0 0 0  237.491  0.   1.0668
2006 1 1 0 0 0  341.191  0.   1.0713
2007 1 1 0 0 0   85.017  0.   1.0712
2008 1 1 0 0 0  188.697  0.   1.0662
2009 1 1 0 0 0  268.571  0.   1.0560
2010 1 1 0 0 0   11.151  0.   1.0399
2011 1 1 0 0 0  112.794  0.   1.0178
2012 1 1 0 0 0  213.281  0.   0.9909
2013 1 1 0 0 0  289.064  0.   0.9620
2014 1 1 0 0 0   26.951  0.   0.9363
2015 1 1 0 0 0  123.791  0.   0.9193
2016 1 1 0 0 0  220.105  0.   0.9154
2017 1 1 0 0 0  293.175  0.   0.9257
2018 1 1 0 0 0   30.448  0.   0.9474
2019 1 1 0 0 0  128.917  0.   0.9752
2020 1 1 0 0 0  228.706  0.   1.0037
2021 1 1 0 0 0  306.353  0.   1.0287
2022 1 1 0 0 0   48.460  0.   1.0481
2023 1 1 0 0 0  151.386  0.   1.0614
2024 1 1 0 0 0  254.874  0.   1.0691
2025 1 1 0 0 0  335.265  0.   1.0718
2026 1 1 0 0 0   79.066  0.   1.0698
2027 1 1 0 0 0  182.617  0.   1.0630
2028 1 1 0 0 0  285.647  0.   1.0506
2029 1 1 0 0 0    4.504  0.   1.0321
2030 1 1 0 0 0  105.722  0.   1.0078
2031 1 1 0 0 0  205.714  0.   0.9797
2032 1 1 0 0 0  304.385  0.   0.9514
2033 1 1 0 0 0   18.420  0.   0.9284
2034 1 1 0 0 0  114.980  0.   0.9161
2035 1 1 0 0 0  211.272  0.   0.9178
2036 1 1 0 0 0  307.991  0.   0.9330
2037 1 1 0 0 0   22.289  0.   0.9578
2038 1 1 0 0 0  121.269  0.   0.9865
2039 1 1 0 0 0  221.561  0.   1.0139
2040 1 1 0 0 0  323.040  0.   1.0369
2041 1 1 0 0 0   42.103  0.   1.0540
2042 1 1 0 0 0  145.279  0.   1.0650
2043 1 1 0 0 0  248.912  0.   1.0707
2044 1 1 0 0 0  352.733  0.   1.0716
2045 1 1 0 0 0   73.080  0.   1.0678
2046 1 1 0 0 0  176.460  0.   1.0588
2047 1 1 0 0 0  279.217  0.   1.0441
2048 1 1 0 0 0   21.094  0.   1.0233
2049 1 1 0 0 0   98.460  0.   0.9972
2050 1 1 0 0 0  197.943  0.   0.9685
2051 1 1 0 0 0  296.112  0.   0.9416
2052 1 1 0 0 0   33.153  0.   0.9221
2053 1 1 0 0 0  106.122  0.   0.9150
2054 1 1 0 0 0  202.500  0.   0.9222
2055 1 1 0 0 0  299.547  0.   0.9417
2056 1 1 0 0 0   37.725  0.   0.9687
2057 1 1 0 0 0  113.822  0.   0.9975
2058 1 1 0 0 0  214.596  0.   1.0235
2059 1 1 0 0 0  316.480  0.   1.0443
2060 1 1 0 0 0   59.242  0.   1.0589
2061 1 1 0 0 0  139.236  0.   1.0678
2062 1 1 0 0 0  242.975  0.   1.0716
2063 1 1 0 0 0  346.795  0.   1.0707
2064 1 1 0 0 0   90.426  0.   1.0650
2065 1 1 0 0 0  170.209  0.   1.0538
2066 1 1 0 0 0  272.655  0.   1.0368
2067 1 1 0 0 0   14.126  0.   1.0138
2068 1 1 0 0 0  114.409  0.   0.9862
2069 1 1 0 0 0  189.979  0.   0.9575
2070 1 1 0 0 0  287.673  0.   0.9328
2071 1 1 0 0 0   24.386  0.   0.9177
2072 1 1 0 0 0  120.678  0.   0.9161
2073 1 1 0 0 0  193.834  0.   0.9286
2074 1 1 0 0 0  291.281  0.   0.9516
2075 1 1 0 0 0   29.961  0.   0.9799
2076 1 1 0 0 0  129.959  0.   1.0080
2077 1 1 0 0 0  207.794  0.   1.0323
2078 1 1 0 0 0  310.048  0.   1.0507
2079 1 1 0 0 0   53.084  0.   1.0630
2080 1 1 0 0 0  156.637  0.   1.0699
2081 1 1 0 0 0  237.053  0.   1.0718
2082 1 1 0 0 0  340.833  0.   1.0691
2083 1 1 0 0 0   84.317  0.   1.0613
2084 1 1 0 0 0  187.239  0.   1.0480
2085 1 1 0 0 0  265.945  0.   1.0285
2086 1 1 0 0 0    6.973  0.   1.0035
2087 1 1 0 0 0  106.759  0.   0.9750
2088 1 1 0 0 0  205.215  0.   0.9472
2089 1 1 0 0 0  279.076  0.   0.9256
2090 1 1 0 0 0   15.547  0.   0.9154
2091 1 1 0 0 0  111.862  0.   0.9194
2092 1 1 0 0 0  208.708  0.   0.9365
2093 1 1 0 0 0  283.203  0.   0.9623
2094 1 1 0 0 0   22.398  0.   0.9911
2095 1 1 0 0 0  122.894  0.   1.0180
2096 1 1 0 0 0  224.545  0.   1.0401
2097 1 1 0 0 0  303.743  0.   1.0562
2098 1 1 0 0 0   47.010  0.   1.0663
2099 1 1 0 0 0  150.693  0.   1.0712
2100 1 1 0 0 0  254.518  0.   1.0713
2101 1 1 0 0 0  334.826  0.   1.0667
2102 1 1 0 0 0   78.123  0.   1.0569
2103 1 1 0 0 0  180.756  0.   1.0412
2104 1 1 0 0 0  282.468  0.   1.0194
2105 1 1 0 0 0  359.639  0.   0.9927
2106 1 1 0 0 0   98.908  0.   0.9639
2107 1 1 0 0 0  196.875  0.   0.9378
2108 1 1 0 0 0  293.770  0.   0.9201
2109 1 1 0 0 0    6.687  0.   0.9152
2110 1 1 0 0 0  103.132  0.   0.9246
2111 1 1 0 0 0  200.338  0.   0.9457
2112 1 1 0 0 0  298.722  0.   0.9733
2113 1 1 0 0 0   15.029  0.   1.0020
2114 1 1 0 0 0  115.996  0.   1.0273
2115 1 1 0 0 0  218.038  0.   1.0470
2116 1 1 0 0 0  320.919  0.   1.0607
2117 1 1 0 0 0   40.992  0.   1.0688
2118 1 1 0 0 0  144.762  0.   1.0718
2119 1 1 0 0 0  248.570  0.   1.0701
2120 1 1 0 0 0  352.146  0.   1.0636
2121 1 1 0 0 0   71.829  0.   1.0515
2122 1 1 0 0 0  174.134  0.   1.0334
2123 1 1 0 0 0  275.426  0.   1.0096
2124 1 1 0 0 0   15.503  0.   0.9816
2125 1 1 0 0 0   90.854  0.   0.9531
2126 1 1 0 0 0  188.362  0.   0.9296
2127 1 1 0 0 0  284.964  0.   0.9165
2128 1 1 0 0 0   21.252  0.   0.9172
2129 1 1 0 0 0   94.519  0.   0.9317
2130 1 1 0 0 0  192.149  0.   0.9560
2131 1 1 0 0 0  291.042  0.   0.9846
2132 1 1 0 0 0   31.252  0.   1.0123
2133 1 1 0 0 0  109.268  0.   1.0356
2134 1 1 0 0 0  211.666  0.   1.0531
2135 1 1 0 0 0  314.802  0.   1.0645
2136 1 1 0 0 0   58.414  0.   1.0705
2137 1 1 0 0 0  138.841  0.   1.0717
2138 1 1 0 0 0  242.591  0.   1.0682
2139 1 1 0 0 0  346.003  0.   1.0596
2140 1 1 0 0 0   88.805  0.   1.0453
2141 1 1 0 0 0  167.355  0.   1.0248
2142 1 1 0 0 0  268.196  0.   0.9990
2143 1 1 0 0 0    7.765  0.   0.9703
2144 1 1 0 0 0  106.017  0.   0.9432
2145 1 1 0 0 0  179.711  0.   0.9230
2146 1 1 0 0 0  276.113  0.   0.9150
2147 1 1 0 0 0   12.466  0.   0.9213
2148 1 1 0 0 0  109.456  0.   0.9402
2149 1 1 0 0 0  184.148  0.   0.9669
2150 1 1 0 0 0  283.562  0.   0.9957
2151 1 1 0 0 0   24.253  0.   1.0220
2152 1 1 0 0 0  126.067  0.   1.0431
2153 1 1 0 0 0  205.396  0.   1.0582
2154 1 1 0 0 0  308.745  0.   1.0674
2155 1 1 0 0 0   52.473  0.   1.0715
2156 1 1 0 0 0  156.292  0.   1.0709
2157 1 1 0 0 0  236.554  0.   1.0655
2158 1 1 0 0 0  339.766  0.   1.0547
2159 1 1 0 0 0   82.262  0.   1.0381
2160 1 1 0 0 0  183.808  0.   1.0154
2161 1 1 0 0 0  260.773  0.   0.9880
2162 1 1 0 0 0  359.830  0.   0.9593
2163 1 1 0 0 0   97.598  0.   0.9342
2164 1 1 0 0 0  194.364  0.   0.9183
2165 1 1 0 0 0  267.253  0.   0.9158
2166 1 1 0 0 0    3.784  0.   0.9274
2167 1 1 0 0 0  101.156  0.   0.9499
2168 1 1 0 0 0  199.754  0.   0.9780
2169 1 1 0 0 0  276.265  0.   1.0064
2170 1 1 0 0 0   17.424  0.   1.0309
2171 1 1 0 0 0  119.615  0.   1.0497
2172 1 1 0 0 0  222.610  0.   1.0624
2173 1 1 0 0 0  302.748  0.   1.0696
2174 1 1 0 0 0   46.547  0.   1.0718
2175 1 1 0 0 0  150.332  0.   1.0694
2176 1 1 0 0 0  253.848  0.   1.0620
2177 1 1 0 0 0  333.422  0.   1.0490
2178 1 1 0 0 0   75.582  0.   1.0300
2179 1 1 0 0 0  176.686  0.   1.0052
2180 1 1 0 0 0  276.558  0.   0.9769
2181 1 1 0 0 0  351.696  0.   0.9488
2182 1 1 0 0 0   89.032  0.   0.9267
2183 1 1 0 0 0  185.533  0.   0.9156
2184 1 1 0 0 0  281.841  0.   0.9187
2185 1 1 0 0 0  355.226  0.   0.9351
2186 1 1 0 0 0   93.050  0.   0.9605
2187 1 1 0 0 0  192.154  0.   0.9892
2188 1 1 0 0 0  292.572  0.   1.0164
2189 1 1 0 0 0   10.760  0.   1.0389
2190 1 1 0 0 0  113.290  0.   1.0553
2191 1 1 0 0 0  216.526  0.   1.0658
2192 1 1 0 0 0  320.185  0.   1.0710
2193 1 1 0 0 0   40.628  0.   1.0714
2194 1 1 0 0 0  144.330  0.   1.0672
2195 1 1 0 0 0  247.666  0.   1.0577
2196 1 1 0 0 0  350.353  0.   1.0424
2197 1 1 0 0 0   68.736  0.   1.0210
2198 1 1 0 0 0  169.377  0.   0.9945
2199 1 1 0 0 0  268.736  0.   0.9657
