MN4  degrees/h:
   57.42383    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  286.343  0.   0.9293
1951 1 1 0 0 0   40.583  0.   0.9283
1952 1 1 0 0 0  154.759  0.   0.9352
1953 1 1 0 0 0  206.883  0.   0.9494
1954 1 1 0 0 0  320.479  0.   0.9694
1955 1 1 0 0 0   73.629  0.   0.9933
1956 1 1 0 0 0  186.295  0.   1.0184
1957 1 1 0 0 0  236.661  0.   1.0419
1958 1 1 0 0 0  348.459  0.   1.0609
1959 1 1 0 0 0   99.968  0.   1.0731
1960 1 1 0 0 0  211.329  0.   1.0770
1961 1 1 0 0 0  260.874  0.   1.0719
1962 1 1 0 0 0   12.414  0.   1.0586
1963 1 1 0 0 0  124.261  0.   1.0389
1964 1 1 0 0 0  236.519  0.   1.0150
1965 1 1 0 0 0  287.421  0.   0.9898
1966 1 1 0 0 0   40.636  0.   0.9664
1967 1 1 0 0 0  154.288  0.   0.9470
1968 1 1 0 0 0  268.280  0.   0.9338
1969 1 1 0 0 0  320.649  0.   0.9279
1970 1 1 0 0 0   74.884  0.   0.9300
1971 1 1 0 0 0  188.992  0.   0.9399
1972 1 1 0 0 0  302.821  0.   0.9565
1973 1 1 0 0 0  354.425  0.   0.9783
1974 1 1 0 0 0  107.388  0.   1.0030
1975 1 1 0 0 0  219.867  0.   1.0278
1976 1 1 0 0 0  331.900  0.   1.0499
1977 1 1 0 0 0   21.738  0.   1.0666
1978 1 1 0 0 0  133.172  0.   1.0757
1979 1 1 0 0 0  244.519  0.   1.0761
1980 1 1 0 0 0  355.938  0.   1.0677
1981 1 1 0 0 0   45.750  0.   1.0516
1982 1 1 0 0 0  157.746  0.   1.0299
1983 1 1 0 0 0  270.183  0.   1.0053
1984 1 1 0 0 0   23.104  0.   0.9805
1985 1 1 0 0 0   74.673  0.   0.9583
1986 1 1 0 0 0  188.470  0.   0.9411
1987 1 1 0 0 0  302.559  0.   0.9306
1988 1 1 0 0 0   56.785  0.   0.9278
1989 1 1 0 0 0  109.164  0.   0.9330
1990 1 1 0 0 0  223.180  0.   0.9456
1991 1 1 0 0 0  336.867  0.   0.9645
1992 1 1 0 0 0   90.123  0.   0.9877
1993 1 1 0 0 0  141.073  0.   1.0128
1994 1 1 0 0 0  253.372  0.   1.0369
1995 1 1 0 0 0    5.252  0.   1.0571
1996 1 1 0 0 0  116.815  0.   1.0711
1997 1 1 0 0 0  166.363  0.   1.0769
1998 1 1 0 0 0  277.719  0.   1.0738
1999 1 1 0 0 0   29.209  0.   1.0623
2000 1 1 0 0 0  140.975  0.   1.0438
2001 1 1 0 0 0  191.302  0.   1.0206
2002 1 1 0 0 0  303.925  0.   0.9955
2003 1 1 0 0 0   57.033  0.   0.9714
2004 1 1 0 0 0  170.592  0.   0.9509
2005 1 1 0 0 0  222.691  0.   0.9361
2006 1 1 0 0 0  336.854  0.   0.9286
2007 1 1 0 0 0   91.096  0.   0.9288
2008 1 1 0 0 0  205.246  0.   0.9370
2009 1 1 0 0 0  257.323  0.   0.9523
2010 1 1 0 0 0   10.852  0.   0.9731
2011 1 1 0 0 0  123.925  0.   0.9973
2012 1 1 0 0 0  236.512  0.   1.0223
2013 1 1 0 0 0  286.808  0.   1.0453
2014 1 1 0 0 0   38.551  0.   1.0634
2015 1 1 0 0 0  150.026  0.   1.0743
2016 1 1 0 0 0  261.378  0.   1.0768
2017 1 1 0 0 0  310.940  0.   1.0703
2018 1 1 0 0 0   62.521  0.   1.0558
2019 1 1 0 0 0  174.428  0.   1.0352
