MS4  degrees/h:
   58.98410    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0   70.941  0.   0.9640
1951 1 1 0 0 0  172.422  0.   0.9635
1952 1 1 0 0 0  273.872  0.   0.9670
1953 1 1 0 0 0  350.828  0.   0.9744
1954 1 1 0 0 0   91.987  0.   0.9846
1955 1 1 0 0 0  192.923  0.   0.9966
1956 1 1 0 0 0  293.617  0.   1.0091
1957 1 1 0 0 0    9.694  0.   1.0207
1958 1 1 0 0 0  109.954  0.   1.0300
1959 1 1 0 0 0  210.070  0.   1.0359
1960 1 1 0 0 0  310.112  0.   1.0378
1961 1 1 0 0 0   25.777  0.   1.0353
1962 1 1 0 0 0  125.908  0.   1.0289
1963 1 1 0 0 0  226.193  0.   1.0192
1964 1 1 0 0 0  326.683  0.   1.0075
1965 1 1 0 0 0   43.028  0.   0.9949
1966 1 1 0 0 0  143.997  0.   0.9830
1967 1 1 0 0 0  245.184  0.   0.9732
1968 1 1 0 0 0  346.541  0.   0.9663
1969 1 1 0 0 0   63.619  0.   0.9633
1970 1 1 0 0 0  165.098  0.   0.9644
1971 1 1 0 0 0  266.513  0.   0.9695
1972 1 1 0 0 0    7.789  0.   0.9780
1973 1 1 0 0 0   84.484  0.   0.9891
1974 1 1 0 0 0  185.327  0.   1.0015
1975 1 1 0 0 0  285.928  0.   1.0138
1976 1 1 0 0 0   26.305  0.   1.0246
1977 1 1 0 0 0  102.118  0.   1.0327
1978 1 1 0 0 0  202.196  0.   1.0371
1979 1 1 0 0 0  302.231  0.   1.0373
1980 1 1 0 0 0   42.302  0.   1.0333
1981 1 1 0 0 0  118.101  0.   1.0255
1982 1 1 0 0 0  218.461  0.   1.0149
1983 1 1 0 0 0  319.040  0.   1.0026
1984 1 1 0 0 0   59.862  0.   0.9902
1985 1 1 0 0 0  136.540  0.   0.9789
1986 1 1 0 0 0  237.800  0.   0.9701
1987 1 1 0 0 0  339.205  0.   0.9647
1988 1 1 0 0 0   80.680  0.   0.9632
1989 1 1 0 0 0  157.763  0.   0.9659
1990 1 1 0 0 0  259.132  0.   0.9724
1991 1 1 0 0 0    0.337  0.   0.9821
1992 1 1 0 0 0  101.326  0.   0.9938
1993 1 1 0 0 0  177.695  0.   1.0064
1994 1 1 0 0 0  278.205  0.   1.0183
1995 1 1 0 0 0   18.506  0.   1.0282
1996 1 1 0 0 0  118.649  0.   1.0349
1997 1 1 0 0 0  194.317  0.   1.0377
1998 1 1 0 0 0  294.356  0.   1.0363
1999 1 1 0 0 0   34.462  0.   1.0307
2000 1 1 0 0 0  134.706  0.   1.0217
2001 1 1 0 0 0  210.764  0.   1.0102
2002 1 1 0 0 0  311.436  0.   0.9977
2003 1 1 0 0 0   52.351  0.   0.9856
2004 1 1 0 0 0  153.492  0.   0.9752
2005 1 1 0 0 0  230.435  0.   0.9675
2006 1 1 0 0 0  331.878  0.   0.9636
2007 1 1 0 0 0   73.360  0.   0.9638
2008 1 1 0 0 0  174.796  0.   0.9680
2009 1 1 0 0 0  251.729  0.   0.9758
2010 1 1 0 0 0  352.854  0.   0.9864
2011 1 1 0 0 0   93.752  0.   0.9987
2012 1 1 0 0 0  194.407  0.   1.0111
2013 1 1 0 0 0  270.448  0.   1.0224
2014 1 1 0 0 0   10.681  0.   1.0312
2015 1 1 0 0 0  110.780  0.   1.0365
2016 1 1 0 0 0  210.817  0.   1.0377
2017 1 1 0 0 0  286.491  0.   1.0346
2018 1 1 0 0 0   26.643  0.   1.0275
2019 1 1 0 0 0  126.957  0.   1.0175
2020 1 1 0 0 0  227.483  0.   1.0055
2021 1 1 0 0 0  303.867  0.   0.9929
2022 1 1 0 0 0   44.875  0.   0.9813
2023 1 1 0 0 0  146.093  0.   0.9718
2024 1 1 0 0 0  247.472  0.   0.9656
2025 1 1 0 0 0  324.557  0.   0.9632
2026 1 1 0 0 0   66.031  0.   0.9649
2027 1 1 0 0 0  167.429  0.   0.9706
2028 1 1 0 0 0  268.676  0.   0.9797
2029 1 1 0 0 0  345.337  0.   0.9911
2030 1 1 0 0 0   86.141  0.   1.0035
2031 1 1 0 0 0  186.704  0.   1.0157
2032 1 1 0 0 0  287.048  0.   1.0262
2033 1 1 0 0 0    2.839  0.   1.0337
2034 1 1 0 0 0  102.905  0.   1.0375
2035 1 1 0 0 0  202.940  0.   1.0370
2036 1 1 0 0 0  303.024  0.   1.0323
2037 1 1 0 0 0   18.846  0.   1.0239
2038 1 1 0 0 0  119.239  0.   1.0130
2039 1 1 0 0 0  219.857  0.   1.0006
2040 1 1 0 0 0  320.717  0.   0.9883
2041 1 1 0 0 0   37.431  0.   0.9773
2042 1 1 0 0 0  138.719  0.   0.9690
2043 1 1 0 0 0  240.141  0.   0.9642
2044 1 1 0 0 0  341.621  0.   0.9634
2045 1 1 0 0 0   58.693  0.   0.9667
2046 1 1 0 0 0  160.040  0.   0.9738
2047 1 1 0 0 0  261.212  0.   0.9839
2048 1 1 0 0 0    2.164  0.   0.9958
2049 1 1 0 0 0   78.489  0.   1.0084
2050 1 1 0 0 0  178.963  0.   1.0200
2051 1 1 0 0 0  279.235  0.   1.0295
2052 1 1 0 0 0   19.358  0.   1.0357
2053 1 1 0 0 0   95.020  0.   1.0378
