MSF  degrees/h:
   1.015896    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  288.605  0.   0.9640
1951 1 1 0 0 0  187.852  0.   0.9635
1952 1 1 0 0 0   87.099  0.   0.9670
1953 1 1 0 0 0   10.729  0.   0.9744
1954 1 1 0 0 0  269.976  0.   0.9846
1955 1 1 0 0 0  169.223  0.   0.9966
1956 1 1 0 0 0   68.470  0.   1.0091
1957 1 1 0 0 0  352.099  0.   1.0207
1958 1 1 0 0 0  251.346  0.   1.0300
1959 1 1 0 0 0  150.593  0.   1.0359
1960 1 1 0 0 0   49.840  0.   1.0378
1961 1 1 0 0 0  333.467  0.   1.0353
1962 1 1 0 0 0  232.714  0.   1.0289
1963 1 1 0 0 0  131.961  0.   1.0192
1964 1 1 0 0 0   31.208  0.   1.0075
1965 1 1 0 0 0  314.837  0.   0.9949
1966 1 1 0 0 0  214.084  0.   0.9830
1967 1 1 0 0 0  113.331  0.   0.9732
1968 1 1 0 0 0   12.578  0.   0.9663
1969 1 1 0 0 0  296.207  0.   0.9633
1970 1 1 0 0 0  195.454  0.   0.9644
1971 1 1 0 0 0   94.701  0.   0.9695
1972 1 1 0 0 0  353.948  0.   0.9780
1973 1 1 0 0 0  277.577  0.   0.9891
1974 1 1 0 0 0  176.824  0.   1.0015
1975 1 1 0 0 0   76.071  0.   1.0138
1976 1 1 0 0 0  335.318  0.   1.0246
1977 1 1 0 0 0  258.948  0.   1.0327
1978 1 1 0 0 0  158.195  0.   1.0371
1979 1 1 0 0 0   57.442  0.   1.0373
1980 1 1 0 0 0  316.689  0.   1.0333
1981 1 1 0 0 0  240.318  0.   1.0255
1982 1 1 0 0 0  139.565  0.   1.0149
1983 1 1 0 0 0   38.812  0.   1.0026
1984 1 1 0 0 0  298.059  0.   0.9902
1985 1 1 0 0 0  221.686  0.   0.9789
1986 1 1 0 0 0  120.933  0.   0.9701
1987 1 1 0 0 0   20.180  0.   0.9647
1988 1 1 0 0 0  279.429  0.   0.9632
1989 1 1 0 0 0  203.058  0.   0.9659
1990 1 1 0 0 0  102.305  0.   0.9724
1991 1 1 0 0 0    1.552  0.   0.9821
1992 1 1 0 0 0  260.799  0.   0.9938
1993 1 1 0 0 0  184.426  0.   1.0064
1994 1 1 0 0 0   83.673  0.   1.0183
1995 1 1 0 0 0  342.920  0.   1.0282
1996 1 1 0 0 0  242.167  0.   1.0349
