MM   degrees/h:
  0.5443747    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  215.540  0.   0.8742
1951 1 1 0 0 0  304.262  0.   0.8724
1952 1 1 0 0 0   32.984  0.   0.8847
1953 1 1 0 0 0  134.772  0.   0.9097
1954 1 1 0 0 0  223.495  0.   0.9449
1955 1 1 0 0 0  312.217  0.   0.9866
1956 1 1 0 0 0   40.939  0.   1.0303
1957 1 1 0 0 0  142.727  0.   1.0709
1958 1 1 0 0 0  231.449  0.   1.1037
1959 1 1 0 0 0  320.171  0.   1.1246
1960 1 1 0 0 0   48.894  0.   1.1312
1961 1 1 0 0 0  150.680  0.   1.1226
1962 1 1 0 0 0  239.403  0.   1.0998
1963 1 1 0 0 0  328.125  0.   1.0657
1964 1 1 0 0 0   56.847  0.   1.0244
1965 1 1 0 0 0  158.635  0.   0.9807
1966 1 1 0 0 0  247.357  0.   0.9396
1967 1 1 0 0 0  336.080  0.   0.9056
1968 1 1 0 0 0   64.802  0.   0.8822
1969 1 1 0 0 0  166.590  0.   0.8718
1970 1 1 0 0 0  255.312  0.   0.8756
1971 1 1 0 0 0  344.034  0.   0.8930
1972 1 1 0 0 0   72.756  0.   0.9223
1973 1 1 0 0 0  174.544  0.   0.9606
1974 1 1 0 0 0  263.266  0.   1.0036
1975 1 1 0 0 0  351.989  0.   1.0466
1976 1 1 0 0 0   80.711  0.   1.0847
1977 1 1 0 0 0  182.499  0.   1.1134
1978 1 1 0 0 0  271.221  0.   1.1290
1979 1 1 0 0 0  359.943  0.   1.1297
1980 1 1 0 0 0   88.666  0.   1.1153
1981 1 1 0 0 0  190.453  0.   1.0877
1982 1 1 0 0 0  279.176  0.   1.0503
1983 1 1 0 0 0    7.898  0.   1.0075
1984 1 1 0 0 0   96.620  0.   0.9643
1985 1 1 0 0 0  198.406  0.   0.9254
1986 1 1 0 0 0  287.129  0.   0.8951
1987 1 1 0 0 0   15.851  0.   0.8766
1988 1 1 0 0 0  104.574  0.   0.8716
1989 1 1 0 0 0  206.362  0.   0.8808
1990 1 1 0 0 0  295.084  0.   0.9031
1991 1 1 0 0 0   23.807  0.   0.9362
1992 1 1 0 0 0  112.529  0.   0.9768
1993 1 1 0 0 0  214.316  0.   1.0206
1994 1 1 0 0 0  303.038  0.   1.0623
1995 1 1 0 0 0   31.760  0.   1.0972
1996 1 1 0 0 0  120.482  0.   1.1211
1997 1 1 0 0 0  222.271  0.   1.1311
1998 1 1 0 0 0  310.993  0.   1.1258
1999 1 1 0 0 0   39.715  0.   1.1061
2000 1 1 0 0 0  128.438  0.   1.0742
2001 1 1 0 0 0  230.225  0.   1.0341
2002 1 1 0 0 0  318.947  0.   0.9905
2003 1 1 0 0 0   47.669  0.   0.9485
2004 1 1 0 0 0  136.392  0.   0.9125
2005 1 1 0 0 0  238.180  0.   0.8864
2006 1 1 0 0 0  326.902  0.   0.8730
2007 1 1 0 0 0   55.624  0.   0.8735
2008 1 1 0 0 0  144.347  0.   0.8879
2009 1 1 0 0 0  246.134  0.   0.9148
2010 1 1 0 0 0  334.856  0.   0.9513
2011 1 1 0 0 0   63.579  0.   0.9937
2012 1 1 0 0 0  152.301  0.   1.0371
2013 1 1 0 0 0  254.089  0.   1.0769
2014 1 1 0 0 0  342.811  0.   1.1079
2015 1 1 0 0 0   71.533  0.   1.1267
2016 1 1 0 0 0  160.256  0.   1.1309
2017 1 1 0 0 0  262.042  0.   1.1198
2018 1 1 0 0 0  350.764  0.   1.0950
2019 1 1 0 0 0   79.487  0.   1.0594
2020 1 1 0 0 0  168.210  0.   1.0174
2021 1 1 0 0 0  269.998  0.   0.9737
2022 1 1 0 0 0  358.719  0.   0.9335
2023 1 1 0 0 0   87.441  0.   0.9010
2024 1 1 0 0 0  176.164  0.   0.8796
2025 1 1 0 0 0  277.952  0.   0.8715
2026 1 1 0 0 0    6.674  0.   0.8775
2027 1 1 0 0 0   95.397  0.   0.8969
2028 1 1 0 0 0  184.119  0.   0.9279
2029 1 1 0 0 0  285.906  0.   0.9673
2030 1 1 0 0 0   14.628  0.   1.0107
2031 1 1 0 0 0  103.351  0.   1.0532
2032 1 1 0 0 0  192.073  0.   1.0901
2033 1 1 0 0 0  293.859  0.   1.1169
2034 1 1 0 0 0   22.582  0.   1.1301
2035 1 1 0 0 0  111.304  0.   1.1283
2036 1 1 0 0 0  200.026  0.   1.1117
2037 1 1 0 0 0  301.815  0.   1.0822
2038 1 1 0 0 0   30.538  0.   1.0436
2039 1 1 0 0 0  119.260  0.   1.0004
2040 1 1 0 0 0  207.982  0.   0.9576
2041 1 1 0 0 0  309.769  0.   0.9198
2042 1 1 0 0 0   38.491  0.   0.8913
2043 1 1 0 0 0  127.213  0.   0.8748
2044 1 1 0 0 0  215.936  0.   0.8721
2045 1 1 0 0 0  317.724  0.   0.8835
2046 1 1 0 0 0   46.446  0.   0.9077
