MU2  degrees/h:
   27.96821    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  142.337  0.   0.9640
1951 1 1 0 0 0  344.571  0.   0.9635
1952 1 1 0 0 0  186.773  0.   0.9670
1953 1 1 0 0 0  340.099  0.   0.9744
1954 1 1 0 0 0  182.011  0.   0.9846
1955 1 1 0 0 0   23.700  0.   0.9966
1956 1 1 0 0 0  225.147  0.   1.0091
1957 1 1 0 0 0   17.595  0.   1.0207
1958 1 1 0 0 0  218.608  0.   1.0300
1959 1 1 0 0 0   59.477  0.   1.0359
1960 1 1 0 0 0  260.272  0.   1.0378
1961 1 1 0 0 0   52.310  0.   1.0353
1962 1 1 0 0 0  253.194  0.   1.0289
1963 1 1 0 0 0   94.232  0.   1.0192
1964 1 1 0 0 0  295.475  0.   1.0075
1965 1 1 0 0 0   88.191  0.   0.9949
1966 1 1 0 0 0  289.912  0.   0.9830
1967 1 1 0 0 0  131.853  0.   0.9732
1968 1 1 0 0 0  333.963  0.   0.9663
1969 1 1 0 0 0  127.412  0.   0.9633
1970 1 1 0 0 0  329.644  0.   0.9644
1971 1 1 0 0 0  171.812  0.   0.9695
1972 1 1 0 0 0   13.840  0.   0.9780
1973 1 1 0 0 0  166.907  0.   0.9891
1974 1 1 0 0 0    8.503  0.   1.0015
1975 1 1 0 0 0  209.857  0.   1.0138
1976 1 1 0 0 0   50.987  0.   1.0246
1977 1 1 0 0 0  203.171  0.   1.0327
1978 1 1 0 0 0   44.002  0.   1.0371
1979 1 1 0 0 0  244.789  0.   1.0373
1980 1 1 0 0 0   85.613  0.   1.0333
1981 1 1 0 0 0  237.784  0.   1.0255
1982 1 1 0 0 0   78.896  0.   1.0149
1983 1 1 0 0 0  280.229  0.   1.0026
1984 1 1 0 0 0  121.803  0.   0.9902
1985 1 1 0 0 0  274.854  0.   0.9789
1986 1 1 0 0 0  116.867  0.   0.9701
1987 1 1 0 0 0  319.025  0.   0.9647
1988 1 1 0 0 0  161.251  0.   0.9632
1989 1 1 0 0 0  314.705  0.   0.9659
1990 1 1 0 0 0  156.827  0.   0.9724
1991 1 1 0 0 0  358.785  0.   0.9821
1992 1 1 0 0 0  200.527  0.   0.9938
1993 1 1 0 0 0  353.269  0.   1.0064
1994 1 1 0 0 0  194.532  0.   1.0183
1995 1 1 0 0 0   35.586  0.   1.0282
1996 1 1 0 0 0  236.481  0.   1.0349
1997 1 1 0 0 0   28.520  0.   1.0377
1998 1 1 0 0 0  229.313  0.   1.0363
1999 1 1 0 0 0   70.172  0.   1.0307
2000 1 1 0 0 0  271.169  0.   1.0217
2001 1 1 0 0 0   63.597  0.   1.0102
2002 1 1 0 0 0  265.023  0.   0.9977
2003 1 1 0 0 0  106.691  0.   0.9856
2004 1 1 0 0 0  308.584  0.   0.9752
2005 1 1 0 0 0  101.899  0.   0.9675
2006 1 1 0 0 0  304.094  0.   0.9636
2007 1 1 0 0 0  146.329  0.   0.9638
2008 1 1 0 0 0  348.519  0.   0.9680
2009 1 1 0 0 0  141.822  0.   0.9758
2010 1 1 0 0 0  343.700  0.   0.9864
2011 1 1 0 0 0  185.351  0.   0.9987
2012 1 1 0 0 0   26.759  0.   1.0111
2013 1 1 0 0 0  179.172  0.   1.0224
2014 1 1 0 0 0   20.157  0.   1.0312
2015 1 1 0 0 0  221.009  0.   1.0365
2016 1 1 0 0 0   61.799  0.   1.0377
2017 1 1 0 0 0  213.846  0.   1.0346
2018 1 1 0 0 0   54.751  0.   1.0275
2019 1 1 0 0 0  255.818  0.   1.0175
2020 1 1 0 0 0   97.095  0.   1.0055
2021 1 1 0 0 0  249.849  0.   0.9929
2022 1 1 0 0 0   91.613  0.   0.9813
2023 1 1 0 0 0  293.584  0.   0.9718
2024 1 1 0 0 0  135.716  0.   0.9656
2025 1 1 0 0 0  289.170  0.   0.9632
2026 1 1 0 0 0  131.397  0.   0.9649
2027 1 1 0 0 0  333.547  0.   0.9706
2028 1 1 0 0 0  175.547  0.   0.9797
2029 1 1 0 0 0  328.581  0.   0.9911
2030 1 1 0 0 0  170.138  0.   1.0035
2031 1 1 0 0 0   11.454  0.   1.0157
2032 1 1 0 0 0  212.552  0.   1.0262
2033 1 1 0 0 0    4.716  0.   1.0337
2034 1 1 0 0 0  205.534  0.   1.0375
2035 1 1 0 0 0   46.322  0.   1.0370
2036 1 1 0 0 0  247.160  0.   1.0323
2037 1 1 0 0 0   39.351  0.   1.0239
2038 1 1 0 0 0  240.496  0.   1.0130
2039 1 1 0 0 0   81.867  0.   1.0006
2040 1 1 0 0 0  283.480  0.   0.9883
2041 1 1 0 0 0   76.567  0.   0.9773
2042 1 1 0 0 0  278.608  0.   0.9690
2043 1 1 0 0 0  120.783  0.   0.9642
2044 1 1 0 0 0  323.016  0.   0.9634
2045 1 1 0 0 0  116.457  0.   0.9667
2046 1 1 0 0 0  318.557  0.   0.9738
2047 1 1 0 0 0  160.482  0.   0.9839
2048 1 1 0 0 0    2.187  0.   0.9958
2049 1 1 0 0 0  154.881  0.   1.0084
2050 1 1 0 0 0  356.108  0.   1.0200
2051 1 1 0 0 0  197.133  0.   1.0295
2052 1 1 0 0 0   38.009  0.   1.0357
2053 1 1 0 0 0  190.043  0.   1.0378
2054 1 1 0 0 0   30.841  0.   1.0356
2055 1 1 0 0 0  231.718  0.   1.0294
2056 1 1 0 0 0   72.744  0.   1.0200
2057 1 1 0 0 0  225.212  0.   1.0082
2058 1 1 0 0 0   66.676  0.   0.9957
2059 1 1 0 0 0  268.383  0.   0.9838
2060 1 1 0 0 0  110.310  0.   0.9737
2061 1 1 0 0 0  263.644  0.   0.9666
2062 1 1 0 0 0  105.851  0.   0.9634
2063 1 1 0 0 0  308.084  0.   0.9642
2064 1 1 0 0 0  150.259  0.   0.9690
2065 1 1 0 0 0  303.540  0.   0.9774
2066 1 1 0 0 0  145.384  0.   0.9883
2067 1 1 0 0 0  346.995  0.   1.0007
2068 1 1 0 0 0  188.365  0.   1.0130
2069 1 1 0 0 0  340.747  0.   1.0240
2070 1 1 0 0 0  181.706  0.   1.0323
2071 1 1 0 0 0   22.543  0.   1.0370
2072 1 1 0 0 0  223.331  0.   1.0375
2073 1 1 0 0 0   15.380  0.   1.0337
2074 1 1 0 0 0  216.307  0.   1.0261
2075 1 1 0 0 0   57.406  0.   1.0156
2076 1 1 0 0 0  258.716  0.   1.0034
2077 1 1 0 0 0   51.514  0.   0.9909
2078 1 1 0 0 0  253.310  0.   0.9796
2079 1 1 0 0 0   95.311  0.   0.9706
2080 1 1 0 0 0  297.463  0.   0.9649
2081 1 1 0 0 0   90.932  0.   0.9632
2082 1 1 0 0 0  293.152  0.   0.9656
2083 1 1 0 0 0  135.283  0.   0.9719
2084 1 1 0 0 0  337.253  0.   0.9814
2085 1 1 0 0 0  130.250  0.   0.9930
2086 1 1 0 0 0  331.759  0.   1.0056
2087 1 1 0 0 0  173.046  0.   1.0175
2088 1 1 0 0 0   14.104  0.   1.0276
2089 1 1 0 0 0  166.246  0.   1.0346
2090 1 1 0 0 0    7.054  0.   1.0377
2091 1 1 0 0 0  207.845  0.   1.0365
2092 1 1 0 0 0   48.697  0.   1.0312
2093 1 1 0 0 0  200.922  0.   1.0223
2094 1 1 0 0 0   42.102  0.   1.0110
2095 1 1 0 0 0  243.512  0.   0.9986
2096 1 1 0 0 0   85.164  0.   0.9864
2097 1 1 0 0 0  238.285  0.   0.9757
2098 1 1 0 0 0   80.352  0.   0.9679
2099 1 1 0 0 0  282.542  0.   0.9638
