N2   degrees/h:
   28.43973    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  215.402  0.   0.9640
1951 1 1 0 0 0  228.160  0.   0.9635
1952 1 1 0 0 0  240.888  0.   0.9670
1953 1 1 0 0 0  216.055  0.   0.9744
1954 1 1 0 0 0  228.492  0.   0.9846
1955 1 1 0 0 0  240.706  0.   0.9966
1956 1 1 0 0 0  252.678  0.   1.0091
1957 1 1 0 0 0  226.967  0.   1.0207
1958 1 1 0 0 0  238.505  0.   1.0300
1959 1 1 0 0 0  249.898  0.   1.0359
1960 1 1 0 0 0  261.218  0.   1.0378
1961 1 1 0 0 0  235.097  0.   1.0353
1962 1 1 0 0 0  246.506  0.   1.0289
1963 1 1 0 0 0  258.068  0.   1.0192
1964 1 1 0 0 0  269.836  0.   1.0075
1965 1 1 0 0 0  244.393  0.   0.9949
1966 1 1 0 0 0  256.640  0.   0.9830
1967 1 1 0 0 0  269.104  0.   0.9732
1968 1 1 0 0 0  281.739  0.   0.9663
1969 1 1 0 0 0  257.030  0.   0.9633
1970 1 1 0 0 0  269.786  0.   0.9644
1971 1 1 0 0 0  282.479  0.   0.9695
1972 1 1 0 0 0  295.032  0.   0.9780
1973 1 1 0 0 0  269.940  0.   0.9891
1974 1 1 0 0 0  282.061  0.   1.0015
1975 1 1 0 0 0  293.939  0.   1.0138
1976 1 1 0 0 0  305.594  0.   1.0246
1977 1 1 0 0 0  279.620  0.   1.0327
1978 1 1 0 0 0  290.975  0.   1.0371
1979 1 1 0 0 0  302.288  0.   1.0373
1980 1 1 0 0 0  313.636  0.   1.0333
1981 1 1 0 0 0  287.648  0.   1.0255
1982 1 1 0 0 0  299.285  0.   1.0149
1983 1 1 0 0 0  311.143  0.   1.0026
1984 1 1 0 0 0  323.242  0.   0.9902
1985 1 1 0 0 0  298.133  0.   0.9789
1986 1 1 0 0 0  310.671  0.   0.9701
1987 1 1 0 0 0  323.354  0.   0.9647
1988 1 1 0 0 0  336.105  0.   0.9632
1989 1 1 0 0 0  311.401  0.   0.9659
1990 1 1 0 0 0  324.048  0.   0.9724
1991 1 1 0 0 0  336.530  0.   0.9821
1992 1 1 0 0 0  348.797  0.   0.9938
1993 1 1 0 0 0  323.379  0.   1.0064
1994 1 1 0 0 0  335.167  0.   1.0183
1995 1 1 0 0 0  346.746  0.   1.0282
1996 1 1 0 0 0  358.166  0.   1.0349
1997 1 1 0 0 0  332.046  0.   1.0377
1998 1 1 0 0 0  343.363  0.   1.0363
1999 1 1 0 0 0  354.747  0.   1.0307
2000 1 1 0 0 0    6.269  0.   1.0217
