NU2  degrees/h:
   28.51258    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  357.876  0.   0.9640
1951 1 1 0 0 0  288.832  0.   0.9635
1952 1 1 0 0 0  219.757  0.   0.9670
1953 1 1 0 0 0  114.871  0.   0.9744
1954 1 1 0 0 0   45.506  0.   0.9846
1955 1 1 0 0 0  335.917  0.   0.9966
1956 1 1 0 0 0  266.087  0.   1.0091
1957 1 1 0 0 0  160.322  0.   1.0207
1958 1 1 0 0 0   90.057  0.   1.0300
1959 1 1 0 0 0   19.648  0.   1.0359
1960 1 1 0 0 0  309.166  0.   1.0378
1961 1 1 0 0 0  202.990  0.   1.0353
1962 1 1 0 0 0  132.597  0.   1.0289
1963 1 1 0 0 0   62.357  0.   1.0192
1964 1 1 0 0 0  352.323  0.   1.0075
1965 1 1 0 0 0  246.826  0.   0.9949
1966 1 1 0 0 0  177.270  0.   0.9830
1967 1 1 0 0 0  107.932  0.   0.9732
1968 1 1 0 0 0   38.764  0.   0.9663
1969 1 1 0 0 0  294.002  0.   0.9633
1970 1 1 0 0 0  224.956  0.   0.9644
1971 1 1 0 0 0  155.846  0.   0.9695
1972 1 1 0 0 0   86.597  0.   0.9780
1973 1 1 0 0 0  341.451  0.   0.9891
1974 1 1 0 0 0  271.769  0.   1.0015
1975 1 1 0 0 0  201.845  0.   1.0138
1976 1 1 0 0 0  131.698  0.   1.0246
1977 1 1 0 0 0   25.669  0.   1.0327
1978 1 1 0 0 0  315.223  0.   1.0371
1979 1 1 0 0 0  244.732  0.   1.0373
1980 1 1 0 0 0  174.279  0.   1.0333
1981 1 1 0 0 0   68.237  0.   1.0255
1982 1 1 0 0 0  358.072  0.   1.0149
1983 1 1 0 0 0  288.126  0.   1.0026
1984 1 1 0 0 0  218.423  0.   0.9902
1985 1 1 0 0 0  113.260  0.   0.9789
1986 1 1 0 0 0   43.996  0.   0.9701
1987 1 1 0 0 0  334.876  0.   0.9647
1988 1 1 0 0 0  265.825  0.   0.9632
1989 1 1 0 0 0  161.067  0.   0.9659
1990 1 1 0 0 0   91.912  0.   0.9724
1991 1 1 0 0 0   22.592  0.   0.9821
1992 1 1 0 0 0  313.056  0.   0.9938
1993 1 1 0 0 0  207.584  0.   1.0064
1994 1 1 0 0 0  137.570  0.   1.0183
1995 1 1 0 0 0   67.346  0.   1.0282
1996 1 1 0 0 0  356.964  0.   1.0349
1997 1 1 0 0 0  250.791  0.   1.0377
1998 1 1 0 0 0  180.305  0.   1.0363
1999 1 1 0 0 0  109.886  0.   1.0307
2000 1 1 0 0 0   39.607  0.   1.0217
2001 1 1 0 0 0  293.822  0.   1.0102
2002 1 1 0 0 0  223.970  0.   0.9977
2003 1 1 0 0 0  154.360  0.   0.9856
2004 1 1 0 0 0   84.976  0.   0.9752
2005 1 1 0 0 0  340.078  0.   0.9675
2006 1 1 0 0 0  270.996  0.   0.9636
2007 1 1 0 0 0  201.953  0.   0.9638
2008 1 1 0 0 0  132.865  0.   0.9680
2009 1 1 0 0 0   27.956  0.   0.9758
