O1   degrees/h:
   13.94304    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0   63.116  0.   1.1801
1951 1 1 0 0 0  161.224  0.   1.1820
1952 1 1 0 0 0  259.388  0.   1.1682
1953 1 1 0 0 0  332.387  0.   1.1390
1954 1 1 0 0 0   71.164  0.   1.0957
1955 1 1 0 0 0  170.588  0.   1.0406
1956 1 1 0 0 0  270.964  0.   0.9779
1957 1 1 0 0 0  347.264  0.   0.9138
1958 1 1 0 0 0   90.473  0.   0.8574
1959 1 1 0 0 0  195.179  0.   0.8187
1960 1 1 0 0 0  300.819  0.   0.8060
1961 1 1 0 0 0   21.030  0.   0.8226
1962 1 1 0 0 0  125.551  0.   0.8643
1963 1 1 0 0 0  228.541  0.   0.9223
1964 1 1 0 0 0  330.013  0.   0.9866
1965 1 1 0 0 0   44.870  0.   1.0488
1966 1 1 0 0 0  144.188  0.   1.1024
1967 1 1 0 0 0  242.897  0.   1.1439
1968 1 1 0 0 0  341.233  0.   1.1710
1969 1 1 0 0 0   54.004  0.   1.1827
1970 1 1 0 0 0  152.117  0.   1.1786
1971 1 1 0 0 0  250.342  0.   1.1587
1972 1 1 0 0 0  348.847  0.   1.1239
1973 1 1 0 0 0   62.469  0.   1.0755
1974 1 1 0 0 0  162.223  0.   1.0169
1975 1 1 0 0 0  263.060  0.   0.9528
1976 1 1 0 0 0    5.302  0.   0.8906
1977 1 1 0 0 0   83.761  0.   0.8397
1978 1 1 0 0 0  188.927  0.   0.8103
1979 1 1 0 0 0  294.668  0.   0.8090
1980 1 1 0 0 0   39.925  0.   0.8361
1981 1 1 0 0 0  118.520  0.   0.8855
1982 1 1 0 0 0  220.900  0.   0.9470
1983 1 1 0 0 0  321.850  0.   1.0113
1984 1 1 0 0 0   61.687  0.   1.0707
1985 1 1 0 0 0  135.366  0.   1.1201
1986 1 1 0 0 0  233.905  0.   1.1562
1987 1 1 0 0 0  332.148  0.   1.1774
1988 1 1 0 0 0   70.263  0.   1.1830
1989 1 1 0 0 0  143.025  0.   1.1727
1990 1 1 0 0 0  241.338  0.   1.1469
1991 1 1 0 0 0  340.004  0.   1.1066
1992 1 1 0 0 0   79.257  0.   1.0539
1993 1 1 0 0 0  154.021  0.   0.9923
1994 1 1 0 0 0  255.369  0.   0.9279
1995 1 1 0 0 0  358.218  0.   0.8690
1996 1 1 0 0 0  102.614  0.   0.8254
1997 1 1 0 0 0  182.765  0.   0.8063
1998 1 1 0 0 0  288.442  0.   0.8164
1999 1 1 0 0 0   33.263  0.   0.8531
2000 1 1 0 0 0  136.614  0.   0.9083
2001 1 1 0 0 0  213.043  0.   0.9721
2002 1 1 0 0 0  313.521  0.   1.0352
2003 1 1 0 0 0   53.016  0.   1.0912
2004 1 1 0 0 0  151.840  0.   1.1357
2005 1 1 0 0 0  224.867  0.   1.1663
2006 1 1 0 0 0  323.043  0.   1.1815
2007 1 1 0 0 0   61.151  0.   1.1809
2008 1 1 0 0 0  159.337  0.   1.1646
2009 1 1 0 0 0  232.388  0.   1.1329
2010 1 1 0 0 0  331.251  0.   1.0875
2011 1 1 0 0 0   70.807  0.   1.0309
2012 1 1 0 0 0  171.368  0.   0.9674
2013 1 1 0 0 0  247.905  0.   0.9039
2014 1 1 0 0 0  351.370  0.   0.8497
2015 1 1 0 0 0   96.280  0.   0.8147
2016 1 1 0 0 0  201.982  0.   0.8067
2017 1 1 0 0 0  282.082  0.   0.8278
2018 1 1 0 0 0   26.373  0.   0.8729
2019 1 1 0 0 0  129.108  0.   0.9325
2020 1 1 0 0 0  230.355  0.   0.9969
2021 1 1 0 0 0  305.042  0.   1.0581
2022 1 1 0 0 0   44.245  0.   1.1100
2023 1 1 0 0 0  142.879  0.   1.1493
2024 1 1 0 0 0  241.174  0.   1.1740
2025 1 1 0 0 0  313.928  0.   1.1831
2026 1 1 0 0 0   52.048  0.   1.1764
2027 1 1 0 0 0  150.307  0.   1.1541
2028 1 1 0 0 0  248.875  0.   1.1170
2029 1 1 0 0 0  322.601  0.   1.0667
2030 1 1 0 0 0   62.507  0.   1.0067
2031 1 1 0 0 0  163.551  0.   0.9424
2032 1 1 0 0 0  266.043  0.   0.8814
2033 1 1 0 0 0  344.750  0.   0.8333
2034 1 1 0 0 0   90.075  0.   0.8081
2035 1 1 0 0 0  195.810  0.   0.8116
2036 1 1 0 0 0  300.898  0.   0.8428
2037 1 1 0 0 0   19.242  0.   0.8948
2038 1 1 0 0 0  121.374  0.   0.9575
