OO1  degrees/h:
   16.13910    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  132.535  0.   1.7634
1951 1 1 0 0 0   41.171  0.   1.7742
1952 1 1 0 0 0  309.580  0.   1.7002
1953 1 1 0 0 0  244.495  0.   1.5521
1954 1 1 0 0 0  150.483  0.   1.3531
1955 1 1 0 0 0   54.083  0.   1.1313
1956 1 1 0 0 0  314.342  0.   0.9157
1957 1 1 0 0 0  237.597  0.   0.7302
1958 1 1 0 0 0  128.489  0.   0.5924
1959 1 1 0 0 0   14.601  0.   0.5098
1960 1 1 0 0 0  257.768  0.   0.4848
1961 1 1 0 0 0  168.464  0.   0.5178
1962 1 1 0 0 0   55.164  0.   0.6082
1963 1 1 0 0 0  306.762  0.   0.7531
1964 1 1 0 0 0  203.328  0.   0.9434
1965 1 1 0 0 0  131.446  0.   1.1620
1966 1 1 0 0 0   35.429  0.   1.3825
1967 1 1 0 0 0  301.677  0.   1.5761
1968 1 1 0 0 0  209.384  0.   1.7148
1969 1 1 0 0 0  145.225  0.   1.7779
1970 1 1 0 0 0   53.845  0.   1.7552
1971 1 1 0 0 0  321.999  0.   1.6506
1972 1 1 0 0 0  229.036  0.   1.4800
1973 1 1 0 0 0  161.562  0.   1.2681
1974 1 1 0 0 0   63.985  0.   1.0454
1975 1 1 0 0 0  322.676  0.   0.8391
1976 1 1 0 0 0  216.704  0.   0.6710
1977 1 1 0 0 0  132.955  0.   0.5536
1978 1 1 0 0 0   17.612  0.   0.4933
1979 1 1 0 0 0  260.457  0.   0.4907
1980 1 1 0 0 0  144.830  0.   0.5459
1981 1 1 0 0 0   60.642  0.   0.6583
1982 1 1 0 0 0  314.222  0.   0.8224
1983 1 1 0 0 0  212.532  0.   1.0260
1984 1 1 0 0 0  114.663  0.   1.2483
1985 1 1 0 0 0   46.981  0.   1.4624
1986 1 1 0 0 0  313.884  0.   1.6378
1987 1 1 0 0 0  221.966  0.   1.7491
1988 1 1 0 0 0  130.571  0.   1.7794
1989 1 1 0 0 0   66.450  0.   1.7237
1990 1 1 0 0 0  334.252  0.   1.5910
1991 1 1 0 0 0  240.660  0.   1.4013
1992 1 1 0 0 0  144.881  0.   1.1820
1993 1 1 0 0 0   73.325  0.   0.9620
1994 1 1 0 0 0  330.303  0.   0.7685
1995 1 1 0 0 0  222.358  0.   0.6190
1996 1 1 0 0 0  109.456  0.   0.5235
1997 1 1 0 0 0   20.339  0.   0.4854
1998 1 1 0 0 0  263.386  0.   0.5053
1999 1 1 0 0 0  149.136  0.   0.5828
2000 1 1 0 0 0   39.572  0.   0.7159
2001 1 1 0 0 0  322.398  0.   0.8976
2002 1 1 0 0 0  222.310  0.   1.1114
2003 1 1 0 0 0  125.653  0.   1.3338
2004 1 1 0 0 0   31.463  0.   1.5361
2005 1 1 0 0 0  326.269  0.   1.6897
2006 1 1 0 0 0  234.627  0.   1.7710
2007 1 1 0 0 0  143.267  0.   1.7679
2008 1 1 0 0 0   51.582  0.   1.6808
2009 1 1 0 0 0  346.294  0.   1.5228
2010 1 1 0 0 0  251.955  0.   1.3181
2011 1 1 0 0 0  155.084  0.   1.0953
2012 1 1 0 0 0   54.709  0.   0.8832
2013 1 1 0 0 0  337.182  0.   0.7045
2014 1 1 0 0 0  227.251  0.   0.5753
2015 1 1 0 0 0  112.718  0.   0.5019
2016 1 1 0 0 0  355.688  0.   0.4862
2017 1 1 0 0 0  266.737  0.   0.5285
2018 1 1 0 0 0  154.166  0.   0.6281
2019 1 1 0 0 0   46.592  0.   0.7811
2020 1 1 0 0 0  303.901  0.   0.9773
2021 1 1 0 0 0  232.607  0.   1.1982
2022 1 1 0 0 0  137.013  0.   1.4163
2023 1 1 0 0 0   43.548  0.   1.6028
2024 1 1 0 0 0  311.423  0.   1.7305
2025 1 1 0 0 0  247.331  0.   1.7801
2026 1 1 0 0 0  155.917  0.   1.7436
2027 1 1 0 0 0   63.937  0.   1.6270
2028 1 1 0 0 0  330.726  0.   1.4479
2029 1 1 0 0 0  262.871  0.   1.2321
2030 1 1 0 0 0  164.759  0.   1.0103
2031 1 1 0 0 0   62.755  0.   0.8090
2032 1 1 0 0 0  315.968  0.   0.6484
2033 1 1 0 0 0  231.427  0.   0.5400
2034 1 1 0 0 0  115.585  0.   0.4889
2035 1 1 0 0 0  358.451  0.   0.4957
2036 1 1 0 0 0  243.353  0.   0.5602
2037 1 1 0 0 0  159.966  0.   0.6815
2038 1 1 0 0 0   54.356  0.   0.8530
2039 1 1 0 0 0  313.351  0.   1.0612
2040 1 1 0 0 0  216.004  0.   1.2841
2041 1 1 0 0 0  148.692  0.   1.4941
2042 1 1 0 0 0   55.833  0.   1.6606
2043 1 1 0 0 0  324.042  0.   1.7597
2044 1 1 0 0 0  232.671  0.   1.7762
2045 1 1 0 0 0  168.481  0.   1.7071
2046 1 1 0 0 0   76.106  0.   1.5636
2047 1 1 0 0 0  342.219  0.   1.3671
2048 1 1 0 0 0  246.003  0.   1.1459
2049 1 1 0 0 0  173.852  0.   0.9285
2050 1 1 0 0 0   70.078  0.   0.7410
2051 1 1 0 0 0  321.304  0.   0.5998
2052 1 1 0 0 0  207.692  0.   0.5135
2053 1 1 0 0 0  118.256  0.   0.4847
2054 1 1 0 0 0    1.539  0.   0.5139
2055 1 1 0 0 0  247.957  0.   0.6006
2056 1 1 0 0 0  139.219  0.   0.7422
2057 1 1 0 0 0   62.816  0.   0.9305
2058 1 1 0 0 0  323.351  0.   1.1474
2059 1 1 0 0 0  227.154  0.   1.3686
2060 1 1 0 0 0  133.281  0.   1.5648
2061 1 1 0 0 0   68.282  0.   1.7082
2062 1 1 0 0 0  336.727  0.   1.7764
2063 1 1 0 0 0  245.356  0.   1.7593
2064 1 1 0 0 0  153.560  0.   1.6597
2065 1 1 0 0 0   88.049  0.   1.4922
2066 1 1 0 0 0  353.363  0.   1.2825
2067 1 1 0 0 0  255.994  0.   1.0597
2068 1 1 0 0 0  154.959  0.   0.8516
2069 1 1 0 0 0   76.632  0.   0.6801
2070 1 1 0 0 0  325.886  0.   0.5595
2071 1 1 0 0 0  210.764  0.   0.4954
2072 1 1 0 0 0   93.627  0.   0.4891
