P1   degrees/h:
   14.95893    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  349.919  0.   1.0000
1951 1 1 0 0 0  350.158  0.   1.0000
1952 1 1 0 0 0  350.396  0.   1.0000
1953 1 1 0 0 0  349.650  0.   1.0000
1954 1 1 0 0 0  349.888  0.   1.0000
1955 1 1 0 0 0  350.127  0.   1.0000
1956 1 1 0 0 0  350.366  0.   1.0000
1957 1 1 0 0 0  349.619  0.   1.0000
1958 1 1 0 0 0  349.857  0.   1.0000
1959 1 1 0 0 0  350.096  0.   1.0000
1960 1 1 0 0 0  350.335  0.   1.0000
1961 1 1 0 0 0  349.588  0.   1.0000
1962 1 1 0 0 0  349.827  0.   1.0000
1963 1 1 0 0 0  350.065  0.   1.0000
1964 1 1 0 0 0  350.304  0.   1.0000
1965 1 1 0 0 0  349.557  0.   1.0000
1966 1 1 0 0 0  349.796  0.   1.0000
1967 1 1 0 0 0  350.035  0.   1.0000
1968 1 1 0 0 0  350.273  0.   1.0000
1969 1 1 0 0 0  349.526  0.   1.0000
1970 1 1 0 0 0  349.765  0.   1.0000
1971 1 1 0 0 0  350.004  0.   1.0000
1972 1 1 0 0 0  350.243  0.   1.0000
1973 1 1 0 0 0  349.496  0.   1.0000
1974 1 1 0 0 0  349.734  0.   1.0000
1975 1 1 0 0 0  349.973  0.   1.0000
1976 1 1 0 0 0  350.212  0.   1.0000
1977 1 1 0 0 0  349.465  0.   1.0000
1978 1 1 0 0 0  349.704  0.   1.0000
1979 1 1 0 0 0  349.942  0.   1.0000
1980 1 1 0 0 0  350.181  0.   1.0000
1981 1 1 0 0 0  349.434  0.   1.0000
1982 1 1 0 0 0  349.673  0.   1.0000
1983 1 1 0 0 0  349.912  0.   1.0000
1984 1 1 0 0 0  350.150  0.   1.0000
1985 1 1 0 0 0  349.404  0.   1.0000
1986 1 1 0 0 0  349.642  0.   1.0000
1987 1 1 0 0 0  349.881  0.   1.0000
1988 1 1 0 0 0  350.120  0.   1.0000
1989 1 1 0 0 0  349.373  0.   1.0000
1990 1 1 0 0 0  349.612  0.   1.0000
1991 1 1 0 0 0  349.850  0.   1.0000
1992 1 1 0 0 0  350.089  0.   1.0000
1993 1 1 0 0 0  349.342  0.   1.0000
1994 1 1 0 0 0  349.581  0.   1.0000
1995 1 1 0 0 0  349.819  0.   1.0000
1996 1 1 0 0 0  350.058  0.   1.0000
1997 1 1 0 0 0  349.311  0.   1.0000
1998 1 1 0 0 0  349.550  0.   1.0000
1999 1 1 0 0 0  349.789  0.   1.0000
2000 1 1 0 0 0  350.027  0.   1.0000
2001 1 1 0 0 0  349.281  0.   1.0000
2002 1 1 0 0 0  349.519  0.   1.0000
2003 1 1 0 0 0  349.758  0.   1.0000
2004 1 1 0 0 0  349.997  0.   1.0000
