Q1   degrees/h:
   13.39866    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  207.576  0.   1.1801
1951 1 1 0 0 0  216.963  0.   1.1820
1952 1 1 0 0 0  226.404  0.   1.1682
1953 1 1 0 0 0  197.614  0.   1.1390
1954 1 1 0 0 0  207.669  0.   1.0957
1955 1 1 0 0 0  218.371  0.   1.0406
1956 1 1 0 0 0  230.025  0.   0.9779
1957 1 1 0 0 0  204.537  0.   0.9138
1958 1 1 0 0 0  219.024  0.   0.8574
1959 1 1 0 0 0  235.008  0.   0.8187
1960 1 1 0 0 0  251.925  0.   0.8060
1961 1 1 0 0 0  230.350  0.   0.8226
1962 1 1 0 0 0  246.148  0.   0.8643
1963 1 1 0 0 0  260.417  0.   0.9223
1964 1 1 0 0 0  273.166  0.   0.9866
1965 1 1 0 0 0  246.235  0.   1.0488
1966 1 1 0 0 0  256.831  0.   1.1024
1967 1 1 0 0 0  266.817  0.   1.1439
1968 1 1 0 0 0  276.431  0.   1.1710
1969 1 1 0 0 0  247.415  0.   1.1827
1970 1 1 0 0 0  256.805  0.   1.1786
1971 1 1 0 0 0  266.308  0.   1.1587
1972 1 1 0 0 0  276.091  0.   1.1239
1973 1 1 0 0 0  247.925  0.   1.0755
1974 1 1 0 0 0  258.957  0.   1.0169
1975 1 1 0 0 0  271.072  0.   0.9528
1976 1 1 0 0 0  284.591  0.   0.8906
1977 1 1 0 0 0  261.262  0.   0.8397
1978 1 1 0 0 0  277.706  0.   0.8103
1979 1 1 0 0 0  294.725  0.   0.8090
1980 1 1 0 0 0  311.259  0.   0.8361
1981 1 1 0 0 0  288.067  0.   0.8855
1982 1 1 0 0 0  301.724  0.   0.9470
1983 1 1 0 0 0  313.952  0.   1.0113
1984 1 1 0 0 0  325.067  0.   1.0707
1985 1 1 0 0 0  296.960  0.   1.1201
1986 1 1 0 0 0  306.776  0.   1.1562
1987 1 1 0 0 0  316.297  0.   1.1774
1988 1 1 0 0 0  325.688  0.   1.1830
1989 1 1 0 0 0  296.663  0.   1.1727
1990 1 1 0 0 0  306.253  0.   1.1469
1991 1 1 0 0 0  316.198  0.   1.1066
1992 1 1 0 0 0  326.728  0.   1.0539
1993 1 1 0 0 0  299.706  0.   0.9923
1994 1 1 0 0 0  312.331  0.   0.9279
1995 1 1 0 0 0  326.458  0.   0.8690
1996 1 1 0 0 0  342.131  0.   0.8254
1997 1 1 0 0 0  320.494  0.   0.8063
1998 1 1 0 0 0  337.449  0.   0.8164
1999 1 1 0 0 0  353.548  0.   0.8531
2000 1 1 0 0 0    8.176  0.   0.9083
2001 1 1 0 0 0  342.818  0.   0.9721
2002 1 1 0 0 0  354.573  0.   1.0352
2003 1 1 0 0 0    5.347  0.   1.0912
2004 1 1 0 0 0   15.449  0.   1.1357
2005 1 1 0 0 0  346.688  0.   1.1663
2006 1 1 0 0 0  356.141  0.   1.1815
2007 1 1 0 0 0    5.527  0.   1.1809
2008 1 1 0 0 0   14.990  0.   1.1646
2009 1 1 0 0 0  346.254  0.   1.1329
2010 1 1 0 0 0  356.395  0.   1.0875
2011 1 1 0 0 0    7.228  0.   1.0309
2012 1 1 0 0 0   19.067  0.   0.9674
2013 1 1 0 0 0  353.816  0.   0.9039
2014 1 1 0 0 0    8.559  0.   0.8497
2015 1 1 0 0 0   24.747  0.   0.8147
2016 1 1 0 0 0   41.726  0.   0.8067
2017 1 1 0 0 0   20.039  0.   0.8278
2018 1 1 0 0 0   35.609  0.   0.8729
2019 1 1 0 0 0   49.621  0.   0.9325
2020 1 1 0 0 0   62.145  0.   0.9969
2021 1 1 0 0 0   35.045  0.   1.0581
2022 1 1 0 0 0   45.527  0.   1.1100
2023 1 1 0 0 0   55.438  0.   1.1493
2024 1 1 0 0 0   65.010  0.   1.1740
2025 1 1 0 0 0   35.976  0.   1.1831
2026 1 1 0 0 0   45.374  0.   1.1764
2027 1 1 0 0 0   54.910  0.   1.1541
2028 1 1 0 0 0   64.756  0.   1.1170
2029 1 1 0 0 0   36.695  0.   1.0667
2030 1 1 0 0 0   47.879  0.   1.0067
2031 1 1 0 0 0   60.200  0.   0.9424
2032 1 1 0 0 0   73.970  0.   0.8814
2033 1 1 0 0 0   50.891  0.   0.8333
2034 1 1 0 0 0   67.493  0.   0.8081
2035 1 1 0 0 0   84.506  0.   0.8116
2036 1 1 0 0 0  100.872  0.   0.8428
2037 1 1 0 0 0   77.427  0.   0.8948
2038 1 1 0 0 0   90.836  0.   0.9575
2039 1 1 0 0 0  102.861  0.   1.0214
2040 1 1 0 0 0  113.828  0.   1.0794
2041 1 1 0 0 0   85.621  0.   1.1269
2042 1 1 0 0 0   95.377  0.   1.1607
2043 1 1 0 0 0  104.867  0.   1.1794
2044 1 1 0 0 0  114.255  0.   1.1824
2045 1 1 0 0 0   85.244  0.   1.1696
2046 1 1 0 0 0   94.878  0.   1.1414
2047 1 1 0 0 0  104.900  0.   1.0989
2048 1 1 0 0 0  115.551  0.   1.0445
2049 1 1 0 0 0   88.696  0.   0.9819
2050 1 1 0 0 0  101.548  0.   0.9178
2051 1 1 0 0 0  115.931  0.   0.8606
2052 1 1 0 0 0  131.828  0.   0.8205
