R2   degrees/h:
   30.04107    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  178.001  0.   1.0000
1951 1 1 0 0 0  177.745  0.   1.0000
1952 1 1 0 0 0  177.489  0.   1.0000
1953 1 1 0 0 0  178.219  0.   1.0000
1954 1 1 0 0 0  177.963  0.   1.0000
1955 1 1 0 0 0  177.707  0.   1.0000
1956 1 1 0 0 0  177.451  0.   1.0000
1957 1 1 0 0 0  178.181  0.   1.0000
1958 1 1 0 0 0  177.925  0.   1.0000
1959 1 1 0 0 0  177.669  0.   1.0000
1960 1 1 0 0 0  177.413  0.   1.0000
1961 1 1 0 0 0  178.143  0.   1.0000
1962 1 1 0 0 0  177.887  0.   1.0000
1963 1 1 0 0 0  177.631  0.   1.0000
1964 1 1 0 0 0  177.375  0.   1.0000
1965 1 1 0 0 0  178.104  0.   1.0000
1966 1 1 0 0 0  177.849  0.   1.0000
1967 1 1 0 0 0  177.593  0.   1.0000
1968 1 1 0 0 0  177.337  0.   1.0000
1969 1 1 0 0 0  178.067  0.   1.0000
1970 1 1 0 0 0  177.811  0.   1.0000
1971 1 1 0 0 0  177.555  0.   1.0000
1972 1 1 0 0 0  177.299  0.   1.0000
1973 1 1 0 0 0  178.029  0.   1.0000
1974 1 1 0 0 0  177.773  0.   1.0000
1975 1 1 0 0 0  177.517  0.   1.0000
1976 1 1 0 0 0  177.261  0.   1.0000
1977 1 1 0 0 0  177.990  0.   1.0000
1978 1 1 0 0 0  177.735  0.   1.0000
1979 1 1 0 0 0  177.479  0.   1.0000
1980 1 1 0 0 0  177.223  0.   1.0000
1981 1 1 0 0 0  177.953  0.   1.0000
1982 1 1 0 0 0  177.697  0.   1.0000
1983 1 1 0 0 0  177.441  0.   1.0000
1984 1 1 0 0 0  177.185  0.   1.0000
1985 1 1 0 0 0  177.914  0.   1.0000
1986 1 1 0 0 0  177.659  0.   1.0000
1987 1 1 0 0 0  177.403  0.   1.0000
1988 1 1 0 0 0  177.147  0.   1.0000
1989 1 1 0 0 0  177.876  0.   1.0000
1990 1 1 0 0 0  177.621  0.   1.0000
1991 1 1 0 0 0  177.365  0.   1.0000
1992 1 1 0 0 0  177.109  0.   1.0000
1993 1 1 0 0 0  177.838  0.   1.0000
1994 1 1 0 0 0  177.583  0.   1.0000
1995 1 1 0 0 0  177.327  0.   1.0000
1996 1 1 0 0 0  177.071  0.   1.0000
1997 1 1 0 0 0  177.800  0.   1.0000
1998 1 1 0 0 0  177.545  0.   1.0000
1999 1 1 0 0 0  177.289  0.   1.0000
2000 1 1 0 0 0  177.033  0.   1.0000
2001 1 1 0 0 0  177.762  0.   1.0000
2002 1 1 0 0 0  177.506  0.   1.0000
2003 1 1 0 0 0  177.251  0.   1.0000
2004 1 1 0 0 0  176.995  0.   1.0000
2005 1 1 0 0 0  177.724  0.   1.0000
2006 1 1 0 0 0  177.469  0.   1.0000
2007 1 1 0 0 0  177.213  0.   1.0000
2008 1 1 0 0 0  176.957  0.   1.0000
2009 1 1 0 0 0  177.686  0.   1.0000
2010 1 1 0 0 0  177.430  0.   1.0000
2011 1 1 0 0 0  177.175  0.   1.0000
2012 1 1 0 0 0  176.919  0.   1.0000
2013 1 1 0 0 0  177.648  0.   1.0000
2014 1 1 0 0 0  177.392  0.   1.0000
2015 1 1 0 0 0  177.137  0.   1.0000
2016 1 1 0 0 0  176.881  0.   1.0000
2017 1 1 0 0 0  177.610  0.   1.0000
2018 1 1 0 0 0  177.354  0.   1.0000
2019 1 1 0 0 0  177.099  0.   1.0000
2020 1 1 0 0 0  176.843  0.   1.0000
2021 1 1 0 0 0  177.572  0.   1.0000
2022 1 1 0 0 0  177.317  0.   1.0000
2023 1 1 0 0 0  177.061  0.   1.0000
2024 1 1 0 0 0  176.805  0.   1.0000
2025 1 1 0 0 0  177.534  0.   1.0000
2026 1 1 0 0 0  177.278  0.   1.0000
2027 1 1 0 0 0  177.023  0.   1.0000
2028 1 1 0 0 0  176.767  0.   1.0000
2029 1 1 0 0 0  177.496  0.   1.0000
2030 1 1 0 0 0  177.240  0.   1.0000
2031 1 1 0 0 0  176.985  0.   1.0000
2032 1 1 0 0 0  176.729  0.   1.0000
2033 1 1 0 0 0  177.458  0.   1.0000
2034 1 1 0 0 0  177.202  0.   1.0000
2035 1 1 0 0 0  176.947  0.   1.0000
2036 1 1 0 0 0  176.691  0.   1.0000
2037 1 1 0 0 0  177.420  0.   1.0000
2038 1 1 0 0 0  177.164  0.   1.0000
2039 1 1 0 0 0  176.909  0.   1.0000
2040 1 1 0 0 0  176.653  0.   1.0000
2041 1 1 0 0 0  177.382  0.   1.0000
2042 1 1 0 0 0  177.126  0.   1.0000
2043 1 1 0 0 0  176.870  0.   1.0000
2044 1 1 0 0 0  176.615  0.   1.0000
2045 1 1 0 0 0  177.344  0.   1.0000
2046 1 1 0 0 0  177.088  0.   1.0000
2047 1 1 0 0 0  176.832  0.   1.0000
2048 1 1 0 0 0  176.577  0.   1.0000
2049 1 1 0 0 0  177.306  0.   1.0000
2050 1 1 0 0 0  177.050  0.   1.0000
2051 1 1 0 0 0  176.794  0.   1.0000
2052 1 1 0 0 0  176.539  0.   1.0000
2053 1 1 0 0 0  177.268  0.   1.0000
2054 1 1 0 0 0  177.012  0.   1.0000
2055 1 1 0 0 0  176.756  0.   1.0000
2056 1 1 0 0 0  176.501  0.   1.0000
2057 1 1 0 0 0  177.230  0.   1.0000
2058 1 1 0 0 0  176.974  0.   1.0000
2059 1 1 0 0 0  176.718  0.   1.0000
2060 1 1 0 0 0  176.463  0.   1.0000
2061 1 1 0 0 0  177.192  0.   1.0000
2062 1 1 0 0 0  176.936  0.   1.0000
2063 1 1 0 0 0  176.680  0.   1.0000
2064 1 1 0 0 0  176.424  0.   1.0000
2065 1 1 0 0 0  177.154  0.   1.0000
2066 1 1 0 0 0  176.898  0.   1.0000
2067 1 1 0 0 0  176.642  0.   1.0000
2068 1 1 0 0 0  176.386  0.   1.0000
2069 1 1 0 0 0  177.116  0.   1.0000
2070 1 1 0 0 0  176.860  0.   1.0000
2071 1 1 0 0 0  176.604  0.   1.0000
2072 1 1 0 0 0  176.349  0.   1.0000
2073 1 1 0 0 0  177.078  0.   1.0000
2074 1 1 0 0 0  176.822  0.   1.0000
2075 1 1 0 0 0  176.566  0.   1.0000
2076 1 1 0 0 0  176.311  0.   1.0000
2077 1 1 0 0 0  177.040  0.   1.0000
2078 1 1 0 0 0  176.784  0.   1.0000
2079 1 1 0 0 0  176.528  0.   1.0000
2080 1 1 0 0 0  176.272  0.   1.0000
2081 1 1 0 0 0  177.002  0.   1.0000
2082 1 1 0 0 0  176.746  0.   1.0000
2083 1 1 0 0 0  176.490  0.   1.0000
2084 1 1 0 0 0  176.234  0.   1.0000
2085 1 1 0 0 0  176.964  0.   1.0000
2086 1 1 0 0 0  176.708  0.   1.0000
2087 1 1 0 0 0  176.452  0.   1.0000
2088 1 1 0 0 0  176.196  0.   1.0000
2089 1 1 0 0 0  176.926  0.   1.0000
2090 1 1 0 0 0  176.670  0.   1.0000
2091 1 1 0 0 0  176.414  0.   1.0000
2092 1 1 0 0 0  176.158  0.   1.0000
2093 1 1 0 0 0  176.888  0.   1.0000
2094 1 1 0 0 0  176.632  0.   1.0000
2095 1 1 0 0 0  176.376  0.   1.0000
2096 1 1 0 0 0  176.120  0.   1.0000
2097 1 1 0 0 0  176.850  0.   1.0000
2098 1 1 0 0 0  176.594  0.   1.0000
2099 1 1 0 0 0  176.338  0.   1.0000
2100 1 1 0 0 0  176.082  0.   1.0000
2101 1 1 0 0 0  176.812  0.   1.0000
2102 1 1 0 0 0  176.556  0.   1.0000
2103 1 1 0 0 0  176.300  0.   1.0000
2104 1 1 0 0 0  176.044  0.   1.0000
2105 1 1 0 0 0  176.774  0.   1.0000
2106 1 1 0 0 0  176.518  0.   1.0000
2107 1 1 0 0 0  176.262  0.   1.0000
2108 1 1 0 0 0  176.006  0.   1.0000
2109 1 1 0 0 0  176.736  0.   1.0000
2110 1 1 0 0 0  176.480  0.   1.0000
2111 1 1 0 0 0  176.224  0.   1.0000
2112 1 1 0 0 0  175.968  0.   1.0000
2113 1 1 0 0 0  176.698  0.   1.0000
2114 1 1 0 0 0  176.442  0.   1.0000
2115 1 1 0 0 0  176.186  0.   1.0000
2116 1 1 0 0 0  175.930  0.   1.0000
2117 1 1 0 0 0  176.660  0.   1.0000
2118 1 1 0 0 0  176.404  0.   1.0000
2119 1 1 0 0 0  176.148  0.   1.0000
2120 1 1 0 0 0  175.892  0.   1.0000
2121 1 1 0 0 0  176.622  0.   1.0000
2122 1 1 0 0 0  176.366  0.   1.0000
2123 1 1 0 0 0  176.110  0.   1.0000
2124 1 1 0 0 0  175.854  0.   1.0000
2125 1 1 0 0 0  176.584  0.   1.0000
2126 1 1 0 0 0  176.328  0.   1.0000
2127 1 1 0 0 0  176.072  0.   1.0000
2128 1 1 0 0 0  175.816  0.   1.0000
2129 1 1 0 0 0  176.546  0.   1.0000
2130 1 1 0 0 0  176.290  0.   1.0000
2131 1 1 0 0 0  176.034  0.   1.0000
2132 1 1 0 0 0  175.778  0.   1.0000
2133 1 1 0 0 0  176.508  0.   1.0000
2134 1 1 0 0 0  176.252  0.   1.0000
2135 1 1 0 0 0  175.996  0.   1.0000
2136 1 1 0 0 0  175.740  0.   1.0000
2137 1 1 0 0 0  176.470  0.   1.0000
2138 1 1 0 0 0  176.214  0.   1.0000
2139 1 1 0 0 0  175.958  0.   1.0000
2140 1 1 0 0 0  175.702  0.   1.0000
2141 1 1 0 0 0  176.432  0.   1.0000
2142 1 1 0 0 0  176.176  0.   1.0000
2143 1 1 0 0 0  175.920  0.   1.0000
2144 1 1 0 0 0  175.664  0.   1.0000
2145 1 1 0 0 0  176.394  0.   1.0000
2146 1 1 0 0 0  176.138  0.   1.0000
2147 1 1 0 0 0  175.882  0.   1.0000
2148 1 1 0 0 0  175.626  0.   1.0000
2149 1 1 0 0 0  176.356  0.   1.0000
2150 1 1 0 0 0  176.100  0.   1.0000
2151 1 1 0 0 0  175.844  0.   1.0000
2152 1 1 0 0 0  175.588  0.   1.0000
2153 1 1 0 0 0  176.318  0.   1.0000
2154 1 1 0 0 0  176.062  0.   1.0000
2155 1 1 0 0 0  175.806  0.   1.0000
2156 1 1 0 0 0  175.550  0.   1.0000
2157 1 1 0 0 0  176.280  0.   1.0000
2158 1 1 0 0 0  176.024  0.   1.0000
2159 1 1 0 0 0  175.768  0.   1.0000
2160 1 1 0 0 0  175.512  0.   1.0000
2161 1 1 0 0 0  176.242  0.   1.0000
2162 1 1 0 0 0  175.986  0.   1.0000
2163 1 1 0 0 0  175.730  0.   1.0000
2164 1 1 0 0 0  175.474  0.   1.0000
2165 1 1 0 0 0  176.204  0.   1.0000
2166 1 1 0 0 0  175.948  0.   1.0000
2167 1 1 0 0 0  175.692  0.   1.0000
2168 1 1 0 0 0  175.436  0.   1.0000
2169 1 1 0 0 0  176.166  0.   1.0000
2170 1 1 0 0 0  175.910  0.   1.0000
2171 1 1 0 0 0  175.654  0.   1.0000
2172 1 1 0 0 0  175.398  0.   1.0000
2173 1 1 0 0 0  176.128  0.   1.0000
2174 1 1 0 0 0  175.872  0.   1.0000
2175 1 1 0 0 0  175.616  0.   1.0000
2176 1 1 0 0 0  175.360  0.   1.0000
2177 1 1 0 0 0  176.090  0.   1.0000
2178 1 1 0 0 0  175.834  0.   1.0000
2179 1 1 0 0 0  175.578  0.   1.0000
2180 1 1 0 0 0  175.322  0.   1.0000
2181 1 1 0 0 0  176.052  0.   1.0000
2182 1 1 0 0 0  175.796  0.   1.0000
2183 1 1 0 0 0  175.540  0.   1.0000
2184 1 1 0 0 0  175.284  0.   1.0000
2185 1 1 0 0 0  176.014  0.   1.0000
2186 1 1 0 0 0  175.758  0.   1.0000
2187 1 1 0 0 0  175.502  0.   1.0000
2188 1 1 0 0 0  175.246  0.   1.0000
2189 1 1 0 0 0  175.976  0.   1.0000
2190 1 1 0 0 0  175.720  0.   1.0000
2191 1 1 0 0 0  175.464  0.   1.0000
2192 1 1 0 0 0  175.208  0.   1.0000
2193 1 1 0 0 0  175.938  0.   1.0000
2194 1 1 0 0 0  175.682  0.   1.0000
2195 1 1 0 0 0  175.426  0.   1.0000
2196 1 1 0 0 0  175.170  0.   1.0000
2197 1 1 0 0 0  175.900  0.   1.0000
