RHO1 degrees/h:
   13.47151    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  350.051  0.   1.1801
1951 1 1 0 0 0  277.635  0.   1.1820
1952 1 1 0 0 0  205.273  0.   1.1682
1953 1 1 0 0 0   96.430  0.   1.1390
1954 1 1 0 0 0   24.683  0.   1.0957
1955 1 1 0 0 0  313.582  0.   1.0406
1956 1 1 0 0 0  243.434  0.   0.9779
1957 1 1 0 0 0  137.892  0.   0.9138
1958 1 1 0 0 0   70.577  0.   0.8574
1959 1 1 0 0 0    4.758  0.   0.8187
1960 1 1 0 0 0  299.873  0.   0.8060
1961 1 1 0 0 0  198.243  0.   0.8226
1962 1 1 0 0 0  132.239  0.   0.8643
1963 1 1 0 0 0   64.705  0.   0.9223
1964 1 1 0 0 0  355.652  0.   0.9866
1965 1 1 0 0 0  248.668  0.   1.0488
1966 1 1 0 0 0  177.461  0.   1.1024
1967 1 1 0 0 0  105.645  0.   1.1439
1968 1 1 0 0 0   33.456  0.   1.1710
1969 1 1 0 0 0  284.387  0.   1.1827
1970 1 1 0 0 0  211.974  0.   1.1786
1971 1 1 0 0 0  139.675  0.   1.1587
1972 1 1 0 0 0   67.655  0.   1.1239
1973 1 1 0 0 0  319.435  0.   1.0755
1974 1 1 0 0 0  248.665  0.   1.0169
1975 1 1 0 0 0  178.977  0.   0.9528
1976 1 1 0 0 0  110.695  0.   0.8906
1977 1 1 0 0 0    7.312  0.   0.8397
1978 1 1 0 0 0  301.953  0.   0.8103
1979 1 1 0 0 0  237.170  0.   0.8090
1980 1 1 0 0 0  171.902  0.   0.8361
1981 1 1 0 0 0   68.656  0.   0.8855
1982 1 1 0 0 0    0.511  0.   0.9470
1983 1 1 0 0 0  290.936  0.   1.0113
1984 1 1 0 0 0  220.248  0.   1.0707
1985 1 1 0 0 0  112.087  0.   1.1201
1986 1 1 0 0 0   40.101  0.   1.1562
1987 1 1 0 0 0  327.820  0.   1.1774
1988 1 1 0 0 0  255.408  0.   1.1830
1989 1 1 0 0 0  146.330  0.   1.1727
1990 1 1 0 0 0   74.117  0.   1.1469
1991 1 1 0 0 0    2.259  0.   1.1066
1992 1 1 0 0 0  290.987  0.   1.0539
1993 1 1 0 0 0  183.911  0.   0.9923
1994 1 1 0 0 0  114.734  0.   0.9279
1995 1 1 0 0 0   47.058  0.   0.8690
1996 1 1 0 0 0  340.929  0.   0.8254
1997 1 1 0 0 0  239.239  0.   0.8063
1998 1 1 0 0 0  174.391  0.   0.8164
1999 1 1 0 0 0  108.687  0.   0.8531
2000 1 1 0 0 0   41.514  0.   0.9083
2001 1 1 0 0 0  296.102  0.   0.9721
2002 1 1 0 0 0  226.055  0.   1.0352
2003 1 1 0 0 0  155.025  0.   1.0912
2004 1 1 0 0 0   83.324  0.   1.1357
2005 1 1 0 0 0  334.510  0.   1.1663
2006 1 1 0 0 0  262.161  0.   1.1815
2007 1 1 0 0 0  189.744  0.   1.1809
2008 1 1 0 0 0  117.406  0.   1.1646
2009 1 1 0 0 0    8.615  0.   1.1329
2010 1 1 0 0 0  296.954  0.   1.0875
2011 1 1 0 0 0  225.984  0.   1.0309
2012 1 1 0 0 0  156.022  0.   0.9674
2013 1 1 0 0 0   50.717  0.   0.9039
2014 1 1 0 0 0  343.658  0.   0.8497
2015 1 1 0 0 0  278.043  0.   0.8147
2016 1 1 0 0 0  213.220  0.   0.8067
2017 1 1 0 0 0  111.478  0.   0.8278
2018 1 1 0 0 0   45.245  0.   0.8729
2019 1 1 0 0 0  337.455  0.   0.9325
2020 1 1 0 0 0  268.177  0.   0.9969
2021 1 1 0 0 0  161.023  0.   1.0581
2022 1 1 0 0 0   89.702  0.   1.1100
2023 1 1 0 0 0   17.812  0.   1.1493
2024 1 1 0 0 0  305.581  0.   1.1740
2025 1 1 0 0 0  196.492  0.   1.1831
2026 1 1 0 0 0  124.088  0.   1.1764
2027 1 1 0 0 0   51.822  0.   1.1541
2028 1 1 0 0 0  339.866  0.   1.1170
2029 1 1 0 0 0  231.751  0.   1.0667
2030 1 1 0 0 0  161.133  0.   1.0067
2031 1 1 0 0 0   91.652  0.   0.9424
2032 1 1 0 0 0   23.619  0.   0.8814
2033 1 1 0 0 0  280.486  0.   0.8333
2034 1 1 0 0 0  215.286  0.   0.8081
2035 1 1 0 0 0  150.496  0.   0.8116
2036 1 1 0 0 0   85.060  0.   0.8428
2037 1 1 0 0 0  341.561  0.   0.8948
2038 1 1 0 0 0  273.169  0.   0.9575
2039 1 1 0 0 0  203.391  0.   1.0214
2040 1 1 0 0 0  132.555  0.   1.0794
2041 1 1 0 0 0   24.295  0.   1.1269
2042 1 1 0 0 0  312.248  0.   1.1607
2043 1 1 0 0 0  239.935  0.   1.1794
2044 1 1 0 0 0  167.521  0.   1.1824
2045 1 1 0 0 0   58.456  0.   1.1696
2046 1 1 0 0 0  346.288  0.   1.1414
2047 1 1 0 0 0  274.507  0.   1.0989
2048 1 1 0 0 0  203.355  0.   1.0445
2049 1 1 0 0 0   96.447  0.   0.9819
2050 1 1 0 0 0   27.496  0.   0.9178
2051 1 1 0 0 0  320.077  0.   0.8606
2052 1 1 0 0 0  254.172  0.   0.8205
2053 1 1 0 0 0  152.585  0.   0.8059
2054 1 1 0 0 0   87.662  0.   0.8207
2055 1 1 0 0 0   21.747  0.   0.8610
2056 1 1 0 0 0  314.317  0.   0.9183
2057 1 1 0 0 0  208.674  0.   0.9825
2058 1 1 0 0 0  138.446  0.   1.0449
2059 1 1 0 0 0   67.289  0.   1.0993
2060 1 1 0 0 0  355.505  0.   1.1416
2061 1 1 0 0 0  246.639  0.   1.1698
2062 1 1 0 0 0  174.269  0.   1.1824
2063 1 1 0 0 0  101.855  0.   1.1793
2064 1 1 0 0 0   29.543  0.   1.1605
2065 1 1 0 0 0  280.811  0.   1.1265
2066 1 1 0 0 0  209.242  0.   1.0790
2067 1 1 0 0 0  138.414  0.   1.0209
2068 1 1 0 0 0   68.645  0.   0.9570
2069 1 1 0 0 0  323.585  0.   0.8943
2070 1 1 0 0 0  256.780  0.   0.8425
2071 1 1 0 0 0  191.352  0.   0.8114
2072 1 1 0 0 0  126.563  0.   0.8082
2073 1 1 0 0 0   24.679  0.   0.8337
2074 1 1 0 0 0  318.207  0.   0.8818
2075 1 1 0 0 0  250.163  0.   0.9428
2076 1 1 0 0 0  180.667  0.   1.0072
2077 1 1 0 0 0   73.355  0.   1.0672
2078 1 1 0 0 0    1.923  0.   1.1173
2079 1 1 0 0 0  289.963  0.   1.1543
2080 1 1 0 0 0  217.695  0.   1.1765
2081 1 1 0 0 0  108.601  0.   1.1831
2082 1 1 0 0 0   36.209  0.   1.1738
2083 1 1 0 0 0  323.980  0.   1.1491
2084 1 1 0 0 0  252.093  0.   1.1097
2085 1 1 0 0 0  144.089  0.   1.0575
2086 1 1 0 0 0   73.625  0.   0.9965
2087 1 1 0 0 0    4.364  0.   0.9321
2088 1 1 0 0 0  296.579  0.   0.8725
2089 1 1 0 0 0  193.686  0.   0.8275
2090 1 1 0 0 0  128.621  0.   0.8067
2091 1 1 0 0 0   63.796  0.   0.8148
2092 1 1 0 0 0  358.172  0.   0.8500
2093 1 1 0 0 0  254.425  0.   0.9045
2094 1 1 0 0 0  185.790  0.   0.9679
2095 1 1 0 0 0  115.818  0.   1.0313
2096 1 1 0 0 0   44.843  0.   1.0879
2097 1 1 0 0 0  296.490  0.   1.1333
2098 1 1 0 0 0  224.387  0.   1.1647
2099 1 1 0 0 0  152.048  0.   1.1809
2100 1 1 0 0 0   79.632  0.   1.1814
2101 1 1 0 0 0  330.588  0.   1.1660
2102 1 1 0 0 0  258.469  0.   1.1354
2103 1 1 0 0 0  186.771  0.   1.0909
2104 1 1 0 0 0  115.748  0.   1.0348
2105 1 1 0 0 0    9.028  0.   0.9715
2106 1 1 0 0 0  300.310  0.   0.9079
2107 1 1 0 0 0  233.148  0.   0.8527
2108 1 1 0 0 0  167.452  0.   0.8162
2109 1 1 0 0 0   65.933  0.   0.8063
2110 1 1 0 0 0    0.910  0.   0.8256
2111 1 1 0 0 0  294.770  0.   0.8694
2112 1 1 0 0 0  227.083  0.   0.9284
2113 1 1 0 0 0  121.209  0.   0.9929
2114 1 1 0 0 0   50.807  0.   1.0544
2115 1 1 0 0 0  339.530  0.   1.1070
2116 1 1 0 0 0  267.669  0.   1.1472
2117 1 1 0 0 0  158.765  0.   1.1729
2118 1 1 0 0 0   86.378  0.   1.1830
2119 1 1 0 0 0   13.970  0.   1.1773
2120 1 1 0 0 0  301.690  0.   1.1560
2121 1 1 0 0 0  193.020  0.   1.1197
2122 1 1 0 0 0  121.550  0.   1.0703
2123 1 1 0 0 0   50.870  0.   1.0108
