SSA  degrees/h:
  8.2137302E-02
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  200.162  0.   1.0000
1951 1 1 0 0 0  199.685  0.   1.0000
1952 1 1 0 0 0  199.207  0.   1.0000
1953 1 1 0 0 0  200.701  0.   1.0000
1954 1 1 0 0 0  200.224  0.   1.0000
1955 1 1 0 0 0  199.746  0.   1.0000
1956 1 1 0 0 0  199.269  0.   1.0000
1957 1 1 0 0 0  200.763  0.   1.0000
1958 1 1 0 0 0  200.285  0.   1.0000
1959 1 1 0 0 0  199.808  0.   1.0000
1960 1 1 0 0 0  199.330  0.   1.0000
1961 1 1 0 0 0  200.824  0.   1.0000
1962 1 1 0 0 0  200.346  0.   1.0000
1963 1 1 0 0 0  199.869  0.   1.0000
1964 1 1 0 0 0  199.392  0.   1.0000
1965 1 1 0 0 0  200.885  0.   1.0000
1966 1 1 0 0 0  200.408  0.   1.0000
1967 1 1 0 0 0  199.931  0.   1.0000
1968 1 1 0 0 0  199.453  0.   1.0000
1969 1 1 0 0 0  200.947  0.   1.0000
1970 1 1 0 0 0  200.470  0.   1.0000
1971 1 1 0 0 0  199.992  0.   1.0000
1972 1 1 0 0 0  199.515  0.   1.0000
1973 1 1 0 0 0  201.008  0.   1.0000
1974 1 1 0 0 0  200.531  0.   1.0000
1975 1 1 0 0 0  200.054  0.   1.0000
1976 1 1 0 0 0  199.576  0.   1.0000
1977 1 1 0 0 0  201.070  0.   1.0000
1978 1 1 0 0 0  200.593  0.   1.0000
1979 1 1 0 0 0  200.115  0.   1.0000
1980 1 1 0 0 0  199.638  0.   1.0000
1981 1 1 0 0 0  201.131  0.   1.0000
1982 1 1 0 0 0  200.654  0.   1.0000
1983 1 1 0 0 0  200.177  0.   1.0000
1984 1 1 0 0 0  199.699  0.   1.0000
1985 1 1 0 0 0  201.193  0.   1.0000
1986 1 1 0 0 0  200.716  0.   1.0000
1987 1 1 0 0 0  200.238  0.   1.0000
1988 1 1 0 0 0  199.761  0.   1.0000
1989 1 1 0 0 0  201.254  0.   1.0000
1990 1 1 0 0 0  200.777  0.   1.0000
1991 1 1 0 0 0  200.300  0.   1.0000
1992 1 1 0 0 0  199.822  0.   1.0000
1993 1 1 0 0 0  201.316  0.   1.0000
1994 1 1 0 0 0  200.839  0.   1.0000
1995 1 1 0 0 0  200.361  0.   1.0000
1996 1 1 0 0 0  199.884  0.   1.0000
1997 1 1 0 0 0  201.378  0.   1.0000
1998 1 1 0 0 0  200.900  0.   1.0000
1999 1 1 0 0 0  200.423  0.   1.0000
2000 1 1 0 0 0  199.945  0.   1.0000
2001 1 1 0 0 0  201.439  0.   1.0000
2002 1 1 0 0 0  200.961  0.   1.0000
2003 1 1 0 0 0  200.484  0.   1.0000
2004 1 1 0 0 0  200.007  0.   1.0000
2005 1 1 0 0 0  201.500  0.   1.0000
2006 1 1 0 0 0  201.023  0.   1.0000
2007 1 1 0 0 0  200.546  0.   1.0000
2008 1 1 0 0 0  200.068  0.   1.0000
2009 1 1 0 0 0  201.562  0.   1.0000
2010 1 1 0 0 0  201.084  0.   1.0000
2011 1 1 0 0 0  200.607  0.   1.0000
2012 1 1 0 0 0  200.130  0.   1.0000
2013 1 1 0 0 0  201.623  0.   1.0000
2014 1 1 0 0 0  201.146  0.   1.0000
2015 1 1 0 0 0  200.669  0.   1.0000
2016 1 1 0 0 0  200.191  0.   1.0000
2017 1 1 0 0 0  201.685  0.   1.0000
2018 1 1 0 0 0  201.207  0.   1.0000
2019 1 1 0 0 0  200.730  0.   1.0000
2020 1 1 0 0 0  200.253  0.   1.0000
2021 1 1 0 0 0  201.746  0.   1.0000
2022 1 1 0 0 0  201.269  0.   1.0000
2023 1 1 0 0 0  200.792  0.   1.0000
2024 1 1 0 0 0  200.314  0.   1.0000
2025 1 1 0 0 0  201.808  0.   1.0000
2026 1 1 0 0 0  201.330  0.   1.0000
2027 1 1 0 0 0  200.853  0.   1.0000
2028 1 1 0 0 0  200.376  0.   1.0000
2029 1 1 0 0 0  201.869  0.   1.0000
2030 1 1 0 0 0  201.392  0.   1.0000
2031 1 1 0 0 0  200.914  0.   1.0000
2032 1 1 0 0 0  200.437  0.   1.0000
2033 1 1 0 0 0  201.931  0.   1.0000
