T2   degrees/h:
   29.95893    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0    1.999  0.   1.0000
1951 1 1 0 0 0    2.255  0.   1.0000
1952 1 1 0 0 0    2.511  0.   1.0000
1953 1 1 0 0 0    1.781  0.   1.0000
1954 1 1 0 0 0    2.037  0.   1.0000
1955 1 1 0 0 0    2.293  0.   1.0000
1956 1 1 0 0 0    2.549  0.   1.0000
1957 1 1 0 0 0    1.819  0.   1.0000
1958 1 1 0 0 0    2.075  0.   1.0000
1959 1 1 0 0 0    2.331  0.   1.0000
1960 1 1 0 0 0    2.587  0.   1.0000
1961 1 1 0 0 0    1.857  0.   1.0000
1962 1 1 0 0 0    2.113  0.   1.0000
1963 1 1 0 0 0    2.369  0.   1.0000
1964 1 1 0 0 0    2.625  0.   1.0000
1965 1 1 0 0 0    1.895  0.   1.0000
1966 1 1 0 0 0    2.151  0.   1.0000
1967 1 1 0 0 0    2.407  0.   1.0000
1968 1 1 0 0 0    2.663  0.   1.0000
1969 1 1 0 0 0    1.933  0.   1.0000
1970 1 1 0 0 0    2.189  0.   1.0000
1971 1 1 0 0 0    2.445  0.   1.0000
1972 1 1 0 0 0    2.701  0.   1.0000
1973 1 1 0 0 0    1.971  0.   1.0000
1974 1 1 0 0 0    2.227  0.   1.0000
1975 1 1 0 0 0    2.483  0.   1.0000
1976 1 1 0 0 0    2.739  0.   1.0000
1977 1 1 0 0 0    2.009  0.   1.0000
1978 1 1 0 0 0    2.265  0.   1.0000
1979 1 1 0 0 0    2.521  0.   1.0000
1980 1 1 0 0 0    2.777  0.   1.0000
1981 1 1 0 0 0    2.048  0.   1.0000
1982 1 1 0 0 0    2.303  0.   1.0000
1983 1 1 0 0 0    2.559  0.   1.0000
1984 1 1 0 0 0    2.815  0.   1.0000
1985 1 1 0 0 0    2.086  0.   1.0000
1986 1 1 0 0 0    2.341  0.   1.0000
1987 1 1 0 0 0    2.597  0.   1.0000
1988 1 1 0 0 0    2.853  0.   1.0000
1989 1 1 0 0 0    2.124  0.   1.0000
1990 1 1 0 0 0    2.379  0.   1.0000
1991 1 1 0 0 0    2.635  0.   1.0000
1992 1 1 0 0 0    2.891  0.   1.0000
1993 1 1 0 0 0    2.162  0.   1.0000
1994 1 1 0 0 0    2.417  0.   1.0000
1995 1 1 0 0 0    2.673  0.   1.0000
1996 1 1 0 0 0    2.929  0.   1.0000
1997 1 1 0 0 0    2.200  0.   1.0000
1998 1 1 0 0 0    2.455  0.   1.0000
1999 1 1 0 0 0    2.711  0.   1.0000
2000 1 1 0 0 0    2.967  0.   1.0000
2001 1 1 0 0 0    2.238  0.   1.0000
2002 1 1 0 0 0    2.493  0.   1.0000
2003 1 1 0 0 0    2.749  0.   1.0000
2004 1 1 0 0 0    3.005  0.   1.0000
2005 1 1 0 0 0    2.276  0.   1.0000
2006 1 1 0 0 0    2.531  0.   1.0000
2007 1 1 0 0 0    2.787  0.   1.0000
2008 1 1 0 0 0    3.043  0.   1.0000
2009 1 1 0 0 0    2.314  0.   1.0000
2010 1 1 0 0 0    2.570  0.   1.0000
2011 1 1 0 0 0    2.825  0.   1.0000
2012 1 1 0 0 0    3.081  0.   1.0000
2013 1 1 0 0 0    2.352  0.   1.0000
2014 1 1 0 0 0    2.608  0.   1.0000
2015 1 1 0 0 0    2.863  0.   1.0000
2016 1 1 0 0 0    3.119  0.   1.0000
2017 1 1 0 0 0    2.390  0.   1.0000
2018 1 1 0 0 0    2.646  0.   1.0000
2019 1 1 0 0 0    2.901  0.   1.0000
2020 1 1 0 0 0    3.157  0.   1.0000
2021 1 1 0 0 0    2.428  0.   1.0000
2022 1 1 0 0 0    2.684  0.   1.0000
2023 1 1 0 0 0    2.939  0.   1.0000
2024 1 1 0 0 0    3.195  0.   1.0000
2025 1 1 0 0 0    2.466  0.   1.0000
2026 1 1 0 0 0    2.722  0.   1.0000
2027 1 1 0 0 0    2.977  0.   1.0000
2028 1 1 0 0 0    3.233  0.   1.0000
2029 1 1 0 0 0    2.504  0.   1.0000
2030 1 1 0 0 0    2.760  0.   1.0000
2031 1 1 0 0 0    3.015  0.   1.0000
2032 1 1 0 0 0    3.271  0.   1.0000
2033 1 1 0 0 0    2.542  0.   1.0000
2034 1 1 0 0 0    2.798  0.   1.0000
2035 1 1 0 0 0    3.053  0.   1.0000
2036 1 1 0 0 0    3.309  0.   1.0000
2037 1 1 0 0 0    2.580  0.   1.0000
2038 1 1 0 0 0    2.836  0.   1.0000
2039 1 1 0 0 0    3.091  0.   1.0000
2040 1 1 0 0 0    3.347  0.   1.0000
2041 1 1 0 0 0    2.618  0.   1.0000
2042 1 1 0 0 0    2.874  0.   1.0000
2043 1 1 0 0 0    3.130  0.   1.0000
2044 1 1 0 0 0    3.385  0.   1.0000
2045 1 1 0 0 0    2.656  0.   1.0000
2046 1 1 0 0 0    2.912  0.   1.0000
2047 1 1 0 0 0    3.168  0.   1.0000
2048 1 1 0 0 0    3.423  0.   1.0000
