 K1 pulsation (degrees/h):
  15.0410686390000006
Year  M D h m s  V0(deg)   u(deg)    f:
1950  1 1 0 0 0   10.081  358.385    1.111 
1951  1 1 0 0 0    9.842    0.965    1.112 
1952  1 1 0 0 0    9.604    3.476    1.104 
1953  1 1 0 0 0   10.351    5.732    1.086 
1954  1 1 0 0 0   10.112    7.519    1.059 
1955  1 1 0 0 0    9.873    8.634    1.025 
1956  1 1 0 0 0    9.634    8.866    0.987 
1957  1 1 0 0 0   10.381    8.042    0.947 
1958  1 1 0 0 0   10.143    6.109    0.913 
1959  1 1 0 0 0    9.904    3.215    0.889 
1960  1 1 0 0 0    9.665  359.767    0.882 
1961  1 1 0 0 0   10.412  356.351    0.892 
1962  1 1 0 0 0   10.173  353.568    0.917 
1963  1 1 0 0 0    9.935  351.782    0.952 
1964  1 1 0 0 0    9.696  351.108    0.992 
1965  1 1 0 0 0   10.443  351.470    1.030 
1966  1 1 0 0 0   10.204  352.687    1.063 
1967  1 1 0 0 0    9.965  354.549    1.089 
1968  1 1 0 0 0    9.727  356.845    1.105 
1969  1 1 0 0 0   10.474  359.383    1.113 
1970  1 1 0 0 0   10.235    1.958    1.110 
1971  1 1 0 0 0    9.996    4.391    1.098 
1972  1 1 0 0 0    9.757    6.487    1.077 
1973  1 1 0 0 0   10.504    8.043    1.047 
1974  1 1 0 0 0   10.266    8.839    1.011 
1975  1 1 0 0 0   10.027    8.679    0.971 
1976  1 1 0 0 0    9.788    7.426    0.933 
1977  1 1 0 0 0   10.535    5.084    0.902 
1978  1 1 0 0 0   10.296    1.912    0.884 
1979  1 1 0 0 0   10.058  358.405    0.884 
1980  1 1 0 0 0    9.819  355.179    0.900 
1981  1 1 0 0 0   10.566  352.745    0.930 
1982  1 1 0 0 0   10.327  351.389    0.967 
1983  1 1 0 0 0   10.088  351.133    1.007 
1984  1 1 0 0 0    9.850  351.849    1.044 
1985  1 1 0 0 0   10.597  353.345    1.074 
1986  1 1 0 0 0   10.358  355.400    1.096 
1987  1 1 0 0 0   10.119  357.809    1.109 
1988  1 1 0 0 0    9.881    0.380    1.113 
1989  1 1 0 0 0   10.627    2.930    1.106 
1990  1 1 0 0 0   10.389    5.255    1.091 
1991  1 1 0 0 0   10.150    7.165    1.066 
1992  1 1 0 0 0    9.911    8.451    1.034 
1993  1 1 0 0 0   10.658    8.900    0.995 
1994  1 1 0 0 0   10.419    8.326    0.956 
1995  1 1 0 0 0   10.181    6.641    0.920 
1996  1 1 0 0 0    9.942    3.938    0.893 
1997  1 1 0 0 0   10.689    0.558    0.882 
1998  1 1 0 0 0   10.450  357.087    0.888 
1999  1 1 0 0 0   10.211  354.121    0.910 
2000  1 1 0 0 0    9.973  352.090    0.944 
2001  1 1 0 0 0   10.720  351.164    0.983 
2002  1 1 0 0 0   10.481  351.305    1.022 
2003  1 1 0 0 0   10.242  352.347    1.056 
2004  1 1 0 0 0   10.004  354.082    1.084 
2005  1 1 0 0 0   10.750  356.303    1.103 
2006  1 1 0 0 0   10.512  358.798    1.112 
2007  1 1 0 0 0   10.273    1.380    1.111 
2008  1 1 0 0 0   10.034    3.862    1.102 
2009  1 1 0 0 0   10.781    6.057    1.082 
2010  1 1 0 0 0   10.542    7.750    1.054 
2011  1 1 0 0 0   10.304    8.736    1.019 
2012  1 1 0 0 0   10.065    8.808    0.980 
2013  1 1 0 0 0   10.812    7.804    0.941 
2014  1 1 0 0 0   10.573    5.700    0.908 
2015  1 1 0 0 0   10.335    2.681    0.887 
2016  1 1 0 0 0   10.096  359.197    0.882 
2017  1 1 0 0 0   10.843  355.847    0.895 
2018  1 1 0 0 0   10.604  353.206    0.922 
2019  1 1 0 0 0   10.365  351.598    0.958 
2020  1 1 0 0 0   10.127  351.100    0.998 
2021  1 1 0 0 0   10.873  351.614    1.036 
2022  1 1 0 0 0   10.635  352.950    1.068 
2023  1 1 0 0 0   10.396  354.896    1.092 
2024  1 1 0 0 0   10.157  357.242    1.107 
2025  1 1 0 0 0   10.904  359.800    1.113 
2026  1 1 0 0 0   10.666    2.366    1.109 
2027  1 1 0 0 0   10.427    4.757    1.095 
2028  1 1 0 0 0   10.188    6.780    1.072 
2029  1 1 0 0 0   10.935    8.229    1.041 
2030  1 1 0 0 0   10.696    8.883    1.004 
2031  1 1 0 0 0   10.458    8.553    0.965 
2032  1 1 0 0 0   10.219    7.119    0.927 
2033  1 1 0 0 0   10.966    4.618    0.898 
2034  1 1 0 0 0   10.727    1.353    0.883 
2035  1 1 0 0 0   10.488  357.849    0.885 
2036  1 1 0 0 0   10.250  354.722    0.904 
2037  1 1 0 0 0   10.997  352.450    0.935 
2038  1 1 0 0 0   10.758  351.275    0.974 
2039  1 1 0 0 0   10.519  351.187    1.013 
2040  1 1 0 0 0   10.280  352.043    1.049 
2041  1 1 0 0 0   11.027  353.644    1.078 
2042  1 1 0 0 0   10.789  355.770    1.099 
2043  1 1 0 0 0   10.550  358.218    1.111 
2044  1 1 0 0 0   10.311    0.797    1.112 
2045  1 1 0 0 0   11.058    3.325    1.105 
2046  1 1 0 0 0   10.819    5.597    1.087 
2047  1 1 0 0 0   10.581    7.421    1.061 
