M6 pulsation (degrees/h):
  86.9523126419999954
Year  M D h m s  V0(deg)   u(deg)    f:
1950  1 1 0 0 0  214.185  358.641    0.896 
1951  1 1 0 0 0  156.444    0.813    0.896 
1952  1 1 0 0 0   98.703    2.889    0.904 
1953  1 1 0 0 0  327.819    4.638    0.924 
1954  1 1 0 0 0  270.078    5.847    0.956 
1955  1 1 0 0 0  212.334    6.390    0.991 
1956  1 1 0 0 0  154.593    6.210    1.027 
1957  1 1 0 0 0   23.709    5.334    1.064 
1958  1 1 0 0 0  325.968    3.864    1.093 
1959  1 1 0 0 0  268.227    1.971    1.112 
1960  1 1 0 0 0  210.486  359.859    1.118 
1961  1 1 0 0 0   79.599  357.756    1.109 
1962  1 1 0 0 0   21.858  355.908    1.090 
1963  1 1 0 0 0  324.117  354.510    1.058 
1964  1 1 0 0 0  266.376  353.724    1.024 
1965  1 1 0 0 0  135.489  353.643    0.985 
1966  1 1 0 0 0   77.748  354.279    0.950 
1967  1 1 0 0 0   20.007  355.569    0.921 
1968  1 1 0 0 0  322.266  357.369    0.901 
1969  1 1 0 0 0  191.379  359.481    0.893 
1970  1 1 0 0 0  133.638    1.644    0.896 
1971  1 1 0 0 0   75.897    3.618    0.910 
1972  1 1 0 0 0   18.156    5.175    0.935 
1973  1 1 0 0 0  247.269    6.141    0.967 
1974  1 1 0 0 0  189.528    6.405    1.006 
1975  1 1 0 0 0  131.787    5.949    1.043 
1976  1 1 0 0 0   74.046    4.830    1.077 
1977  1 1 0 0 0  303.162    3.168    1.102 
1978  1 1 0 0 0  245.421    1.164    1.115 
1979  1 1 0 0 0  187.677  359.031    1.115 
1980  1 1 0 0 0  129.936  357.003    1.102 
1981  1 1 0 0 0  359.052  355.302    1.080 
1982  1 1 0 0 0  301.311  354.126    1.046 
1983  1 1 0 0 0  243.570  353.607    1.009 
1984  1 1 0 0 0  185.826  353.805    0.970 
1985  1 1 0 0 0   54.942  354.708    0.938 
