 O1 pulsation (degrees/h):
  13.9430355749999997
Year  M D h m s  V0(deg)   u(deg)    f:
1950  1 1 0 0 0   61.314    1.807    1.180 
1951  1 1 0 0 0  162.306  358.921    1.182 
1952  1 1 0 0 0  263.298  356.089    1.168 
1953  1 1 0 0 0  338.922  353.462    1.139 
1954  1 1 0 0 0   79.914  351.244    1.095 
1955  1 1 0 0 0  180.905  349.673    1.040 
1956  1 1 0 0 0  281.897  349.056    0.978 
1957  1 1 0 0 0  357.521  349.730    0.914 
1958  1 1 0 0 0   98.513  351.948    0.857 
1959  1 1 0 0 0  199.505  355.665    0.818 
1960  1 1 0 0 0  300.496    0.317    0.806 
1961  1 1 0 0 0   16.121    4.909    0.822 
1962  1 1 0 0 0  117.112    8.444    0.864 
1963  1 1 0 0 0  218.104   10.447    0.922 
1964  1 1 0 0 0  319.096   10.930    0.986 
1965  1 1 0 0 0   34.720   10.163    1.048 
1966  1 1 0 0 0  135.712    8.489    1.102 
1967  1 1 0 0 0  236.704    6.204    1.143 
1968  1 1 0 0 0  337.695    3.545    1.171 
1969  1 1 0 0 0   53.320    0.690    1.182 
1970  1 1 0 0 0  154.311  357.808    1.178 
1971  1 1 0 0 0  255.303  355.038    1.158 
1972  1 1 0 0 0  356.295  352.548    1.124 
1973  1 1 0 0 0   71.919  350.542    1.075 
1974  1 1 0 0 0  172.911  349.302    1.017 
1975  1 1 0 0 0  273.902  349.145    0.953 
1976  1 1 0 0 0   14.894  350.395    0.890 
1977  1 1 0 0 0   90.518  353.231    0.840 
1978  1 1 0 0 0  191.510  357.408    0.810 
1979  1 1 0 0 0  292.502    2.164    0.809 
1980  1 1 0 0 0   33.493    6.434    0.836 
1981  1 1 0 0 0  109.118    9.412    0.885 
1982  1 1 0 0 0  210.109   10.803    0.947 
1983  1 1 0 0 0  311.101   10.763    1.011 
1984  1 1 0 0 0   52.093    9.608    1.070 
1985  1 1 0 0 0  127.717    7.660    1.120 
1986  1 1 0 0 0  228.709    5.205    1.156 
1987  1 1 0 0 0  329.701    2.454    1.177 
1988  1 1 0 0 0   70.692  359.575    1.183 
1989  1 1 0 0 0  146.317  356.711    1.172 
1990  1 1 0 0 0  247.308  354.028    1.147 
1991  1 1 0 0 0  348.300  351.700    1.106 
1992  1 1 0 0 0   89.292  349.958    1.054 
1993  1 1 0 0 0  164.916  349.094    0.992 
1994  1 1 0 0 0  265.908  349.448    0.928 
1995  1 1 0 0 0    6.899  351.305    0.869 
1996  1 1 0 0 0  107.891  354.711    0.825 
1997  1 1 0 0 0  183.515  359.242    0.806 
1998  1 1 0 0 0  284.507    3.934    0.816 
1999  1 1 0 0 0   25.499    7.769    0.853 
2000  1 1 0 0 0  126.490   10.133    0.908 
2001  1 1 0 0 0  202.115   10.942    0.972 
2002  1 1 0 0 0  303.106   10.428    1.035 
2003  1 1 0 0 0   44.098    8.932    1.091 
2004  1 1 0 0 0  145.090    6.762    1.135 
2005  1 1 0 0 0  220.714    4.163    1.166 
