M6 pulsation (degrees/h):
  86.9523126419999954
Year  M D h m s  V0(deg)   u(deg)    f:
2000  1 1 0 0 0   49.389  354.780    1.067 
2001  1 1 0 0 0  278.505  353.841    1.030 
2002  1 1 0 0 0  220.761  353.595    0.994 
2003  1 1 0 0 0  163.020  354.075    0.959 
2004  1 1 0 0 0  105.279  355.227    0.927 
2005  1 1 0 0 0  334.395  356.934    0.907 
2006  1 1 0 0 0  276.654  358.989    0.896 
2007  1 1 0 0 0  218.910    1.161    0.896 
2008  1 1 0 0 0  161.169    3.201    0.907 
2009  1 1 0 0 0   30.285    4.872    0.930 
2010  1 1 0 0 0  332.544    5.982    0.959 
2011  1 1 0 0 0  274.803    6.411    0.997 
2012  1 1 0 0 0  217.062    6.114    1.033 
2013  1 1 0 0 0   86.175    5.133    1.067 
2014  1 1 0 0 0   28.434    3.582    1.096 
2015  1 1 0 0 0  330.693    1.638    1.115 
2016  1 1 0 0 0  272.952  359.514    1.118 
2017  1 1 0 0 0  142.065  357.435    1.109 
2018  1 1 0 0 0   84.324  355.647    1.086 
2019  1 1 0 0 0   26.583  354.339    1.055 
2020  1 1 0 0 0  328.842  353.661    1.018 
