 O1 pulsation (degrees/h):
  13.9430355749999997
Year  M D h m s  V0(deg)   u(deg)    f:
2000  1 1 0 0 0  126.490   10.133    0.908 
2001  1 1 0 0 0  202.115   10.942    0.972 
2002  1 1 0 0 0  303.106   10.428    1.035 
2003  1 1 0 0 0   44.098    8.932    1.091 
2004  1 1 0 0 0  145.090    6.762    1.135 
2005  1 1 0 0 0  220.714    4.163    1.166 
2006  1 1 0 0 0  321.706    1.344    1.181 
2007  1 1 0 0 0   62.697  358.456    1.181 
2008  1 1 0 0 0  163.689  355.648    1.164 
2009  1 1 0 0 0  239.314  353.071    1.133 
2010  1 1 0 0 0  340.305  350.939    1.087 
2011  1 1 0 0 0   81.297  349.500    1.031 
2012  1 1 0 0 0  182.289  349.068    0.967 
2013  1 1 0 0 0  257.913  349.980    0.904 
2014  1 1 0 0 0  358.905  352.454    0.849 
2015  1 1 0 0 0   99.896  356.375    0.814 
2016  1 1 0 0 0  200.888    1.090    0.806 
2017  1 1 0 0 0  276.512    5.570    0.828 
2018  1 1 0 0 0   17.504    8.876    0.873 
2019  1 1 0 0 0  118.496   10.623    0.932 
2020  1 1 0 0 0  219.487   10.882    0.997 
