 S2 pulsation (degrees/h):
  30.0000000000000000
Year  M D h m s  V0(deg)   u(deg)    f:
2000  1 1 0 0 0    0.000    0.000    1.000 
2001  1 1 0 0 0    0.000    0.000    1.000 
2002  1 1 0 0 0    0.000    0.000    1.000 
2003  1 1 0 0 0  360.000    0.000    1.000 
2004  1 1 0 0 0  360.000    0.000    1.000 
2005  1 1 0 0 0    0.000    0.000    1.000 
2006  1 1 0 0 0    0.000    0.000    1.000 
2007  1 1 0 0 0    0.000    0.000    1.000 
2008  1 1 0 0 0    0.000    0.000    1.000 
2009  1 1 0 0 0    0.000    0.000    1.000 
2010  1 1 0 0 0    0.000    0.000    1.000 
2011  1 1 0 0 0    0.000    0.000    1.000 
2012  1 1 0 0 0    0.000    0.000    1.000 
2013  1 1 0 0 0  360.000    0.000    1.000 
2014  1 1 0 0 0    0.000    0.000    1.000 
2015  1 1 0 0 0    0.000    0.000    1.000 
2016  1 1 0 0 0    0.000    0.000    1.000 
2017  1 1 0 0 0  360.000    0.000    1.000 
2018  1 1 0 0 0  360.000    0.000    1.000 
2019  1 1 0 0 0    0.000    0.000    1.000 
2020  1 1 0 0 0    0.000    0.000    1.000 
