 M2 pulsation (degrees/h):
  28.9841042139999985
Year  M D h m s  V0(deg)   u(deg)    f:
2000  1 1 0 0 0  136.463  358.260    1.022 
2001  1 1 0 0 0  212.835  357.947    1.010 
2002  1 1 0 0 0  313.587  357.865    0.998 
2003  1 1 0 0 0   54.340  358.025    0.986 
2004  1 1 0 0 0  155.093  358.409    0.975 
2005  1 1 0 0 0  231.465  358.978    0.968 
2006  1 1 0 0 0  332.218  359.663    0.964 
2007  1 1 0 0 0   72.970    0.387    0.964 
2008  1 1 0 0 0  173.723    1.067    0.968 
2009  1 1 0 0 0  250.095    1.624    0.976 
2010  1 1 0 0 0  350.848    1.994    0.986 
2011  1 1 0 0 0   91.601    2.137    0.999 
2012  1 1 0 0 0  192.354    2.038    1.011 
2013  1 1 0 0 0  268.725    1.711    1.022 
2014  1 1 0 0 0    9.478    1.194    1.031 
2015  1 1 0 0 0  110.231    0.546    1.037 
2016  1 1 0 0 0  210.984  359.838    1.038 
2017  1 1 0 0 0  287.355  359.145    1.035 
2018  1 1 0 0 0   28.108  358.549    1.028 
2019  1 1 0 0 0  128.861  358.113    1.018 
2020  1 1 0 0 0  229.614  357.887    1.006 
