 P1 pulsation (degrees/h):
  14.9589313609999994
Year  M D h m s  V0(deg)   u(deg)    f:
2000  1 1 0 0 0  350.027    0.000    1.000 
2001  1 1 0 0 0  349.280    0.000    1.000 
2002  1 1 0 0 0  349.519    0.000    1.000 
2003  1 1 0 0 0  349.758    0.000    1.000 
2004  1 1 0 0 0  349.996    0.000    1.000 
2005  1 1 0 0 0  349.250    0.000    1.000 
2006  1 1 0 0 0  349.488    0.000    1.000 
2007  1 1 0 0 0  349.727    0.000    1.000 
2008  1 1 0 0 0  349.966    0.000    1.000 
2009  1 1 0 0 0  349.219    0.000    1.000 
2010  1 1 0 0 0  349.458    0.000    1.000 
2011  1 1 0 0 0  349.696    0.000    1.000 
2012  1 1 0 0 0  349.935    0.000    1.000 
2013  1 1 0 0 0  349.188    0.000    1.000 
2014  1 1 0 0 0  349.427    0.000    1.000 
2015  1 1 0 0 0  349.665    0.000    1.000 
2016  1 1 0 0 0  349.904    0.000    1.000 
2017  1 1 0 0 0  349.157    0.000    1.000 
2018  1 1 0 0 0  349.396    0.000    1.000 
2019  1 1 0 0 0  349.635    0.000    1.000 
2020  1 1 0 0 0  349.873    0.000    1.000 
