 Q1 pulsation (degrees/h):
  13.3986608769999993
Year  M D h m s  V0(deg)   u(deg)    f:
2000  1 1 0 0 0  358.054   10.133    0.908 
2001  1 1 0 0 0  331.891   10.942    0.972 
2002  1 1 0 0 0  344.160   10.428    1.035 
2003  1 1 0 0 0  356.429    8.932    1.091 
2004  1 1 0 0 0    8.699    6.762    1.135 
2005  1 1 0 0 0  342.536    4.163    1.166 
2006  1 1 0 0 0  354.805    1.344    1.181 
2007  1 1 0 0 0    7.074  358.456    1.181 
2008  1 1 0 0 0   19.344  355.648    1.164 
2009  1 1 0 0 0  353.181  353.071    1.133 
2010  1 1 0 0 0    5.450  350.939    1.087 
2011  1 1 0 0 0   17.719  349.500    1.031 
2012  1 1 0 0 0   29.989  349.068    0.967 
2013  1 1 0 0 0    3.826  349.980    0.904 
2014  1 1 0 0 0   16.095  352.454    0.849 
2015  1 1 0 0 0   28.364  356.375    0.814 
2016  1 1 0 0 0   40.634    1.090    0.806 
2017  1 1 0 0 0   14.471    5.570    0.828 
2018  1 1 0 0 0   26.740    8.876    0.873 
2019  1 1 0 0 0   39.009   10.623    0.932 
2020  1 1 0 0 0   51.279   10.882    0.997 
