 N2 pulsation (degrees/h):
  28.4397295159999999
Year  M D h m s  V0(deg)   u(deg)    f:
2000  1 1 0 0 0    8.026  358.260    1.022 
2001  1 1 0 0 0  342.610  357.947    1.010 
2002  1 1 0 0 0  354.641  357.865    0.998 
2003  1 1 0 0 0    6.672  358.025    0.986 
2004  1 1 0 0 0   18.702  358.409    0.975 
2005  1 1 0 0 0  353.286  358.978    0.968 
2006  1 1 0 0 0    5.317  359.663    0.964 
2007  1 1 0 0 0   17.347    0.387    0.964 
2008  1 1 0 0 0   29.378    1.067    0.968 
2009  1 1 0 0 0    3.962    1.624    0.976 
2010  1 1 0 0 0   15.993    1.994    0.986 
2011  1 1 0 0 0   28.023    2.137    0.999 
2012  1 1 0 0 0   40.054    2.038    1.011 
2013  1 1 0 0 0   14.638    1.711    1.022 
2014  1 1 0 0 0   26.668    1.194    1.031 
2015  1 1 0 0 0   38.699    0.546    1.037 
2016  1 1 0 0 0   50.729  359.838    1.038 
2017  1 1 0 0 0   25.314  359.145    1.035 
2018  1 1 0 0 0   37.344  358.549    1.028 
2019  1 1 0 0 0   49.375  358.113    1.018 
2020  1 1 0 0 0   61.405  357.887    1.006 
